ShaShiYaYi 	parece que ya está muy lejos de Kako	Moabiresronki Kakonko kikin ani peixobo irabeke
ShaShiYaYi 	El hijo de la sierva también tiene que dar cuenta de la palabra de Dios.	Ja yosin jawen rayos yoyo akaskin akai jawen bake yoimakin, ja yoyo ika joiboribi ja ainbo baken jawen bene yoiai
ShaShiYaYi 	trabajar en la chacra, construir la casa, cosechar, hacer las tareas necesarias: pia, kanot, remolino, carreta de hierro, colécate, que los niños no se la lleven	Waiaki teeti, xoboati, nontiati, ja non tsomati jawekibo ati: pia, kanoti, winti, yamixeta, tsatsitaxo, wawasapa, mishkiti wetsabaona bonaketian
ShaShiYaYi 	Donde está el « hoy », allí está el « hoy ».	Neskara: "payarishoko" ikainko, "payari" iki tapon, jatian "-shoko" iki teki
ShaShiYaYi 	luego pondremos el bastón en la mano para que no se quede sin fruto	Jaskaa pekaora kanoti non mawetai, ja kanotira iti jake wachoshokoma payarinin pia winontimakopi
ShaShiYaYi 	y no se dejan llevar por el enojo ni por la vanagloria, porque sólo buscan una oportunidad para su propio mal.	Osanyamakanai, tsiniyamakanai, jatona ani masa shinantires iketian
ShaShiYaYi 	los que lo ayudan trabajan como lo hace el señor	Neskara akinai joitsamábora oa koshiai joitsamanko tekíjane keská teetai
ShaShiYaYi 	no todos los caminos son iguales	Westíoran tekíjoira wetsana keskáma iki
ShaShiYaYi 	La noche está muy avanzada y el día está cerca.	Chanpobo, ishton meratimabo ikax, yamé xaon chexaa xeyokootai
ShaShiYaYi 	y el que trabaja en el campo no es su hermano	Bitara teetai, ikaxbi jawen wetsara ayamai
ShaShiYaYi 	este libro y este dibujo lo veo ¿Qué explicación tiene?, ¿para qué son las escrituras? escribe lo que falta en las declaraciones de los niños	Nato wisha itan ribojora en oinai ¿Jawe yoimein iki?, ¿jawe noa onanmakaskin wishakanarin? Bakebaon yoiyaibo ja maxkatain wishapakewe
ShaShiYaYi 	el nombre de la mujer es su padre	Iti iki jawen awin janei jawen papa iiresi
ShaShiYaYi 	el hombre que está curando tiene siete plantas medicinales	Jan raometi, joni kanchis yame nashiai
ShaShiYaYi 	me fui a casa	Meraaxra moa xobon kaibake
ShaShiYaYi 	mi padre se fue a una ciudad grande con mi padre	Nokon papara nokon papashoko betan ani jeman kaíbake
ShaShiYaYi 	en esa lengua hay muchos nombres y discursos	Jaskara joinra jake icha janebo jainoax ikai itan akai joibo
ShaShiYaYi 	y la mujer no puede hablar porque todos tienen miedo de su marido y de su esposa	Jatian ja ainbo jatixonbishaman yoyo ayamakanai benoyabo itan wanoyabo jaki rakekanai jato jaskashokonaketian
ShaShiYaYi 	aprendiendo a leer la escritura	Kirika wisha yoyo axon onanti
ShaShiYaYi 	miró hacia el cielo y llamó al padre Barin para que dijera: “ Vamos a la tierra ”.	Nita oinxonra, Papa Barin kenawanke, "wainko kanon kawé" akin
ShaShiYaYi 	Porque la palabra de Dios y la enseñanza acerca de los hombres son cosas que van de acuerdo con la carne,	Shipibobaon joiribira meskókeska eséboya iki, meskókeska jawékibo anoxon
ShaShiYaYi 	algunas palabras tienen un significado especial y otras tienen un significado especial	Wetsa joibo riki joitaponya itan westíora iamax icha joipakexya
ShaShiYaYi 	no debe ser borracho ni pendenciero, ni amigo del dinero, sino amable y apacible.	Joni isiankaskin joi ninkamatima, pontekainxon timayamakin wexati iamax winon rishkiti
ShaShiYaYi 	mamá debes cuidarla	Titara min orokinti jake
ShaShiYaYi 	si esto no se termina empieza a hablarse primero o después	Nato senen’amaira neskara joibo jato yoyo iti peokokiinai, jainbipari yoyo ikinai iamax yoyo ikí jenekiinai
ShaShiYaYi 	algunos se echaron al suelo y se durmieron	Jatiribibo mawa miina pekatenbi rakatax oxakana iki
ShaShiYaYi 	los tapones deben escribirse de todas formas	Taponbora jatibiain jaskaakinbires non wishati jake
ShaShiYaYi 	no hay nadie que pueda curarlos	Wetsabires jonima riki neskakin jato raonaibo
ShaShiYaYi 	Después de esto, Dios le dio el nuevo nombre, que está en el rollo de la alianza.	Jane pekáo iká joitsamapakex iki, joitsamábo meran, ikinai jane keská
ShaShiYaYi 	podemos ver que esa palabra es verdadera	Ja joira ikonrin ixon non oina iti atipanke
ShaShiYaYi 	que la mujer no se divorcie de su marido mientras él viva,	Ainbo jaton bake mawaketian meketira jawen benebetan oxayamai, yorantimakopi
ShaShiYaYi 	después de haber terminado de preparar el masato, se come sin falta	Jaskara xeatibo akin seneanxon, jakonshaman akin meshoayamakin xoiai
ShaShiYaYi 	esto no era posible	Neskarabora ika iki arestima
ShaShiYaYi 	¿Cuándo nació el abuelo materno?	¿Jawetianki payari tsakatinin iamax mabochonin yomerati iki??
ShaShiYaYi 	los ancianos se pelean entre sí	Xontakobora ia bianaananbekonai
ShaShiYaYi 	dobla el nombre de la obra y lo pone a su lado	Tekíjanera janen joitsamapakex meran ikai, jane pataxbi
ShaShiYaYi 	Ahora bien, la pregunta acerca de cuál de los dos hombres ha sido hecha después de todos ellos es la siguiente:	Janen toan iká yokáti joibora joitsamá meran jan akai, ja ikai iamax ja akanai joibo keská ikai
ShaShiYaYi 	son palabras que no entienden o que pueden interpretarse	Jabo riki onantimai yoyo itibo iamax iti atipanke jawékibo yoiai
ShaShiYaYi 	en estas palabras estamos dando testimonio tanto de hombres como de hombres	Neskarain yoyo ibenkontinkora nekebi noa yoyo ikai, meskoxon yoyo atibo, jonibo itan meskókeska joiboribi
ShaShiYaYi 	la palabra que viene es la palabra que viene	Jan joi winotai riki jan joi bemakana winotai
ShaShiYaYi 	ayer fui a mi chacra	Bakishra ea nokon wainko katan’ibake
ShaShiYaYi 	haz una declaración antes de tiempo	Axon, tekiomabi yoyo awe
ShaShiYaYi 	Estos son los que dan testimonio de la palabra de Dios y del testimonio de las buenas nuevas,	Nato joai jishamanbora, ikai iamax akai join joitsamapakex meran, ja tekíjoinin joitsamapakex noa oinmai
ShaShiYaYi 	Ahora bien, cuando alguien jura, lo hace por alguien superior a sí mismo. De esa manera confirma lo que ha dicho y pone fin a toda discusión.	Rama jaskara iketianra wetsabo ikai jaton bake rayos anoxon yokakana, jaoparanan iki jato menikashamai sinati, jainoax ikai ja bakeranonribi kenyamai
ShaShiYaYi 	allí nos sentamos y cantamos hasta que llueva la lluvia	Jain peyakaax noa xoinman bewa bewai payaribo beai kaman
ShaShiYaYi 	¿Qué más quieres decir?	¿Jawe jawekipariki min yoiti iki?
ShaShiYaYi 	Porque la tierra que bebe la lluvia que con frecuencia cae sobre ella y produce vegetación apropiada para aquellos para quienes también se cultiva, recibe en cambio una bendición de Dios.	Jakana iki yoabo axon jawekiai, yomeraxonbo pii, ani xeatiaxon xeai
ShaShiYaYi 	Y el gusano de ellos no muere, y el fuego no se apaga.	Jatian Chonon Samebiri iki oni xeai, tobi ati onan jainoax mesko isinaibo raonai
ShaShiYaYi 	y él nos ha dado a conocer el misterio de su palabra,	Janra noa onanmai, jawekeskáboki ja yoiai joibo ikai ixon
ShaShiYaYi 	esta declaración es digna de confianza, y quiero que insistas en estas enseñanzas,	Nato jishamanra non joi yoiai, ikaxbira non jawéki atin kenai
ShaShiYaYi 	estoy probando las cosas que he aprendido	Ea axeabora en tanai
ShaShiYaYi 	el sol vuelve a bajar	Bari joai naman biribiri ikai
ShaShiYaYi 	porque no he llamado a mi padre para que venga a mí,	Nokon papara, en kenaabi, joyamake
ShaShiYaYi 	aquí viene mi padre	Ja joaira nokon epa iki
ShaShiYaYi 	mamá nos levantará la yuca	Titanra noa atsa joaxoti iki
ShaShiYaYi 	después de haber hecho el trabajo se emborracharon hasta acabarse el vino	Tee akana pekao jaton keenakeska paenpaokanike, xeati keyoaikaman
ShaShiYaYi 	su trabajo puede ser un trabajo de palabras o de labios	Jawen teera iti atipanke ikai iamax akai join tee
ShaShiYaYi 	diferentes residuos de frutas	Yomerati wastebo riki meskoboribi
ShaShiYaYi 	ese hombre es de otro río	Oa jonira wetsa paromea iki
ShaShiYaYi 	a cada uno se le hace difícil seguir adelante	Joipakexbora oricha kaxketi atikoma iki
ShaShiYaYi 	dile a cada uno que no se le ocurra nada antes de hablar	Chitetibi yoiwe, jawe jawekiboki yoyo akamatianbi min shinanwana keskamabo iki
ShaShiYaYi 	¿También trabajan en su casa?	¿Maton xobonkoki neskaratonboribi teekanai?
ShaShiYaYi 	escribe la descripción que has seleccionado	Wishawe min katotaton jisabo
ShaShiYaYi 	algunas mujeres están enfermas	Jatíribi ainbobora isinai iki
ShaShiYaYi 	empezaron de nuevo	Basi iikinpari peokana iki
ShaShiYaYi 	los hombres de dios tienen diferentes clases y conocimientos	Shipibo jonibo riki mesko eseyabo itan axeyabo
ShaShiYaYi 	la escritura comienza con un camino grande y se termina con cristo	Wishaxon ani kanon peoai itan tsakan keyotai
ShaShiYaYi 	la palabra de ayuda tiene un límite	Ja akinai joibora meskokeská senenainoa joipakexboya iki
ShaShiYaYi 	estos son los consejos	Natobo iki ja esebo
ShaShiYaYi 	Porque la muerte es el vientre de un hombre, y una gran tristeza sobre toda su familia.	Joni mawaketianra, jatibi jawen rarebo kikinbiresi jatikaxbi oniskanai
ShaShiYaYi 	me has quitado la tinaja	Nokon chomora min ea toenaanke
ShaShiYaYi 	Pero cuando una persona se vuelve a Dios, el velo es quitado.	Ikaxbi jawetianki ja joitsamapakex naponki westíora akai joi iki, jatianra ja akai join joitsamapakex iki
ShaShiYaYi 	dice que las ciudades a orillas del río están inundadas de tierra	Paro kexa ika jemaboronki jawe waiyoma baneke jenen jato keyonaana
ShaShiYaYi 	¿Por qué es tan sabio Senen Biri?	¿Jawekopimein Senen Biri masha iti onainra iki?
ShaShiYaYi 	el que dice: “ No te dejes vencer por el mal ”,	Neskaakin jonin yoiai: Miara isa tsaka akanake akin
ShaShiYaYi 	en la escritura y en el día se debe enseñar a otros	Kirika wishakan jainoax rarioninribira ati iki wetsabo mesko joibo onanmakin
ShaShiYaYi 	y le echan fuego sobre la tierra	Jainxonribi akanai jatiobi jawen mai manaon chií keteaxonkin
ShaShiYaYi 	Y otros son como la semilla que cayó en terreno pedregoso: oyen el mensaje, lo reciben con entusiasmo;	Jainoax jaribake wetsa teeshokoboribi, jaabo iki: tawa boexeti ati, moxo chiwintiati, tawintiati, biskiati ati, tasa, xakiti, kochara, kawin jainoax wetsa teeshokoboribi iki ja benboboan akai teebo
ShaShiYaYi 	estos son los diferentes comentarios	Meskoti yoyo itibo riki natobo
ShaShiYaYi 	¿Qué quiere decir con nosotros este texto?	¿Jawe noa ninkamakasirin nato wisha? Tasereawe
ShaShiYaYi 	de nada sirve esa afirmación	Ja yoyo ikaiki ikon jawéki yamatanibires iki
ShaShiYaYi 	la corriente acabó con la chacra de aros y poroto	Jenenra aros betan poroto wai keyoke
ShaShiYaYi 	echa aquí a los que están hablando de él	Payari ikainoa joi tsosabo neno rakanpakewe
ShaShiYaYi 	papá está en Maijoshina	Papara Maijoshinyain kayatai
ShaShiYaYi 	esta diferencia de palabras apenas terminaba cuando la gente se juntaba con los niños de otros lugares	Nato meskoti noa yoyo ikaibo jaimashoko keyokeyokainai wetsankoniabo betan non bakebo bianananpatanbokanaitian
ShaShiYaYi 	la muchacha es la que está embarazada y no quiere que nadie la despedace	Bake xontakonin iki paratai pitima jonin bixonbi potakanaketian
ShaShiYaYi 	no todas las letras son iguales	Jatibi wishabora aresbireskin ayamakanai
ShaShiYaYi 	Por lo tanto, este es el pacto que haré con la casa de Israel después de aquellos días — dice Jehová —.	Jaskara iketian, ja jane pekáo iká joibora janen joitsamapakexain ikai, ikinai jane keská
ShaShiYaYi 	contando algunas de esas realidades echémosle un vistazo	Jatíribi jishamanbo topontibo jawekeskáakin atirin ixon oinon akanwe
ShaShiYaYi 	todos los días nos reuníamos con un anciano mientras Tomiko jugaba a misa y a la pelota	Netetiibira noa tsinkipachoai axei ikaxbi tomikoninra misanko itan pirota tsinii katikanai
ShaShiYaYi 	donde había muchos peces y un buen número de peces	Jaweranoki yapa ichashaman iki jainboribi japaokanike, jatian yapa icharibi ika iki
ShaShiYaYi 	Porque el reino de los cielos es semejante a un tesoro escondido en un campo.	Jane patax iká iboati joibo riki janen toan iká joibo keskáribi, tsonarin ja jawéki ixon yoai
ShaShiYaYi 	el ejemplo de Senen Biri y chonon same	Senen Biri betan Chonon Same teetai yoinoxon
ShaShiYaYi 	No es posible que una familia entera se convierta en un hogar para sí misma.	Jaskayamaikaya non kaibobobetan, non rarebobetan noiyananax, jainbicho tsinkitax jatikaya oinkana iki
ShaShiYaYi 	escuchemos lo que dice	Oinon akanwe, noa ninkakananti jaskarabo
ShaShiYaYi 	aquí hay tres días para el bosque	Nenoax ono riki kimisha nete nii meran kati
ShaShiYaYi 	lee esto y luego lee lo que han dicho tus compañeros	Nato yoyo awe, jaskaaxon yokatabo yoyo awe mibe axeaibobetan
ShaShiYaYi 	así podremos separarnos de la lengua del fuego	Jaskara jawéki ointaananparira non ja ikinai join joipakex katoti iki
ShaShiYaYi 	ese nombre no está aquí	Jaskara joitsamankora ja akanai jane yamake
ShaShiYaYi 	La mujer estaba encinta, y gritaba por los dolores del parto, porque el cabello de su cabeza estaba enrojecido.	Ja ainbora maxkorokanai, jaa boobo jawen benen tii akatiai iketian
ShaShiYaYi 	porque el hijo de dios no debe comer carne ni beber vino ni ninguna cosa contaminada por su sangre;	Ja mananxawe bake iki pítima, batsekenaketian
ShaShiYaYi 	el perro ve la serpiente morir	Ochítininra rono mawata oinai
ShaShiYaYi 	llama a un hombre para que le hable a dos	Westiora jonin kenai jan yoyo itin, ja joni rabe yokanoxon
ShaShiYaYi 	a ese hombre le pasa algo grande	Ja iamanra jake ani pasan ewabo
ShaShiYaYi 	Pero ellos no contestan a nadie lo que les decimos en esta carta.	Ikaxbi jabaonra yoiamai, ja janeki jawekeská iki ixonbo
ShaShiYaYi 	estos son los que trabajan duro	Ja joipakexbora tekíjoi keská teetai
ShaShiYaYi 	tengan cuidado y no pierdan la cabeza	Rawiya ikax ja shinanyares iti
ShaShiYaYi 	así son las cosas porque el hijo de la mujer no les gusta	Jaskaribi ikanai ainbo baken kenyamai jaton keenma iketian
ShaShiYaYi 	la maquisapa se ha pegado	Machitoninra taxtéke
ShaShiYaYi 	Por la muerte de uno de ellos, y por la muerte de uno de ellos, entró al Lugar Santísimo una vez para siempre.	Jaskaaxon akanai yobe jonibi retekin, ja mawataton kopikaakin
ShaShiYaYi 	encontré la tinaja delgada	Bina tsispinomara en merake
ShaShiYaYi 	Esta es una ilustración que apunta al tiempo presente.	Nato wishaman non oinmai, jawekeská tekímati joibaon akinai, ja non yoia jawéki jakon’akin ninkáti
ShaShiYaYi 	no olvides lo que debes hacer	Jaskaaxon atibo shinanbenoyamawe
ShaShiYaYi 	una vez que sus padres se habían acostado la muchacha salió a su encuentro	Moaribi jawen anibobo oxa pekao xontako pikokatitai jawen chopashoko benxoaki
ShaShiYaYi 	después de preparar la comida todo lo que tenían	Japekao akatiai pii bekanon ixon jatibi jato chiniribikin
ShaShiYaYi 	el anciano responde a estas preguntas	Rekenparira, en nato yokabo yoiyai
ShaShiYaYi 	su aliento es impuro hasta dentro de tres días	Jawen sama riki yorantima kimisha netekaman
ShaShiYaYi 	no se deben escribir ni las palabras de los niños	Shipibobaon join yoyo iti itan wishatira metotibo yamake
ShaShiYaYi 	pero los dos tienen una sola apariencia	Ikaxbira ja rabéainoax westíorabicho iki wetsa jisáya
ShaShiYaYi 	el está abriendo la caja	Janra rata chichikanin kepenai
ShaShiYaYi 	pues cada vez que se habla en lenguas extrañas, lo mismo sucede con las nuestras.	Jarake parobotiibi wetsakeská yoyo ikanai, ja non join
ShaShiYaYi 	dibujando hojas de cascabel y de cascabel	Xebon itan kantsin xama pishiankin
ShaShiYaYi 	estos son los detalles de lo que ha pasado y de lo que va a suceder	Natobo riki jaskáaxon moa winota jawékibo itan ramakaya iti jawéekibo yoiti
ShaShiYaYi 	¿Cuánta gente habla la palabra de dios?	¿Jaweti icha joniki yoyo ikai shipibo joi?
ShaShiYaYi 	el que lo recibe ya está esperando el momento de comenzar a hablar	Jan joi bomaitoninra moa yoyo iki peokoonox manatai
ShaShiYaYi 	Si la palabra hablada permanece en nosotros, podemos ver también cómo se hace en nosotros.	Jawerato joibeshéki matsosi atiki ixon, non ja join iká joibeshébaon jisábopari ointi iki
ShaShiYaYi 	ha llegado mucha gente	Jonibo nokotara icha iki
ShaShiYaYi 	Porque el tabernáculo está en su lugar, y la Tienda del testimonio está en su lugar;	Teebo atinko akinai, jaskara ixon apaonike ani xobo akin peoketian akinkin keyoaikaman, pei bitinko, xobo kanoati, jiwi tsinkitiain, iatiain, xobo kanoatinko, xobo xewatiain, xobo tapoti atinko
ShaShiYaYi 	el que siga a cristo debe amarse unos a otros	Kiristo chibanaibora noiananax jati iki
ShaShiYaYi 	Entonces cortarán en pedazos las ramas de los árboles y las harán pedazos. Secarán también las ramas, y ellas se marchitarán.	Ja maxkoroxon akanai manxan chopa xate chitonmakin, janribi rakoomakin, jaixon janribi mapomakin
ShaShiYaYi 	Y nosotros hemos llegado a conocer y hemos puesto nuestra esperanza en la palabra de Dios,	Nonra onanti iki jaskara axeakanabo, jakonshaman non join yoyo iti kopí, itan wishati kopíribi
ShaShiYaYi 	el hombre es un buen pescador mientras que el otro se queda	Akin tsakax jatibitian ja joni mecha ikai jatian keneaxbiribi yopa banetai
ShaShiYaYi 	escribe en forma ordenada dentro de la caja de cartón y de papel	Tapon betan tekibo wishaxon chinita chiteain jakon akin wishawe
ShaShiYaYi 	porque hemos visto con nuestros propios ojos y ahora damos testimonio de la palabra de Dios, que muchas veces nos habla en lenguas	Akai joiboakin oinyantana non onanke, icha riki akinai join joipakexbo
ShaShiYaYi 	¿Qué novedades han escuchado? Asegúrate de lo que dicen las escrituras	¿Jawekeska winotaboki noa yoiyai ixonki maton ninkata? Ashta awe, ja kirika wishakan yoiyaibo
ShaShiYaYi 	con Rayos	Rayos betan jaskati iti
ShaShiYaYi 	vayan todos a la viña de la ciudad de Saba	Sabaronin jeman wai jatíxonbi orotankanwe
ShaShiYaYi 	esto es rojo, rojo y rojo	Neskara: joshinman, joshinya, joshinshoko, joshinronki
ShaShiYaYi 	Después de tanto tiempo, y de angustia y de angustia, Barin se regocijó mucho con su esposa,	Ja yantan, ichabireshora onitsapita itan oxá teneabo pekáo, Barin Kopira jawen noia awin biribaa kopí raroshaman iyantanke
ShaShiYaYi 	y después de sentarse a la mesa con ellos, se le echa encima el cabrito	Jatio basi bachin meketi yakata pekao, ja joni bachimea pikokanai
ShaShiYaYi 	mi tío se casó al ir al monte	Nokon epara kachio mekayao kax benoke
ShaShiYaYi 	estos son sus nombres	Akai joibora ja akanai jane betan ikanai
ShaShiYaYi 	un hombre se fue de Xawanya a xotoxko	Xawanya xotoxkoainoaxra joni reokooke
ShaShiYaYi 	Ron mexó trabaja en la bodega de su padre	Ronin Mexóra jawen papa betan maroti xobonko teetai
ShaShiYaYi 	los ancianos deben hacer lo mismo	Shipibo joi wishakinra, joi taponbo jaskara jisabi ati iki
ShaShiYaYi 	Porque la palabra de Dios es viva y eficaz, y más cortante que cualquier espada de dos filos;	Akinai joibaon joipakexbora ja tekímati joibo keskáribi iki: akinai joitsamá ja koshiai joitsamá betan tekímai
ShaShiYaYi 	cuando terminemos de escribir escribiremos	Tsaká keyotainra moa jain kaman non wishaabo keyoketian non wishai
ShaShiYaYi 	el que esté en el campo, que no regrese ni aun a recoger su capa.	Joni meketi jake bachin rakatax, jawen pexewain jabichoshoko
ShaShiYaYi 	cuando ya está listo para tirar la basura lo amarran con una hoz afilada	Moa kinanxon keyo potakinra akai kikin panshin kinankin
ShaShiYaYi 	de la misma manera que nadie puede hablar en nuestra lengua	Jaskaribi tsonbi non join noa yoyo ikaitian iyamawe akin noa atipanyamake
ShaShiYaYi 	el que está a cargo de la palabra busca su propio bien	Jan joi yoiaitoninra ja jan joi biai jawen shinana jawékiain jikimakaskin tanai
ShaShiYaYi 	pero en cada pueblo hay diferentes lenguas	Ikaxbira jematiibi jake meskókeskati yoyo itibo
ShaShiYaYi 	la palabra de la fe tiene su fin	Ja koshiai joitsamá meran iká akai joibora jatonabi senenainoa joipakexya iki
ShaShiYaYi 	¿Cómo no son iguales estos niños?	¿Jawekeskarainki nato ribojo rabe jaskara jisama iki?
ShaShiYaYi 	escribe al respecto	Yokabo yoixon wishawe
ShaShiYaYi 	parece que está en la boca	Rekenain aka keskaakin
ShaShiYaYi 	Nosotros tenemos un altar del cual no tienen derecho a comer los que sirven en el tabernáculo.	Joni ikaxra noa yomerai iti jake, jaskara iti kopira noa raometi iki; manxaman kawati, konin ewa tepoko jainoax jiwin waran
ShaShiYaYi 	nos asombramos al hablar de cosas que van a cambiarse y de cosas que van a mejorarse.	Noara ratereskin yoiai jawetianki jato betan yoyo ikai, jawetianki jawéki marokasai itan koshi imatitianbo
ShaShiYaYi 	Los siguientes son: labradores, oro, plata, piedras preciosas, madera, heno, paja,	Benboboan akai teebo iki natobo: waiati, oroti, nontiati, xoboati, wintiati, piaati, kanotiati
ShaShiYaYi 	Sus pies son veloces para que no caigan, y tienen que ser arrojados lejos de la tierra.	Amewaka jonibaonra boai jaton pinexetiain waste, poxokin jiwin rishkinaketian, bonan tekanaketian jainoax jakonmanin jato anaketian
ShaShiYaYi 	el perro me mordió debajo de la silla	Yakáti namanxonra ea ochítinin natexke
