Extra_Educational 	finalmente, cuenta con los niños cuántas salieron al contar prueba a  un niño para que cuente	seneanxon bakebo toponkinwe jawetirin ixon westiora bakebo tanakin toponti yoiwe
Extra_Educational 	agrupa a los niños en dos. entrégale a cada uno un recorte de esos dibujos recortados traídos, y diles que formen	bakebo rabe tsama axon ja ribojo beabo xatexon pakexbores menixon yoiwe jakon akin
Extra_Educational 	pedazos de corteza y hojas para cocinarlos	jainxon chii kechonxon moa keteketian yamikenti beyasanti iki
Extra_Educational 	canta con los niños las canciones aprendidas, luego entrégales la hoja del libro para que puedan dibujar lo que más les gustó, después de dibujar, diles que pinten, finalmente, una vez hecho el trabajo, diles que expliquen sobre lo realizado	mesko bewabo axekanaboribi jato bewakinwe, jainxon kirika pei tsekaxon menixon jawerato teeki jawen kenshama ika ja shinanxon ati, ribojanxon sikati yoiwe, seneanxon taxnanxon jato yoimawe jaskara tee akana
Extra_Educational 	el profesor explica a los niños como realizar la tarea	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Extra_Educational 	sal con los niños al patio  y diles que junten y traigan diferentes cosas	bakebo jeman pikokinxon mesko jawekibo tsinkiti yoiwe
Extra_Educational 	luego juega con ellos preguntando quién había traído tres hojas de piñón colorado	jainxon jato tsinikinwe tsonki kimisha pionis pei bea
Extra_Educational 	recórtalos y pégalos donde están esos niños	tsekaxon taxnanwe ja bake ikainko
Extra_Educational 	escucha lo que el anciano les explica a los niños	bakebo yosin nonti yoiyai ninkakiwe
Extra_Educational 	el profesor explica a los alumnos el trabajo que deben realizar	axeamisnin jaskaxon bakebobetan tee ati yoiya
Extra_Educational 	en cuál de los árboles puedes encontrar la resina	jawerato jiwinkoki min yomoxo merati atipana
Extra_Educational 	el maestro les explica, amar a los animales, no lastimarlos, cuidarlos entre todos, darles comida, porque ellos también nos ayudan y nos cuidan	axeamisnin jato yoiyai, yoinabo noiti ramiarestima, jatixonbi koiranti, jawekiamati jabaonribi noa koiranai itan akinaikopi
Extra_Educational 	haz que los niños se sienten abajo y entrégales los trabajos que han realizado a cada uno para que los vean	bakebo naman yakakinxon ja tee akanabo bexon jato menipakewe oinkanon
Extra_Educational 	finalmente diles a los niños que así es el trabajo	senentiain bakebo yoiwe jaskara tee
Extra_Educational 	canta con ellos una canción referida a los peces	yapaki ika bewabo bewakinwe
Extra_Educational 	muestra los dibujos y haz diferentes preguntas	ribojobo oimaxon mesko yokabo akai
Extra_Educational 	tiende la tela y haz que los niños sigan el diseño con su dedo	jainxon chitonti peanxon bakebo metotinin ja kenebo natanmawe
Extra_Educational 	siéntate con ellos en el suelo	rama naman jato yakakinxon
Extra_Educational 	luego los niños deben explicar cómo reaccionas de diferentes formas cuando te enfermas	jainxon bakebaon yoikanti jake jawekeskati isiniki mia jaskatai ixon
Extra_Educational 	luego siéntate con los niños en el suelo y cuenten las cosas que han traído	jainxon bakebo naman yakikinxon ja tsinkikanabo toponkinwe
Extra_Educational 	el profesor debe realizar la tarea con los niños	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Extra_Educational 	cuáles son las aves que nos indican cuando se marean los peces	noa jan yapa paenaitian onamai yoinabanaboki jaweratobo iki
Extra_Educational 	luego el profesor les dice a los niños que cada uno tiña el pedazo de tocuyo que han traído	jainxon axeamisnin bakebo yoiyai westiorabo kawanxon jato chopa beabo pokoti
Extra_Educational 	entrégales el libro de trabajo para que los niños hagan la tarea	jan teeti kirika bakebo menixon jaskaaxon tee atibo jato yoiwe
Extra_Educational 	finalmente, haz que los niños expliquen el trabajo realizado	senentiain bakebo yoiwe jaton tee akabo yoiti
Extra_Educational 	escucha la opinión de los niños	bakebaon shinanbo ninkawe
Extra_Educational 	saca a los niños del aula y siéntalos en círculo en el patio, antes de que ellos lo hagan, tú di primero tu nombre	bakebo jeman pikokinxon torokin yakakinwe, jaton akamabi minpari min jane yoiwe
Extra_Educational 	saca de dos en dos a los niños y haz que expliquen quiénes integran su familia	bakebo rabebo pikomaxon jaton rarebobaon jane yoimawe
Extra_Educational 	mira los dibujos que contienen la forma correcta de sembrar la yuca, qué trabajos papá, mamá, hijo, hija  pueden realizar, quiénes ayudan, en qué trabajos ayudan ustedes, saca y pega esos trabajos que se realizan en los dibujos	atsa banakin jaskara teebo ati ribojana oinwe, jawerato teeki papan, titan, bakebenbo itan bake ainbonin ati tee iki, tsoabaonki akinai, jawerato teeboki matonjato akinaibo iki, ja tee akainkobo ribojo tsekaxon taxnanwe
Extra_Educational 	el abuelo explica a los niños quiénes son nuestros parientes	yosin bakebo yoiyai tsoaborin non rarebobo
Extra_Educational 	siéntate con los niños en el suelo, abre el tazón y muéstrales los saborizantes, luego pregúntales qué cosas son	bakebo naman yakakinxon, tasoman yochibo mapekexon jato oinmawe, japekao jato yokawe, jawerin ixon
Extra_Educational 	canta con los niños a los animales	bakebo bewakinwe yoinaki ika
Extra_Educational 	recórtalos y pégalos	tsekaxon taxnanwe
Extra_Educational 	a ver, diga cuántos tipos de enfermedades conoces, con qué podrías curarte viendo el dibujo con las diferentes enfermedades, identifica las enfermedades que tuviste, enciérralos en un círculo y explica cómo te has curado	jawekeskati isintiboki min onana oinon yoita, jawenmein mia raometiki meskoti isinaibo ribojana oinxon mia jaskati isiman aka westiora torokan xepoxon yoiwe jaweskeskaakin mia raokanaki mia benxoa iki ixon
Extra_Educational 	en el aula una mamá enseña a los niños de cómo preparar una mazamorra de pescado	axeti xobonko joxon titan betenti bakebo onanmai
Extra_Educational 	la anciana enseña a los niños un canto sobre el corte de cerquillo a la niña	yoxaman, bake ainbo besteaki ika masha iti bakebo axeakai
Extra_Educational 	saca los dibujos y pégalos como te parece que es tu comunidad	ribojobo tsekaxon min jemakeskakin taxnanwe
Extra_Educational 	para realizar esta tarea, los niños preguntan a sus padres los nombres de sus demás hijos	nato tee anoxon bakebaon papabo yokawe jawen baken jane
Extra_Educational 	después de agrupar en dos a los niños, entrégales los dibujos que has traído	japekao bakebo rabe tsama axon ja min ribojo beabo jato meniwe
Extra_Educational 	luego coge diferentes palitos y hojas secas y pégalos como si la corriente los trajera	jainxon mesko jiwi itan pei choshi bixon jene beaitian mesko jiwibo toxbata jisakin taxnanwe
Extra_Educational 	siéntate con los niños en el suelo, pon delante de ellos las muchas semillas, las pelotas y las demás cosas y diles de esta manera escojan cinco cosas y ordénenlos de grande a chico, luego, haz que los niños expliquen lo que han hecho	bakebo yakakinxon mesko bimi bero, pirota itan wetsa jaweki beabo jato bebon tsamanxon yokawe neskaakin katokanon ixon pichika jaweki bixon aninkoniax maxko maxkokaina akin joyonwe, jainxon bakebaon jaskaakin joyonkanabo yokaxon yoimawe
Extra_Educational 	el profesor les explica a los niños cómo deben realizar el trabajo	axeamisnin jaskaaxon bakebo etan tee atibo yoiya
Extra_Educational 	saca a los niños del aula y agrúpalos en grupos de tres	bakebo jeman pikokinxon kimisha tsama imawe
Extra_Educational 	tarea que deben realizar los niños con la ayuda del profesor	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Extra_Educational 	luego diles a los niños que ahora vamos a escribir sobre los árboles	japekao bakebo yoiwe, ramara non wishai jiwiki
Extra_Educational 	coordina con los niños algunas pautas antes de salir al patio	bakebobetan mesko joibo seneanwe jeman pikoti kanoxon
Extra_Educational 	arranca la hoja del libro y entrégasela a los niños y diles cómo deben realizar el trabajo	bakebo kirika pei tsekaxon weniwe, jato yoiwe jaskaxon tee ati
Extra_Educational 	canta con ellos las canciones aprendidas	mesko bewabo axekanaboribi jato bewakinwe
Extra_Educational 	canta con los niños	bakebo bewakinwe
Extra_Educational 	cuántos palos de yuca sembraste en un hueco	jaweti atsa taxoki min bana, westiora niainko
Extra_Educational 	los niños observan como prepara la miel la mamá con el profesor	titabetan axeamisnin jaska akin mishkin akai bakebaon oinai
Extra_Educational 	los niños cantan mashá para las niñas varias veces	bakebo masha bewai bake aiboboki jaweti iki jato toponxon wisha natanwe
Extra_Educational 	cuéntalos	toponwe
Extra_Educational 	regresa con los niños al aula y hazles diferentes preguntas	bakebo axetixobonkoxon yokabo jato awe
Extra_Educational 	viendo si son parecidos haz que los niños piensen y opinen	jaskara jisa oinxon jaton shinanbo yoikanaiboninkawe
Extra_Educational 	métete con los niños debajo de un árbol o llévalos debajo de árboles frutales y escuchen e imiten los sonidos de los pájaros tanto los que están arriba como los que están abajo	bakebo jiwi naman iamax yobin nia naman iwexon mesko yoinabo jaskati keotai itan niaibo jato mawakinwe
Extra_Educational 	luego recorta la hoja del libre y entrégasela a los niños	jainxon bakebo kirika pei tsekaxon meniwe
Extra_Educational 	debemos cuidar nuestros bosques y, de la misma manera, nuestras frutas, debemos sembrar los árboles, nuestros bosques	non niibo riki koiranti jaskaribiakin yobinbo, jiwibo non banakanti jake, non niibo
Extra_Educational 	con qué te puedes curar para ser un buen pescador el profesor trae diferentes plantas y les pregunta a los niños cuál de las platas sirve para ser un buen pescador	jawenki mecha inox mia raonmeti iki mesko peibo bea bakebo oimai, jainxon jato yokatai jawerato peimein iki jan mechanonox raometi iki ixon
Extra_Educational 	luego compáralos y coloréalos	jainxon ribojobo oinxon sikawe
Extra_Educational 	pregúntales a los niños con cuál semilla quieren comenzar para hacer sonajas	bakebo yokawe jawerato bimi beroki shakaati akaskanai
Extra_Educational 	recorta los animales y pégalos en el árbol	yoinabo xatexo jiwin taxnanti
Extra_Educational 	el profesor explica a los niños cómo se prepara la chacra	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Extra_Educational 	ordena a los niños que pongan en la mesa  la cantidad de semillas que han traído	bakebo mesko bimi berobo menixon tsamanxonbo jato toponxon yoimawe
Extra_Educational 	para que les envíen al aula dos calabazas a los niños	rabe masen jawen bake axeti xobonko bemati kopi
Extra_Educational 	con la ayuda del profesor escribe sobre los árboles dentro del dibujo de la casa	axeamisnin akinaton xobo ribojanameran jiwiki ika wishaxon
Extra_Educational 	junto con los niños conversa al salir al patio para que puedan jugar bien	bakebobetan yoyo ikai jeman pikotax jakoni raenanankanti kopi
Extra_Educational 	pídeles a los padres de los niños que traigan diferentes semillas confeccionables, que los huequeen, ya listos ponerlos en una botella con el nombre de cada niño y traerlos al aula	bakebaon papabo yokawe mesko bimi bero keontibo tsinkixon kiniaxonbo moa keontires botirianin napoxon jawe baken janeyabo bake bemanon
Extra_Educational 	los niños cantan mashá	bakebo masha bewai
Extra_Educational 	para que los niños resuelvan la tarea con el profesor	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Extra_Educational 	haz que los niños vean las diferentes frutas en el aula y hazles diferentes preguntas	axeti xobonko iwexon ja yobinbo oimaxon mesko yokabo bakebo awe
Extra_Educational 	entrégales las hojas del cuaderno a los niños	bakebo kirika pei meniwe
Extra_Educational 	diles a los niños que lleven tres hojas al aula	bakebo yoiwe kimisha pei tsekaxon axetexobonko beti
Extra_Educational 	de la misma forma también dobla el papel y forma los pies del sajino	jaskaxon wetsaboribi katoxon jonon taebo pikowe
Extra_Educational 	tráelos recortados	xatebo axon bewe
Extra_Educational 	ponlos a ellos en un círculo y que recojan el achote con el dedo y haz que los niños pinten en esa bandera dibujada. una vez terminada, pega la bandera al costado del aula para que todos puedan mirarla	westiora toro jato imaxon maxe mekeain bimaxon ja bandera ribojana bakebo sikamawe, axon axetixobo bebon taxnanwe jatixonbi oinkanon ixon
Extra_Educational 	finalmente haz que los niños expliquen el trabajo que han realizado	seneanxon bakebo yoimawe jaskara tee akana yoiti
Extra_Educational 	haz que los niños realicen el trabajo recordando lo que la anciana les dijo ayer	bakebo bakish nete yoxaman onanmaibata shinanmaxon tee jato amawe
Extra_Educational 	pensando de acuerdo a lo explicado por la mamá de cómo realizar la preparación de miel de papaya, dibújalos y pégalos ordenadamente, luego, en cada círculo escribe la cantidad de miel que hemos sacado	yoxaman jaskaxon pocha mishkianti onama shinanxon ribojobo tsekaxon jakon akin joyonkin taxnanwe, jainxo torotibi jati paketa wishawe
Extra_Educational 	el profesor les explica a los niños cómo deben realizar la tarea	axeamisnin jaskaaxon bakebo betan tee atibo yoiya
Extra_Educational 	conversa con los niños antes de salir	bakebo betan yoyo iwe jeman pikoti kanoxon
Extra_Educational 	mira cómo son los dibujos de sandías	santirabo ribojana oinwe jawekeska jisaborin
Extra_Educational 	pregúntales a los niños después de escuchar este relato	bakebo yokabo awe, jato ninkata pekao
Extra_Educational 	así juegan los niños de cinco años	neskati tsinikanai 5 pichika baritiayabo
Extra_Educational 	luego los niños hacen diferentes preguntas a la anciana para seguir aprendiendo más	jainxon bakebaon mesko yokabo yoxaman akai onanboresnoxon
Extra_Educational 	la madre anaconda de los peces	ronin yapan tita
Extra_Educational 	qué están haciendo los hombres	jaweakiri jonibo
Extra_Educational 	escucha lo que dicen los niños	bakebaon shinanbo ninkawe
Extra_Educational 	arranca la hoja del libro y entrégasela a los niños	bakebo kirika petsexon meniwe natobo
Extra_Educational 	canta con ellos las diferentes canciones aprendidas	mesko bewabo axekanaboribi jato bewakinwe
Extra_Educational 	luego de ver, diles a los niños que ahora van a escribir cómo nos curamos cuando nos duele la cabeza, me lo pueden decir escucha sus opiniones	oinkana pekao bakebo yoiwe ramara non wishai mapon chexaki noa jawekeskati raonmetai, matonki yoiti iki jaton shinanbo ninkawe
Extra_Educational 	conversa con los niños acerca de lo que significa el perú	bakebo perú ikaki yoyo ikinwe
Extra_Educational 	di a los niños que su opinión yo les voy a escribir en el cuaderno	bakebo yoiwe maton ea yoiyaibora en mato wishaxonai kirikain
Extra_Educational 	siéntate con los niños en el suelo, entrégales el trabajo que han hecho y has que lo vean, conversa sobre las cosas realizadas durante el mes, recuérdales haciéndoles diferentes preguntas de esta manera	bakebo naman yakakinxon ja tee akanabo bexon jato menipakewe oinkanon, ja oxe axekana jawekiboki yoyo ikanai, jato shinamawe mesko yokabo axon neskaakin
Extra_Educational 	creen que podemos domesticar a todos los animales	jatibi yoinabomein non inaati atipanke
Extra_Educational 	qué peces no tienen escamas al volver al aula, muéstrales a los niños las aletas de pescado y las escamas de paiche, y realiza diferentes preguntas	jawe yapaborin xakaoma axeti xobonkoxon iwexon bakebo yakakinxon yapa ispia itan wame xaka oimaxon mesko yokabo akai
Extra_Educational 	arranca las hojas del libro y entrégaselas a los niños y luego explícales	bakebo kirika pei tsekaxon meniwe, jainxon yoyo awe
Extra_Educational 	dales algunas ideas a los niños para que salgan e imiten el ratón grande	bakebo shinan meniwe, imaxon pikoti terakaki ika
Extra_Educational 	después de sembrar la sandía, qué cosas no se debe tocar, qué árboles tienen resina coloréalos con el guisador	santira bananoxonki jawe jawekibo metima iki jawerato jiwiki yomoxo iki ja koroman sikawe
Extra_Educational 	las aves que nos predicen cuando se marean los peces	jan noa yapa paenaitian onamai peiya yoinabo
Extra_Educational 	encierra los peces que están en lo más profundo de la cocha, luego, marca con un aspa a los peces que están cerca a la orilla	iian chicho yapabo itina torokan xepowe, jainxon ja yoinabo iian kexa itinabo korosawe
Extra_Educational 	pega en tu cuaderno los animales que has sacado, viéndolos, pega cada una de sus partes, luego di el nombre de cada animal	yoinabo ribojana oinxon jawe tekibo tsekaxon taxnanwe, jainxon yoinabaon janeyoiwe
Extra_Educational 	en esos huecos que hay, amárralos con el hilo, desde el hueco grande hasta el más pequeño	ja kinibo ikainko yomaman nexati, aninkoxon maxko akin
Extra_Educational 	primero deberás coordinar con los papás para que tengan conocimiento y te ayuden	kirika wishaxon jaton bakebo betan bomawe
Extra_Educational 	arranca la hoja del libro y entrégasela a los niños para que hagan la tarea y diles cómo deben hacerla	jan teeti kirika pei tsekaxon bakebo meniwe jaskaakin tee atibo jato yoiwe
Extra_Educational 	junto el aguaje bajo el sol, junto el aguaje, los hago sentar	binon topikan barin binon topikan yasan akebainxon
Extra_Educational 	explícales a los niños cómo deben realizar la tarea	jainxon bakebo ja tee ati yoiwe
Extra_Educational 	después, se les pregunta a los niños con qué miembros de la familia viven en su hogar, después de la explicación del abuelo, pega los dibujos en  el libro y pregúntales cómo se llaman los miembros de su familia que han dibujado y pegado	japekao bakebo yokatai tsobetan jaarin ixon yoiti, moa yosin yoiya nikaxon onana pekao yokawe jawe janeborin, rama ja kirikanin non rarebobo ribojana taxnanxon jato yokawe jawe janeborin
Extra_Educational 	después de hacer una reflexión con los niños, entrégales el libro y diles que hagan la tarea según su guía, qué trabajos realizan en tu comunidad viendo los dibujos, coloréalos	bakebo shinanbo ninkata pekao, jan teeti kirika menixon jaskakin tee ati yoiwe ja chibankin ati kopi, jawe teeboki min jemanxon akanai ribojobo oinxon jabores sikawe
Extra_Educational 	arranquen los dibujos de animales y péguenlos en el árbol	yoinabo ribojana tsekaxon jiwin taxnanwe
Extra_Educational 	escucha lo que los niños dicen	bakebaon shinanbo ninkawe
Extra_Educational 	luego en el aula amarra una caña larga y cuelga los collares de los niños todos los días para que puedan mirarlos al venir al aula	jainxon axeti xobonko westiora tawa nenke nexawe jain bakebaon jaton teotibo paninai netetibi joax tsinikantikopi
Extra_Educational 	recorta los papeles del mismo tamaño	kirika senenbires jisakin xatewe
Extra_Educational 	juega con ellos de esta manera	neskaakin jato tsinikinwe
Extra_Educational 	saca los dibujos y forma una canoa	ribojobo tsekaxon westiora nonti pikowe
Extra_Educational 	de dónde son los hombres	jaweranoa joniborin
Extra_Educational 	coordina con una anciana para que venga a enseñarles a los niños a cantar mashá	yoxan betan joi seneanwe bakebo masha iti axeaki jonon ixon
Extra_Educational 	el profesor reflexiona con los niños	axeamisnin bakebo eseai
Extra_Educational 	miren los dibujos	ribojobo oinxon
Extra_Educational 	qué hemos formado al juntar los pedazos de dibujo	ribojo xatebo tekixonki non jawe pikoa
Extra_Educational 	cómo se llama el que dirige a los sajinos	jan jonobo bai renikinaki jawe jane iki
Extra_Educational 	diles que uno por uno diferencien la gruesa de la delgada y escúchalos	yoimawe westiorabo raston imax rastonmarin jato ninkawe
Extra_Educational 	para qué otras cosas más sirve el piripiri ahora escúchales a los niños	jawe ikiribiki noa wasten raometi iki bakebaon shinanbo ninkawe
Extra_Educational 	da explicaciones a los niños y que trabajen con los papás ordenadamente	bakebobetan seneanti joibo shinanwe jakonax papabobetan raenankanon
Extra_Educational 	cuando contamos, cuántas cerámicas resultan arranca las hojas del cuaderno de trabajo y entrégalas a los niños. mirando la cerámica elaborada, pregunte cuántas cerámicas ha elaborado la anciana con su hija al contar hasta cuatro, pégalas en el palo	non toponaki jaweti chomo paketa bakebo kirika pei tsekaxon meniwe, jainxon jaskaxon tee ati yoiwe, mapó akana oinxon yoiwe jaweti chomoki yoxan betan jawen baken aka toponxon chosko kaman jiwiki taxnanwe
Extra_Educational 	después de mostrar el dibujo a los niños, conversen. luego escucha lo que dicen	bakebo ribojo oinmaxon yoyo ikenwe, jaskara jisa yoikanaibo ninkawe
Extra_Educational 	sal con los niños al patio y haz que se sienten en círculo y explícales que van a jugar arrancando la yuca	bakebo jeman pikokinxon torokin yakakinxon jato yoiyai ramara atsa mexai iki noa tsinikanai
Extra_Educational 	dibuja un cuento para crear al ratón grande donde falte. luego corta los papeles, pega uno con los hilos de manera ordenada y decóralos bonito. luego explícales a todos	terakaki ika westiora imaa pikonoxon ja maxkatainko ribojanwe, jainxon xatexon westiora yomaman joyonkin taxnanxon metsakin raoawe, ja pekao min imaa pikoa jato yoiwe
Extra_Educational 	ahora ellos también celebran otras fiestas	ramatianbobirira akanai mesko pishtabo jaabo iki
Extra_Educational 	este libro tiene muchos contenidos, los cuales tú puedes aprender como jugando a escribir, a colorear, a delinear, a escuchar el pasado, a declamar, a cantar, a dibujar, entre otras cosas	nato kirikameranra jake mesko jawekibaon mia axetibo jonii iananbi itan tsiniananbi wishatibo, sikatibo, imaa yoitibo, winotabo ninkati, rabitibo, bewatibo, ribojantibo itan wetsaboribi
Extra_Educational 	arranca las hojas de los dibujos de los animales y entrégaselas	yoinabo ribojana pei petsexon jato meniwe
Extra_Educational 	junta a los niños de a dos	rabe bakebo biananamawe
Extra_Educational 	los niños deben hacer recogido una piedra cada uno	bakebaon westiora makan bia iti jake
Extra_Educational 	quiénes viven en estos dos mundos los niños dicen sus opiniones después de escuchar	nato rabe netenko jaaboki tsoaba iki bakebaon yoiyai jaton shinanbo, ja ninkata pekao
Extra_Educational 	lleva a los niños a la comunidad	bakebo jeman pikokinai
Extra_Educational 	luego amárralos	jainxon nexawe
Extra_Educational 	haz que los niños comenten	bakebo yoyo imawe
Extra_Educational 	di con tus propias palabras lo que están haciendo los hombres con los árboles	jonibaon jiwi jaska akai yoiwe min shinaman
Extra_Educational 	algunas veces pescas con tu papá entrega el material de trabajo a los niños y explica cómo deben hacerlo. después compara cómo se pesca en tu comunidad y en otros lugares que están en el dibujo. míralo bien y ubícalo en el lugar que corresponde	minki min papabetan neskakinbo yomerai jan teeti kirika bakebo menixon jaskaakin tee ati yoiwe, min jemankoxon itan wetsa jemankoxon jaskakin yomeranaibo ribojana oinxon westiora serekan ja itinkobo mepinwe
Extra_Educational 	una vez dibujado el hombre, corten alrededor del dibujo, luego cósanlo dejando una abertura para que los niños puedan meter las hojas secas de plátano	ja joni ribojana katekin xatexon kexeai xaba jeneai jain bakebaon paranta pei niakantikopi
Extra_Educational 	el dibujo de los niños	bakebaon ribojo
Extra_Educational 	lleva a los niños a orillas del río y hazles sentar en círculo, luego, hazles cerrar los ojos y que escuchen los diferentes sonidos de los pájaros, luego, hazles diferentes preguntas	paro kexa bakebo iwexon torokinxon yakakinwe jainxon jato betikinxon meskoti isa keotaibo ninkakanwe, jainxon mesko yokabo jato awe
Extra_Educational 	sal con los niños afuera y canten diferentes canciones acompañados de la sonaja	jeman bakebo pikokinxon mesko bewabo jato bewakinwe ja shakaati shakaanan
Extra_Educational 	escucha con los niños lo que dice el anciano, el sajino es un animal, él es el que les dice hacia dónde ir	bakebo yosin yoiyai ninkakinwe, jono riki yoinna jan jato bai renikina bai natanaibo
Extra_Educational 	tráeles a los niños la historia del chullachqui en un cuaderno y léeselo	bakebo choyachaki ini kirkikanin wishaxon bexon jato yoyo axonwe
Extra_Educational 	llamando a nuestros familiares para que nos ayuden a construir la casa para así poder terminarla rápido recoge los dibujos, mira como construyen la casa y pégalos de igual forma	non kaibobo kenaxon noa xoboakinon ixon ishton keyoti kopi onanxon ribojobo bixon xoboaki ikanai jisakin taxnanwe
Extra_Educational 	escucha lo que dicen los niños	bakebaon mesko shinanbo ninkawe
Extra_Educational 	el profesor les habla a los niños acerca de la anaconda existe alguien que cuida nuestra agua, se llama anaconda, tiene hermosos diseños, dueña del agua y madre de los peces	axeamisnin bakebo roninki yoiyai ninkatai non jene koiranara jake jariki ronin, sankenshamankeneya, jene ibo itan yapan tita
Extra_Educational 	hazles a los niños diferentes preguntas	bakebo mesko yokabo awe
Extra_Educational 	escucha la explicación que dicen los niños	bakebaon jaton shinanbo yoikanai ninkawe
Extra_Educational 	regresa con los niños al aula y hazles diferentes preguntas para saber a quién le agradó y a quién no le agrado la miel de papaya	axeti xobonko jato iwexon mesko yokabo bakebo awe tsoabaon ken itan kenmaki ika ixon
Extra_Educational 	escucha las opiniones de los niños	bakebaon shinanbo ninkawe
Extra_Educational 	haz que los niños cumplan con la tarea	bakebo shinamawe ja joi seneantibo
