Wixarika_Corpora 	 Muchacha de cabello largo	Uka maka t+t+ 
Wixarika_Corpora-segcorpus 	esa soga no es azul	'ik+ kaunari p+-ka-yuawi
Wixarika_Corpora-segcorpus 	ese mecate no es azul	'ik+ kaunari p+-ka-yuawi
Wixarika_Corpora-segcorpus 	ese mecate es verde 	'ik+ kaunari p+-tsi+ra+ye
Wixarika_Corpora-segcorpus 	esa soga es roja	'ik+ kaunari p+-xeta
Wixarika_Corpora-segcorpus 	esta casa es grande	'ik+ ki 'e-p+-pa
Wixarika_Corpora-segcorpus 	esta es mi cabeza	'ik+ me-p+-mu'u
Wixarika_Corpora-segcorpus 	este gato	'ik+ mitsu
Wixarika_Corpora-segcorpus 	este es mi ojo	'ik+ ne-h+xi
Wixarika_Corpora-segcorpus 	este es mi ojo derecho	'ik+ ne-h+xi ne-p+-tserieta
Wixarika_Corpora-segcorpus 	esta es mi mano	'ik+ ne-p+-mana
Wixarika_Corpora-segcorpus 	éste pollito está flaco	'ik+ pix+x+i p+-waki
Wixarika_Corpora-segcorpus 	éste es un caballo	'ik+ p+-kavayu
Wixarika_Corpora-segcorpus 	éste es un árbol	'ik+ p+-k+ye
Wixarika_Corpora-segcorpus 	esta es su cabeza	'ik+ p+-mu'u-ya
Wixarika_Corpora-segcorpus 	éste es un niño	'ik+ p+-nunutsi
Wixarika_Corpora-segcorpus 	éste es un pollito	'ik+ p+-pix+x+i
Wixarika_Corpora-segcorpus 	este es su torax	'ik+ p+-tawie-ya
Wixarika_Corpora-segcorpus 	ésta es una milpa	'ik+ p+-waxa
Wixarika_Corpora-segcorpus 	éste es un zacate	'ik+ p+-'+xa
Wixarika_Corpora-segcorpus 	éste es un sombrero	'ik+ p+-xupureru
Wixarika_Corpora-segcorpus 	ésta es una calabaza	'ik+ p+-xutsi
Wixarika_Corpora-segcorpus 	esta ardilla	'ik+ teki
Wixarika_Corpora-segcorpus 	este perro está sucio	'ik+ ts+k+ 'axa p+-'ane
Wixarika_Corpora-segcorpus 	este perro es grande	'ik+ ts+k+ tsi-p+-pa
Wixarika_Corpora-segcorpus 	este perro es pequeño	'ik+ ts+k+ tsi-p+-pe
Wixarika_Corpora-segcorpus 	esta flor es grande	'ik+ tuutu tsi-p+-pa
Wixarika_Corpora-segcorpus 	esta flor es pequeña	'ik+ tuutu tsi-p+-pe
Wixarika_Corpora-segcorpus 	este hombre es alto	'ik+ 'uki 'a-p-u-teewi
Wixarika_Corpora-segcorpus 	este hombre es chaparro	'ik+ 'uki 'e-tsi-pavi
Wixarika_Corpora-segcorpus 	este hombre y esta mujer están parados aquí	'ik+ 'uki 'ik+ 'uka 'ena mep+ti'u
Wixarika_Corpora-segcorpus 	este hombre está parado ahí	'ik+ 'uki 'uma puwe
Wixarika_Corpora-segcorpus 	la comida está fría	'ikwai p+-ha+t+
Wixarika_Corpora-segcorpus 	este pájaro es grande	'ik+ wiki tsi-p+-pa
Wixarika_Corpora-segcorpus 	este pájaro es pequeño	'ik+ wiki tsi-p+-pe
Wixarika_Corpora-segcorpus 	este plato está nuevo	'ik+ xak+ p+-hekwa
Wixarika_Corpora-segcorpus 	este plato está roto	'ik+ xak+ p+-tari
Wixarika_Corpora-segcorpus 	esta hoja es ancha	'ik+ xapa 'a-p+-yeva
Wixarika_Corpora-segcorpus 	Me llamo jesús	Jejuts+ ne-p+-ti-tewa
Wixarika_Corpora-segcorpus 	hola	ke'aku
Wixarika_Corpora-segcorpus 	que hay	ke'aku
Wixarika_Corpora-segcorpus 	¿Cómo te llamas?	ke-pe-ti-tewa
Wixarika_Corpora-segcorpus 	ya mervoy	mana-ri ne-p+-mie
Wixarika_Corpora-segcorpus 	chaman	mara'aka-me
Wixarika_Corpora-segcorpus 	chamanes	mara'aka-te
Wixarika_Corpora-segcorpus 	el venado comia hierba	maxa '+xa m-e-kwa-ne-kai
Wixarika_Corpora-segcorpus 	el venado come hierba	maxa '+xa p+-kwa-ne
Wixarika_Corpora-segcorpus 	ellos están durmiendo	me-pe-kutsu
Wixarika_Corpora-segcorpus 	ellos están durmiendo	me-p+-kutsu
Wixarika_Corpora-segcorpus 	estos son tres pollitos	me-p+-yu-haika 'pix+x+i-tsi
Wixarika_Corpora-segcorpus 	éstos son tres pájaros	me-p+-yu-haika puteya-te
Wixarika_Corpora-segcorpus 	éstos so tres pájaros	me-p+-yu-haika wiki-xi
Wixarika_Corpora-segcorpus 	estos son dos pollitos	me-p+-yu-huta 'pix+x+i-tsi
Wixarika_Corpora-segcorpus 	éstos sno dos pájaros	me-p+-yu-huta wiki-xi
Wixarika_Corpora-segcorpus 	estos son cuatro pollitos	me-p+-yu-nauka 'pix+x+i-tsi
Wixarika_Corpora-segcorpus 	éstas son cuatro botellas	me-p+-yu-nauka puteya-te
Wixarika_Corpora-segcorpus 	éstos so cuatro tres pájaros	me-p+-yu-nauka wiki-xi
Wixarika_Corpora-segcorpus 	el es alto	m+k+ 'a-p-u-teewi
Wixarika_Corpora-segcorpus 	él está parado aquí	m+k+ 'ena pe-puwe
Wixarika_Corpora-segcorpus 	ella está parado aquí	m+k+ 'ena puwe
Wixarika_Corpora-segcorpus 	ese peyote está limpio	m+k+ hikuri 'aix+ p+-'ane
Wixarika_Corpora-segcorpus 	esa niña es alta	m+k+ '+imari 'a-p+-teewi
Wixarika_Corpora-segcorpus 	esa niña es flaca	m+k+ '+imari 'e-tsi-teewi
Wixarika_Corpora-segcorpus 	el cedro es verde	m+k+ kariuxa p+-tsi+ra+ye
Wixarika_Corpora-segcorpus 	ese árbol va a ser grande	m+k+ k+ye e-p+-ta-pa-re
Wixarika_Corpora-segcorpus 	ese venado	m+k+ maxa
Wixarika_Corpora-segcorpus 	ese venado viene bajando	m+k+ maxa p-a-ka-mie
Wixarika_Corpora-segcorpus 	ese venado viene dando la vuelta	m+k+ maxa p-a-ku-mie
Wixarika_Corpora-segcorpus 	ese venado viene entrando 	m+k+ maxa p-a-ta-mie
Wixarika_Corpora-segcorpus 	ese venado viene subiendo	m+k+ maxa p-a-ti-mie
Wixarika_Corpora-segcorpus 	ese venado viene saliendo	m+k+ maxa p-a-ya-mie
Wixarika_Corpora-segcorpus 	este gato está sucio	m+k+ mitsu 'axa p+'ane
Wixarika_Corpora-segcorpus 	ese niño es gordo	m+k+ ninutsi p+-waya
Wixarika_Corpora-segcorpus 	ese niño es flaco	m+k+ nunutsi p+-waki
Wixarika_Corpora-segcorpus 	esta es tu cabeza	m+k+ pe-p+-mu'u
Wixarika_Corpora-segcorpus 	ella es una muchacha	m+k+ p+-'+imari
Wixarika_Corpora-segcorpus 	el es un muchacho	m+k+ p+-temaik+
Wixarika_Corpora-segcorpus 	ella es mujer	m+k+ p+-'uka
Wixarika_Corpora-segcorpus 	él es hombre	m+k+ p+-'uki
Wixarika_Corpora-segcorpus 	esa canasta es de ustedes	m+k+ p+-xe-tsik+iwiti
Wixarika_Corpora-segcorpus 	este muchacho está parado aquí	m+k+ temaik+ 'ena puwe
Wixarika_Corpora-segcorpus 	ese perro está parado junto a la puerta	m+k+ ts+k+ kitenie puwe
Wixarika_Corpora-segcorpus 	ese perro es flaco	m+k+ ts+k+ p+-waki
Wixarika_Corpora-segcorpus 	ese perro es gordo	m+k+ ts+k+ p+-waya
Wixarika_Corpora-segcorpus 	ese hombre está parado ahí	m+k+ 'uki 'uma puwe
Wixarika_Corpora-segcorpus 	él está parados ahí	m+k+ 'uma puwe
Wixarika_Corpora-segcorpus 	ella está parado ahí	m+k+ 'uma puwe
Wixarika_Corpora-segcorpus 	él está parado ahí	m+k+ 'uwa pe-puwe
Wixarika_Corpora-segcorpus 	el comia carne	m+k+ wai m-e-kwa-ne-kai
Wixarika_Corpora-segcorpus 	el come carne	m+k+ wai p+-kwa-ne
Wixarika_Corpora-segcorpus 	ese águila	m+k+ werika
Wixarika_Corpora-segcorpus 	ese pajaro viene bajando	m+k+ wiki p-a-ka-mie
Wixarika_Corpora-segcorpus 	ese pajaro viene dando la vuelta	m+k+ wiki p-a-ku-mie
Wixarika_Corpora-segcorpus 	ese pajaro viene entrando 	m+k+ wiki p-a-ta-mie
Wixarika_Corpora-segcorpus 	ese pajaro viene subiendo	m+k+ wiki p-a-ti-mie
Wixarika_Corpora-segcorpus 	ese pajaro viene saliendo	m+k+ wiki p-a-ya-mie
Wixarika_Corpora-segcorpus 	ellos están parados aquí	m+me 'ena me-p+-ti-'u
Wixarika_Corpora-segcorpus 	ellos están parados ahí	m+me 'uma me-p+-ti-'u
Wixarika_Corpora-segcorpus 	está sentado junto a mí	ne-'aurie p-a-ka
Wixarika_Corpora-segcorpus 	yo estoy párado aquí	ne 'ena ne-puwe
Wixarika_Corpora-segcorpus 	está sentado frente de mí	ne-h+xie p-a-ka
Wixarika_Corpora-segcorpus 	mis ojos	ne-h+xi-te
Wixarika_Corpora-segcorpus 	mi corazón está bien	ne-iyari aix+ p+'ane
Wixarika_Corpora-segcorpus 	mi corazón	ne-iyari
Wixarika_Corpora-segcorpus 	mi barco	ne-kanuwa
Wixarika_Corpora-segcorpus 	mi casa	ne-ki
Wixarika_Corpora-segcorpus 	mi casa es blanca	ne-ki p+-tuxa
Wixarika_Corpora-segcorpus 	mi borrego	'ne-muxa
Wixarika_Corpora-segcorpus 	yo soy muchacha	ne ne-p+-'+rimari
Wixarika_Corpora-segcorpus 	yo soy un muchacho	ne ne-p+-temaik+
Wixarika_Corpora-segcorpus 	yo soy mujer	ne ne-p+-'uka
Wixarika_Corpora-segcorpus 	yo soy mujer	ne ne-p+-uka
Wixarika_Corpora-segcorpus 	yo soy hombre	ne ne-p+-'uki
Wixarika_Corpora-segcorpus 	yo entiendo	ne-p+-'ena
Wixarika_Corpora-segcorpus 	le escribí cartas	ne-pi-'i-ti-xapa-'u-ti-ri
Wixarika_Corpora-segcorpus 	yo no entiendo	ne-p+-ka-'ena
Wixarika_Corpora-segcorpus 	mi cabeza duele	ne-p+-mu'u-kwine
Wixarika_Corpora-segcorpus 	yo veo	ne-p+-niere
Wixarika_Corpora-segcorpus 	yo también	ne-tsiere
Wixarika_Corpora-segcorpus 	mi perro	ne-ts+k+
Wixarika_Corpora-segcorpus 	mi perro viene bajando	ne-ts+k+ p-a-ka-mie
Wixarika_Corpora-segcorpus 	mi perro viene dando la vuelta	ne-ts+k+ p-a-ku-mie
Wixarika_Corpora-segcorpus 	mi perro viene entrando 	ne-ts+k+ p-a-ta-mie
Wixarika_Corpora-segcorpus 	mi perro viene subiendo	ne-ts+k+ p-a-ti-mie
Wixarika_Corpora-segcorpus 	mi perro viene saliendo	ne-ts+k+ p-a-ya-mie
Wixarika_Corpora-segcorpus 	mi perro no es verde	ne-ts+k+ p+-ka-tsi+ra+ye
Wixarika_Corpora-segcorpus 	mi perro es blanco	ne-ts+k+ p+-tuxa
Wixarika_Corpora-segcorpus 	mi perro es rojo	ne-ts+k+ p+-xeta
Wixarika_Corpora-segcorpus 	mi perro es negro	ne-ts+k+ p+-y+wi
Wixarika_Corpora-segcorpus 	está sentado adelante de mí	ne-wari-ta p-a-ka
Wixarika_Corpora-segcorpus 	está sentado detrás de mí	ne-wari-ta pa-ka
Wixarika_Corpora-segcorpus 	mi olla no es verde	ne-xari p+-ka-tsi+ra+ye
Wixarika_Corpora-segcorpus 	mi olla es roja	ne-xari p+-xeta
Wixarika_Corpora-segcorpus 	mi olla es negra	ne-xari p+-y+wi
Wixarika_Corpora-segcorpus 	mi violín	ne-xaweri
Wixarika_Corpora-segcorpus 	ven hermano	niwa ne-iwa
Wixarika_Corpora-segcorpus 	ven mujer	niwa uka
Wixarika_Corpora-segcorpus 	ven hombre	niwa uki
Wixarika_Corpora-segcorpus 	el niño está parado	nunutsi 'a-puwe
Wixarika_Corpora-segcorpus 	el niño se durmó	nunutsi p-eu-ku
Wixarika_Corpora-segcorpus 	el niño se va a dormi	nunutsi p-eu-ku-ni
Wixarika_Corpora-segcorpus 	el niño se está durmien	nunutsi p-eu-ku-xime
Wixarika_Corpora-segcorpus 	viene	p-a-mie
Wixarika_Corpora-segcorpus 	gracias	pampariyutsi
Wixarika_Corpora-segcorpus 	era	p+-'ane-kai
Wixarika_Corpora-segcorpus 	puede ser	p+-'ane-we
Wixarika_Corpora-segcorpus 	fue	p+-'ane-x+
Wixarika_Corpora-segcorpus 	el entiende	pe-p+-'ena
Wixarika_Corpora-segcorpus 	el no entiende	pe-p+-ka-'ena
Wixarika_Corpora-segcorpus 	estás durmiend	pe-p+-kutsu
Wixarika_Corpora-segcorpus 	tu vez	pe-p+-niere
Wixarika_Corpora-segcorpus 	¿trabajarás mañana?	pe-ti-ni-ta 'uximayata-m+k+
Wixarika_Corpora-segcorpus 	estos son dos sombreros	p+-huta xupureru
Wixarika_Corpora-segcorpus 	no viene	p+-ka-ha-mie
Wixarika_Corpora-segcorpus 	no ve	p+-ka-heu-niere
Wixarika_Corpora-segcorpus 	no esta durmiendo	p+-ka kÃºtsu
Wixarika_Corpora-segcorpus 	no es azul	p+-ka-yuawi
Wixarika_Corpora-segcorpus 	es una mesa	p+-mexa
Wixarika_Corpora-segcorpus 	es un gato	p+-mitsu
Wixarika_Corpora-segcorpus 	es un borrego	p+-muxa
Wixarika_Corpora-segcorpus 	es una botella	p+-p+teya
Wixarika_Corpora-segcorpus 	es un vaso	p+-tek+xi
Wixarika_Corpora-segcorpus 	hace viento	p-u-'eeka
Wixarika_Corpora-segcorpus 	era mujer	p+-'uka-t+-kai
Wixarika_Corpora-segcorpus 	era hombre	p+-'uki-t+-kai
Wixarika_Corpora-segcorpus 	es un pájaro	p+-wiki
Wixarika_Corpora-segcorpus 	es un sombrero	p+-xupureru
Wixarika_Corpora-segcorpus 	es azul	p+-yuawi
Wixarika_Corpora-segcorpus 	la muchacha se llama paula	'+rimari paura p+-ti-tewa
Wixarika_Corpora-segcorpus 	nuestro peyote	ta-hikuri
Wixarika_Corpora-segcorpus 	fuego caliente	tai p+-x+ka
Wixarika_Corpora-segcorpus 	nuestros hermanos	ta-iwa-ma
Wixarika_Corpora-segcorpus 	nuestra lancha	ta-kanuwa
Wixarika_Corpora-segcorpus 	nostros estamos parados aquí	tame 'ena te-p+-ti-'u
Wixarika_Corpora-segcorpus 	nosotras somos dos muchachas	tame te-p+-ta-huta '+imari-xi
Wixarika_Corpora-segcorpus 	nosotros somos dos muchachos	tame te-p+-ta-huta temari
Wixarika_Corpora-segcorpus 	nosotras mujeres	tame ukari
Wixarika_Corpora-segcorpus 	nuestra lengua	ta-niuki
Wixarika_Corpora-segcorpus 	sé español	teiwari-k+ ne-p+-niu-we
Wixarika_Corpora-segcorpus 	el muchacho se llama tomás	temaik+ tumaxi p+-ti-tewa
Wixarika_Corpora-segcorpus 	estamos durmiendo	te-p+-kutsu
Wixarika_Corpora-segcorpus 	ojo de dios	tsik+ri
Wixarika_Corpora-segcorpus 	el perro está debajo de la mesa	ts+k+ mexa-t+a payeka
Wixarika_Corpora-segcorpus 	mi perro es blanco	ts+k+ p+-tuxa
Wixarika_Corpora-segcorpus 	muchacha flor	tutu '+imari
Wixarika_Corpora-segcorpus 	la mujer se llama maría	'uka mariya p+-ti-tewa
Wixarika_Corpora-segcorpus 	día de la mujer	ukari watu-ka-ri
Wixarika_Corpora-segcorpus 	el hombre está parado	'uki 'a-puwe
Wixarika_Corpora-segcorpus 	el hombre se llama juan	'uki wani p+-ti-tewa
Wixarika_Corpora-segcorpus 	ahí hay una casa	'uma ki puwe
Wixarika_Corpora-segcorpus 	hasta mañana	uxa'a-ta
Wixarika_Corpora-segcorpus 	tiempo de lluvias	witarita
Wixarika_Corpora-segcorpus 	ustedes están parados ahí	xeme 'uma xe-p+-ti-'u
Wixarika_Corpora-segcorpus 	ustedes son dos muchachas	xeme xe-p+-yu-huta '+imari-xi
Wixarika_Corpora-segcorpus 	ustedes son dos muchachos	xeme xe-p+-yu-huta temari
Wixarika_Corpora-segcorpus 	ustedes están durmiendo	xe-p+-kutsu
Wixarika_Corpora-segcorpus 	patio del elote tierno	xita-takwa
Wixarika_Corpora-segcorpus 	persona tortuga	'aye tewi-yari
Wixarika_Corpora-segcorpus 	 tal vez va a venir	kam+-ts+ ti-núa-ni 
Wixarika_Corpora-segcorpus 	Cortador de flores	TUTU-PIKA
Wixarika_Corpora-segcorpus 	mujer azulada	yuawi-ma
Wixarika_Corpora-segcorpus 	mis gatos	Ne mitsu-ri
Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	MEKIKU KIEKATARI NIUKIEYA MIWIMA 
Mexican_constitution 	Constitución publicada en el Diario Oficial de la Federación el 5 de febrero de 1917 	‘Iki Wimari kananayenetiarieni xapa Diario Oficial de la Federación huta metseritsie 5 tukari 1917 witariyaritsie 
Mexican_constitution 	Última reforma publicada DOF 27-01-2015 	Hekwariyari wa’utia mieme mahekiariyarie DOF 27-05-2015 
Mexican_constitution 	El C. Primer Jefe del Ejército Constitucionalista, Encargado del Poder Ejecutivo de la Nación, con esta fecha se ha servido dirigirme el siguiente decreto: 	Matiari Kuyaxi Wa’ukiyari manuti’axé makawe, ‘Itsikame Mekiku Kiekarieya Mi‘iwiya, ‘ipai ‘upaukukaku ‘iki rekiretu kaneniutaxeiya: 
Mexican_constitution 	VENUSTIANO CARRANZA, Primer Jefe del Ejército Constitucionalista, Encargado del Poder Ejecutivo de los Estados Unidos Mexicanos, hago saber: 	VENUSTIANO CARRANZA, Matiari Kuyaxi Wa’ukiyari manuti’axé makawe, ‘Itsikame Mekiku Kiekarieya Mi‘iwiya, Mekiku Kiekatari Niuekieya Miwima, ‘ipai nekanaineni: 
Mexican_constitution 	Que el Congreso Constituyente reunido en esta ciudad el 1o. de diciembre de 1916, en virtud del decreto de convocatoria de 19 de septiembre del mismo año, expedido por la Primera Jefatura, de conformidad con lo prevenido en el artículo 4o. de las modificaciones que el 14 del citado mes se hicieron al decreto de 12 de diciembre de 1914, dado en la H. Veracruz, adicionando el Plan de Guadalupe, de 26 de marzo de 1913, ha tenido a bien expedir la siguiente: 	Waníu Congreso Constituyente meyuxeirieti ‘ena kiekaritsie 1o. tukaritsie tamamata heimana huta metseritsie 1916 witariyaritsie, rekiretu mutahekiaritsie 19 tukaritsie ‘atanauka metseriyaritsie ‘iki witaritsie, kanenayenetiani Primera Jefatura, ‘aritikuru 4o. mitikuxata pai mitiuyutipataxi 14 tukaritsie rekiretutsie kanahekiare 12 tukaritsie tamamata heimana huta metseriyari 1914 witariyaritsie, katineyiní H. Veracruz, kananiiré Plan de Guadalupe xapayaritsie, 26 tukaritsie haika metseri 1913 wiyariyaritsie, kananayeneeni xapa ‘ipai ‘aneti: 
Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS QUE REFORMA LA DE 5 DE FEBRERO DE 1857 	MEKIKU KIEKATARI NIUKIEYA MIWIMA MIHEKWARIYARIE 5 HUTA METSERITSIE 1857 WITARI MIEME 
Mexican_constitution 	Título Primero 	Xewirieka tituruyari 
Mexican_constitution 	Capítulo I 	Kapituru I 
