Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	LEE NDI'IN LO'O NE' SE'EN LYI'YA LOO CHIJYA' 
Mexican_constitution 	Todas las autoridades, en el ámbito de sus competencias, tienen la obligación de promover, respetar, proteger y garantizar los derechos humanos de conformidad con los principios de universalidad, interdependencia, indivisibilidad y progresividad. 	Nchgaa se'en nducua ne' nchca bsya se'en lyi'ya loo quichen Chijya', ntsu'hui cha' chcui' ne' cha' re lo'o nten lo' su'hua loo nten can' 'in ne' lo' chu'hui ne' cunta 'in ne' tsaña'an nguinu scua scaa chcui' se'en, lo' ta quiya' ne' 'in can' cunda sca ti ne' nchgaa xaa. 
Mexican_constitution 	En consecuencia, el Estado deberá prevenir, investigar, sancionar y reparar las violaciones a los derechos humanos, en los términos que establezca la ley. 	Cha' a caja'an ne' nchca bsya can' cha' re, gubiernu 'in Estado nu lyi'ya loo se'en ndi'in ne' ntsu'hui cha' cu'ni quii, lo' culo qui'ya 'in ne' si'ya cha' can', lo' xu'hua lyiya' ne' qui'ya nu m'ni ne' lo'o nten can' tsaña'an ndi'in tyaa lee re cha'. 
Mexican_constitution 	Está prohibida la esclavitud en los Estados Unidos Mexicanos. Los esclavos del extranjero que entren al territorio nacional alcanzarán, por este solo hecho, su libertad y la protección de las leyes. 	A tucui nu ntsu'hui cha' cuiya' 'in tca xñi su'hua yaa' 'in sca tucui ndi'in se'en lyi'ya loo Chijya', nchgaa nu nsñi su'hua yaa' ne' 'in nu ndi'in xca quichen tnu lo' cha' sten can' se'en lyi'ya loo yuu 'in ne' Chijya' tca lyaa can' lo' quinu libre can', lo' lee cua' chu'hui cunta 'in can'. 
Mexican_constitution 	Queda prohibida toda discriminación motivada por origen étnico o nacional, el género, la edad, las discapacidades, la condición social, las condiciones de salud, la religión, las opiniones, las preferencias sexuales, el estado civil o cualquier otra que atente contra la dignidad humana y tenga por objeto anular o menoscabar los derechos y libertades de las personas. 	A tucui ntsu'hui cha' cuiya' 'in ña'an ti'i 'in sca nten si'ya ycha' nchcui' ne', ña'an ndyon ne', uta chin' yjan ne' uta si'yana nde'en se'en 'in cunan ne' a chcui cha' 'in na, ta si'yana ti'i ne', si'yana jo'o ti ña'an ndyon ne', ta si'ya cha' ndiya qui'an ti' ne', ta si'yana a ndi'in nten 'in ne', uta si'ya ña'an nten nu nchca ti' ne' ta'a tyi'in ne', uta si'ya ña'an cha' tiyaa 'in ne', uta nde'en tucui ca ti' cu'ni ti'i lo'o ne' uta a su'hua loo cha' nu nga'an cha' qui'ni ca'an 'in ne'. 
Mexican_constitution 	Artículo 2º. 	Lee cuiya' 2. 
Mexican_constitution 	La Nación Mexicana es única e indivisible. 	Quichen Chijya' ntsu'hui cha' ca sca cha' ti 'in na lo' 'a tca 'a tyu'hue ti'in na. 
Mexican_constitution 	La Nación tiene una composición pluricultural sustentada originalmente en sus pueblos indígenas que son aquellos que descienden de poblaciones que habitaban en el territorio actual del país al iniciarse la colonización y que conservan sus propias instituciones sociales, económicas, culturales y políticas, o parte de ellas. 	Quichen Chijya' chcan' loo ña'an ti ta nten ndi'in 'in na, lo' lca ne' chacuii' nten nu ncua' tyi, mdo'o ne' loo ta nten nu mdi'in quichen' Chijya' cua' s'ni lo' xa yten xca ta nten 'in na, nten can' a ngulya ti' ne' nchgaa ña'an ndi'in ne', ña'an m'ni ne' tñan tyijyin yu'hui 'in ne' a cunta nchgaa cha' nu ntsu'hui 'in ne' n'ni sca cha' ti 'in ne'. 
Mexican_constitution 	La conciencia de su identidad indígena deberá ser criterio fundamental para determinar a quiénes se aplican las disposiciones sobre pueblos indígenas. 	Cui' ne' ljyo tsu'hue ti' ne' tiña'an ta nten nu ncua tyi lca ne', cua ña'aan cha' ntsu'hui 'in ne' si'ya ycha' nchcui' ne' lo' can' nu ntsu'hui cha' cu'ni cunta lee 'in ta'a quichen tyi. 
Mexican_constitution 	Son comunidades integrantes de un pueblo indígena, aquellas que formen una unidad social, económica y cultural, asentadas en un territorio y que reconocen autoridades propias de acuerdo con sus usos y costumbres. 	Nchgaa nten nu ncua tyi lca ne' sca quichen nu nchgaa ne' sca cha' ti' 'in ne' lo'o nchgaa cha', lo' cua' lca se'en m'ni ca'an 'in ne' tyi'in ne', a cunta cha' 'in ti ne' ndlo ton ne' bsya 'in ne' tsaña'an cha' nu cua' ntsu'hui 'in ne'. 
Mexican_constitution 	El derecho de los pueblos indígenas a la libre determinación se ejercerá en un marco constitucional de autonomía que asegure la unidad nacional. 	Ntsu'hui suun 'in nten can' nu tyi'in ne' cha' 'in ti ne' lo' ca libre 'in ne' tsaña'an nchgaa la ña'an nten nu ndi'in Chijya' tsalo ti si'yana ntsu'hui cha' tyi'in ne' sca cha' ti' 'in ne' ña'aan se'en lyi'ya loo Chijya'. 
Mexican_constitution 	El reconocimiento de los pueblos y comunidades indígenas se hará en las constituciones y leyes de las entidades federativas, las que deberán tomar en cuenta, además de los principios generales establecidos en los párrafos anteriores de este artículo, criterios etnolingüísticos y de asentamiento físico. 	Loo quityi se'en lyjan lee, a cunta lo'o scasca la lee 'in Estado nu lyi'ya loo se'en ndi'in ne' nchcui' na si'yana sca ña'an ti ntsu'hui lyoo ne', can' cha' ntsu'hui cha' su'hua loo ne' lee can' a cunta lo'o ña'an nchcui' ta quityi nu cua' mdijin re, si'ya ycha' nchcui' ne' lo'o ña'an tyi'in ne' cunda scaa se'en. 
Mexican_constitution 	A. Esta Constitución reconoce y garantiza el derecho de los pueblos y las comunidades indígenas a la libre determinación y, en consecuencia, a la autonomía para: 	A. Lee nu nguinu scua 'in quichen Chijya' nsu'hua loo na lo' lo' ndi'in tyaa na sca cha' nu ñi lo'o quichen se'en ndi'in nten nu ncua tyi can' si'ya cha' nu nga'an cha' qui'ni ca'an 'in ne', culo hui ne' nchgaa cha' ndi'in 'in ne' cha' 'in ti ne' a cunta cui' ne' tyi'o lo'o ne' cha' can', lo' nde cha' cuiya' ndaa lee can' 'in ne': 
Mexican_constitution 	I. Decidir sus formas internas de convivencia y organización social, económica, política y cultural. 	I. tyi'in tyaa ne cha' ña'an tyi'in ne' ni' sca quichen, a cunta lo'o nchgaa tucui, lo'o tso' cha' 'in tñi, cha' nchca na'an tñan 'in ne', ticui' cuaña'an lo'o ña'an cha' ntsu'hui 'in ne'. 
Mexican_constitution 	II. Aplicar sus propios sistemas normativos en la regulación y solución de sus conflictos internos, sujetándose a los principios generales de esta Constitución, respetando las garantías individuales, los derechos humanos y, de manera relevante, la dignidad e integridad de las mujeres. 	II. Cui' ne' jlyo ti' ne' ña'an tyi'o hui cunda scaa cha' ndi'in quichen tyi ne', una a tca tyi'o tso' ne' lo'o ña'an nchcui' lee nu nguinu scua 'in quichen Chijya' xaa culyo huii ne' cha' can', cui' ca nu 'ni cha' su'hua loo ta'a ne', lo'o nchgaa cha' tsu'hue nu ntsu'hui cha' qui'ni ca'an 'in ne' cunda scaa ne' lo' cui' cuaña'an ntsu'hui cha' caja nu su'hua loo 'in jun cuna'an lo'o ña'an ndyon can'. 
Mexican_constitution 	La ley establecerá los casos y procedimientos de validación por los jueces o tribunales correspondientes. 	A cunta cui' Lee tyi'in tyaa na cha' lo'o yu nchca bse nchgaa cha' nu ntsu'hui cha' cu'ni cunta yu se'en ndi'in nten can'. 
Mexican_constitution 	III. Elegir de acuerdo con sus normas, procedimientos y prácticas tradicionales, a las autoridades o representantes para el ejercicio de sus formas propias de gobierno interno, garantizando que las mujeres y los hombres indígenas disfrutarán y ejercerán su derecho de votar y ser votados en condiciones de igualdad; así como a acceder y desempeñar los cargos públicos y de elección popular para los que hayan sido electos o designados, en un marco que respete el pacto federal y la soberanía de los estados. 	III. Qui'ni ca'an 'in ne' culo hui ne' ña'an nchca ti' ne' culo ton 'in nu ca bsya 'in ne', si'yana can' nu chcua loo 'in ne' se'en ndi'in ne' una ntsu'hui cha' cu'ni cunta ne' si'yana nchgaa yu qui'yu lo'o ne' cuna'an ntsu'hui suun 'in can' culo ton lo' cuaña'an ntsu'hui suun 'in can' caja nu culo ton 'in, si'yana cu'ya can' scasca tñan ndi'in 'in quichen tyi, uta scasca tñan tyi'in tyaa ne' 'in can' cu'ya, sca ti cha' si'yana ntsu'hui cha' su'hua loo can' nchgaa lee nu nguinu scua quichen Chijya' lo'o scasca cha' cuiya' nu cua' nguinu scua 'in Estado nu lyi'ya loo se'en ndi'in. 
Mexican_constitution 	En ningún caso las prácticas comunitarias podrán limitar los derechos político electorales de los y las ciudadanas en la elección de sus autoridades municipales. 	A sca cha' nu ndi'in quichen tyi ne' tca xñi su'hua yaa' na 'in ne' nu a tsalo ton ne' yu nu ca bsya 'in ne'. 
Mexican_constitution 	IV. Preservar y enriquecer sus lenguas, conocimientos y todos los elementos que constituyan su cultura e identidad. 	IV. Xñi ne' cunta si'yana a tsatii ycha' nchcui' ne' lo'o sca sca cha' tiyaa nu mxnu nten cula 'in ne' nu n'ni lo'o ña'an cha' 'in ne' se'en ndi'in ne'. 
Mexican_constitution 	V. Conservar y mejorar el hábitat y preservar la integridad de sus tierras en los términos establecidos en esta Constitución. 	V. Xñi ne' cunta lo' cu'ni chu'hue ne' se'en ndi'in ne' a cunta lo'o yuu se'en n'ni ne' tñan tsaña'an nchcui' lee nu nguinu scua 'in quichen Chijya'. 
Mexican_constitution 	VI. Acceder, con respeto a las formas y modalidades de propiedad y tenencia de la tierra establecidas en esta Constitución y a las leyes de la materia, así como a los derechos adquiridos por terceros o por integrantes de la comunidad, al uso y disfrute preferente de los recursos naturales de los lugares que habitan y ocupan las comunidades, salvo aquellos que corresponden a las áreas estratégicas, en términos de esta Constitución. Para estos efectos las comunidades podrán asociarse en términos de ley. 	VI. Tca sten ne' lo' cu'ni ne' tñan sca lo yuu lo'o suun ña'an una tsaña'an nchcui' ti lee nu nguinu scua 'in quichen Chijya' a cunta lo'o lee nu nchcui' cha' 'in yuu tsaña'an ntsu'hui suun 'in xca la nten uta xca ticui' ta'a quichen tyi ne', ntsu'hui suun 'in ne' tca najo'o nchgaa nan nducua loo yuu se'en ndi'in ne' 'in ne', una cha' na loo yuu can' lca na se'en nu nducua chacuii' nan nu ntsu'hui lyoo ña'an ndi'in tyaa lee nu nguinu scua 'in quichen Chijya' cha', xacan si ña'aan quichen ne' ntsu'hui cha' caja'an ne' cha' re. 
Mexican_constitution 	VII. Elegir, en los municipios con población indígena, representantes ante los ayuntamientos. 	VII. Na'an tñan Municipio Se'en ndi'in nten nu ncua tyi ca ntsu'hui suun 'in can' culo ton sca ne' nu chcua loo lo'o ta'a quichen tyi. 
Mexican_constitution 	Las constituciones y leyes de las entidades federativas reconocerán y regularán estos derechos en los municipios, con el propósito de fortalecer la participación y representación política de conformidad con sus tradiciones y normas internas. 	Lee nguinu scua 'in ne' Chijya' a cunta sca sca lee nu nguinu scua 'in Estado nu lyi'ya loo se'en ndi'in ne' ntsu'hui cha' su'hua loo na cha' cuiya' can' 'in yu ca bsya Municipio can' si'yana cuaña'an caja la juesa 'in nten can' se'en ndi'in ne' lo' cuaña'an tca cu'ni cuiya' ne' cha' nchca nchca na'an tñan 'in ne' cha' 'in ti ne' chcui ña'an cha' nu mxnu nten cula 'in ne' cua' s'ni a cunta lo'o ña'an ntsu'hui cha' tyi'in ne' cha' 'in ti ne'. 
Mexican_constitution 	VIII. Acceder plenamente a la jurisdicción del Estado. Para garantizar ese derecho, en todos los juicios y procedimientos en que sean parte, individual o colectivamente, se deberán tomar en cuenta sus costumbres y especificidades culturales respetando los preceptos de esta Constitución. 	VIII. Ntsu'hui suun 'in ne' tsaa ne' nchgaa se'en ndlo quichen Chijya' tñan, loo si'yana qui'ni nchgaacha' can' 'in ne' ntsu'hui cha' caja nu cu'ni cunta nchgaa ña'an cha' nu cua' mxnu nten cula 'in ne' cunda scaa ne' uta tsa tlyu, cha' nguiaa na ña'an nchcui' lee nu nguinu scua 'in quichen Chijya'. 
Mexican_constitution 	Los indígenas tienen en todo tiempo el derecho a ser asistidos por intérpretes y defensores que tengan conocimiento de su lengua y cultura. 	Nchgaa ne' ncua tyi ndi'in se'en lyi'ya loo Chijya' ntsu'hui suun 'in can' caja nu culyo scua la cha' nchcui' cha' na ndyu'hui lyoo ne' ycha' can' lo'o ña'an ndi'in ne' ncua tyi can'. 
Mexican_constitution 	Las constituciones y leyes de las entidades federativas establecerán las características de libre determinación y autonomía que mejor expresen las situaciones y aspiraciones de los pueblos indígenas en cada entidad, así como las normas para el reconocimiento de las comunidades indígenas como entidades de interés público. 	Lee nu nguinu scua 'in quichen Chijya' lo'o lee ndi'in lo'o ne' sca Estado, tyi'in tyaa na cha' lo' taa na suun nu tsu'hue ña'an ntsu'hui cha' tyi'in nten ncua tyi cunda scaa Estado lo' ñi lyijyi cha' ntsu'hui cha' ca ja'an ne', si'yana la xacan' tca nchgaa tucui su'hua loo 'in ne' se'en ndi'in ne'. 
Mexican_constitution 	B. La Federación, los Estados y los Municipios, para promover la igualdad de oportunidades de los indígenas y eliminar cualquier práctica discriminatoria, establecerán las instituciones y determinarán las políticas necesarias para garantizar la vigencia de los derechos de los indígenas y el desarrollo integral de sus pueblos y comunidades, las cuales deberán ser diseñadas y operadas conjuntamente con ellos. 	B. Ne' nu lca bsya 'in quichen Chijya' lo'o cunda scaa Estado a cunta lo'o cunda scaa na'an tñan Municipio ntsu'hui cha' cunan ne' ña'an si'yana nchgaa nten su'hua loo ta'a ne', culyoo ne' nchgaa cha' nu a nda yaa' se'en caja nu ña'an ti'i 'in nten nu ncua tyi ca, lo' tyi'in tyaa ne' 'in nten nu m'ni cha'an nu tca chu'hui cunta si'yana caja nu su'hua loo 'in nten re ña'an ca si'yana caja ña'an tyi'o ne' nde loo cunda scaa quichen se'en ndi'in ne', lo' yu nu tyi'in tyaa gubierno can' ntsu'hui cha' cu'ni ne' tñan lo'o nten can' ña'an ca si'yana 
Mexican_constitution 	Para abatir las carencias y rezagos que afectan a los pueblos y comunidades indígenas, dichas autoridades, tienen la obligación de: 	Culyo ne' nchgaa cha' nu a nda yaa' tyi'o quichen can' nde loo, lo' nde ljyan cha' nu ntsu'hui cha' cu'ni ne'. 
Mexican_constitution 	I. Impulsar el desarrollo regional de las zonas indígenas con el propósito de fortalecer las economías locales y mejorar las condiciones de vida de sus pueblos, mediante acciones coordinadas entre los tres órdenes de gobierno, con la participación de las comunidades. 	I. Ntsu'hui cha' quia nan ne' ña'an tyi'o nten can' nde loo ña'an ca si'yana caja tñin 'in ne' lo' cuaña'an ca tsu'hue la chendyu tyu'hui ne', nchgaa tñan nu cu'ni ne' ntsu'hui cha' ca sca cha' ti 'in ne' lo'o nchgaa se'en nducua ne' nchca bsya se'en lyi'ya loo Chijya' a cunta tsa tlyu cu'ni ne' tñan. 
Mexican_constitution 	Las autoridades municipales determinarán equitativamente las asignaciones presupuestales que las comunidades administrarán directamente para fines específicos. 	Ne' nu nchca bsya 'in na'an tñan municipio tyi'in tyaa ne' cha' tsala tñin ca'an tñan ne' 'in cunda scaa quichen se'en nu lyi'ya loo ne' cui' tsa tñin nu ndyu'hui lyoo ne' cula 'in nten ndi'in quichen can' nu tyi'o huii nchgaa cha' nu 'ni la ndi'in 'in ne'. 
Mexican_constitution 	II. Garantizar e incrementar los niveles de escolaridad, favoreciendo la educación bilingüe e intercultural, la alfabetización, la conclusión de la educación básica, la capacitación productiva y la educación media superior y superior. 	II. Tayaa' ne' si'yana chu'hui nten can' xcula, una lyee la su'hua loo ne' xcula nu ndlo'o ne' cha' chcui' nten can', lo'o cha' nu ntsu'hui 'in ne', se'en chcui' ne' quityi, lo' ña'an ne' si'yana tyii xcula secundaria 'in ne' lo' chu'hui ne' prepa lo'o xcula nu cuaan la. 
Mexican_constitution 	Establecer un sistema de becas para los estudiantes indígenas en todos los niveles. 	Tyi'in tyaa ne' ña'an taa ne' beca 'in yu nu ntsu'hui xcula. 
Mexican_constitution 	Definir y desarrollar programas educativos de contenido regional que reconozcan la herencia cultural de sus pueblos, de acuerdo con las leyes de la materia y en consulta con las comunidades indígenas. 	Tyi'in tyaa ne' scasca cha' nu nda yaa' gubiernu nu su'hua loo ña'an ndi'in nten can' quichen tyi ne' uta luhua' se'en ndi'in ne', tsaña'an ndi'in tyaa lee cha' a cunta lo'o cha' nu ndi'in tyaa nten can' se'en ndi'in ne'. 
Mexican_constitution 	Impulsar el respeto y conocimiento de las diversas culturas existentes en la nación. 	Ne' nchca bsya 'ni cha' quia nan ne' ña'an si'yana caja nu su'hua loo 'in ne' nu ncua tyi can' nchgaa se'en ndi'in ne' se'en lyi'ya loo Chijya'. 
Mexican_constitution 	III. Asegurar el acceso efectivo a los servicios de salud mediante la ampliación de la cobertura del sistema nacional, aprovechando debidamente la medicina tradicional, así como apoyar la nutrición de los indígenas mediante programas de alimentación, en especial para la población infantil. 	III. Ntsu'hui cha' cu'ni cunta ne' si'yana rmiyu nu ntyi'o la Chijya' tiyaa na se'en ndi'in nten re ticui' cuaña'an cu'ni cunta ne' si'yana lo'o cha' tiyaa ña'an cula nten can' rmiyu quixin', a cunta ntsu'hui cha' ta yaa' ne' 'in nten can' ña'an ntsu'hui cha' cunajo'o 'in ne' tsu'hue ti lo'o scasca ña'an nu nda yaa' ne' nchca bsya lo'o cha' nchcu, lo' nu ndon loo la ta yaa' yu ca lca 'in nu suhue ti. 
Mexican_constitution 	IV. Mejorar las condiciones de las comunidades indígenas y de sus espacios para la convivencia y recreación, mediante acciones que faciliten el acceso al financiamiento público y privado para la construcción y mejoramiento de vivienda, así como ampliar la cobertura de los servicios sociales básicos. 	IV. Ntsu'hui cha' quia nan ne' ña'an tyi'in tsu'hue nten can' se'en ndi'in ne' lo'o scasca ña'an nu ntsu'hui cha' tsaa' scasca se'en nu tca chcua xitñan chin' ne' xaaa siin, lo'o tñin 'in quichen Chijya' uta tñin 'in sca qui'yu ti, lo' cuaña'an tca ca tsu'hue na'an 'in ne', lo'o cha' nu 'ni la 'in ne' ña'an 'in ne'. 
Mexican_constitution 	V. Propiciar la incorporación de las mujeres indígenas al desarrollo, mediante el apoyo a los proyectos productivos, la protección de su salud, el otorgamiento de estímulos para favorecer su educación y su participación en la toma de decisiones relacionadas con la vida comunitaria. 	V. Tayaa' ne' 'in jun cuna'an nu ndi'in scasca quichen se'en ndi'in nten nu ncua tyi si'yana lo'o can' tca cu'ni scasca tñan se'en nu caja ña'an tyi'o nde loo, a cunta chu'hui ne' cunta si'yana a xñi quicha jun ticui' cuaña'an cunan ne' ña'an se'en caja nu su'hua loo 'in jun si'ya xcula yu'hui jun a cunta ña'an culo hui jun cha' 'in ti jun cha' nu ntsu'hui cha' cu'ni jun loo chendyu 'in jun. 
Mexican_constitution 	VI. Extender la red de comunicaciones que permita la integración de las comunidades, mediante la construcción y ampliación de vías de comunicación y telecomunicación. Establecer condiciones para que los pueblos y las comunidades indígenas puedan adquirir, operar y administrar medios de comunicación, en los términos que las leyes de la materia determinen. 	VI. Ntsu'hui cha' xiseen ne' cha' 'in teléfono se'en nu tca chcui' lyi'o nten can' 'in ta'a ne', tyi'in tyaa ne' cha' ña'an scasca quichen nu ncua tyi can' xi'i ne' lo' caja tñan cu'ni nchgaa nan can' 'in ne' tsaña'an cha' nu ndi'in tyaa lee 'in nan can'. 
Mexican_constitution 	VII. Apoyar las actividades productivas y el desarrollo sustentable de las comunidades indígenas mediante acciones que permitan alcanzar la suficiencia de sus ingresos económicos, la aplicación de estímulos para las inversiones públicas y privadas que propicien la creación de empleos, la incorporación de tecnologías para incrementar su propia capacidad productiva, así como para asegurar el acceso equitativo a los sistemas de abasto y comercialización. 	VII. Ntsu'hui cha' tayaa' ne' 'in nten nu ncua tyi ca lo'o scasca tñan nu cu'ni ne' si'yana caja ña'an tyijyin yu'hui 'in ne' lo' caja tñin chcua yaa' ne' nu xi'i ne' nchgaa nan nu caja tñan cu'ni 'in ne', a cunta cunan ne' ña'an caja scasca nan nu tca ntñan ne' chendyu re ñii 'in ne' si'yana can' nu ta yaa' lo'o 'in ne' cu'ni ne' tñan uta xi'i ne' lo' cujui' ne' nan. 
Mexican_constitution 	VIII. Establecer políticas sociales para proteger a los migrantes de los pueblos indígenas, tanto en el territorio nacional como en el extranjero, mediante acciones para garantizar los derechos laborales de los jornaleros agrícolas; mejorar las condiciones de salud de las mujeres; apoyar con programas especiales de educación y nutrición a niños y jóvenes de familias migrantes; velar por el respeto de sus derechos humanos y promover la difusión de sus culturas. 	VIII. Ntsu'hui cha' tyi'in tyaa ne' scasca cha' nu chu'hui cunta 'in nchgaa nten nu ndyi'o quichen tyi lo' ndyi'an xca quichen se'en lyi'ya loo Chijya’ uta si'i 'a se'en lyi'ya loo na, lo'o sca sca tñan nu cu'ni yu si'yana chu'hui ne' cunta 'in nchgaa yu ngui'ni tñan ni' quixin, quia nan ne' ña'an a xñi quicha can' a cunta ta yaa' ne' 'in yu tsa suhue ti a cunta lo'o nguii suhue si'yana lo'o can' qui'ni ca'an scasca cha' nu nda yaa' ne' nchca bsya lo'o tso' cha' 'in xcula uta lo'o tso' cha' 'in cha' nchcu. A cunta ntsu'hui cha' cu'ni cunta ne' si'yana caja nu su'hua loo 'in nten can' lo'o nchgaa cha' nu ntsu'hui cha' qui'ni ca'an 'in ne' cu'ni ne' lo' taa ne' suun lo'o nten nchgaa cha' nu tsu'hue ndi'in lo'o ne' cui' cha' nu mxnu nten cula 'in ne'. 
Mexican_constitution 	IX. Consultar a los pueblos indígenas en la elaboración del Plan Nacional de Desarrollo y de los estatales y municipales y, en su caso, incorporar las recomendaciones y propuestas que realicen. 	IX. Cuñi cha' ne' 'in nten ncua tyi can' xa nu tñan ne' Quityi se'en nu cha'an scua nchgaa tñan nu ntsu'hui cha' cu'ni ne' sca quichen si'yana lo'o nten can' cu'ni ne' tñan nu ndi'in 'in ne'. 
Mexican_constitution 	Para garantizar el cumplimiento de las obligaciones señaladas en este apartado, la Cámara de Diputados del Congreso de la Unión, las legislaturas de las entidades federativas y los ayuntamientos, en el ámbito de sus respectivas competencias, establecerán las partidas específicas destinadas al cumplimiento de estas obligaciones en los presupuestos de egresos que aprueben, así como las formas y procedimientos para que las comunidades participen en el ejercicio y vigilancia de las mismas. 	Si'yana ca chcan' loo nchgaa cha' nu ngua'an scua loo quityi re ta 'in ne' nchca Diputado ndi'in se'en lyi'ya loo Chijya', nchgaa ne' ntñan scasca lee 'in Estado, a cunta lo'o ne' nchca bsya na'an tñan municipio, cunda scaa se'en nu ntsu'hui cha' cuiya' 'in ne' lo' ndlo ne' tñan, 'ni cha' cu'ni cunta ne' si'yana tsato'o nchgaa ña'an nu nchcui' na cha' 'in nchgaa tñan nu tyi'in tyaa ne' cu'ni ne' lo'o nten ndi'in se'en ndlo ne' tñan si'yana lo'o ne' xñi ne' cunta cha' re. 
Mexican_constitution 	Sin perjuicio de los derechos aquí establecidos a favor de los indígenas, sus comunidades y pueblos, toda comunidad equiparable a aquéllos tendrá en lo conducente los mismos derechos tal y como lo establezca la ley. 	Se'en nu a ca ti'i 'in ñi sca nten nu ncua tyi lo'o tso' cha' 'in cha' nu ntsu'hui cha' qui'ni ca'a 'in ne' tsaña'an ndi'in tyaa lee cha', nchgaa quichen se'en ndi'in nten can' 'ni cha' ca sca cha' ti 'in ne' si'yana can' cha' tsa lo'o 'in ne' nu cu'ni 'in ne' nchgaa cha' nu nchcui' lee ngua'an scua loo quityi re. 
Mexican_constitution 	Artículo 3º. Todo individuo tiene derecho a recibir educación. 	Lee cuiya' 3. 
