Bolivian_constitution 	CONSTITUCIÓN POLÍTICA DEL ESTADO 	ESTADOQ KURAQ KAMACHIYNIN 
Bolivian_constitution 	Honor y gloria a los mártires de la gesta constituyente y liberadora, que han hecho posible esta nueva historia 	Pikunachus constituyente nisqata ñawpaqman thaskirichinku, musuq kawsayta quwasqanchismanta paykunata pachi ninchis. tukuypis yakuyuq, llank’anayuq, yachaka 
Bolivian_constitution 	EVO MORALES AYMA PRESIDENTE CONSTITUCIONAL DE LA REPÚBLICA 	EVO MORALES AYMA BOLIVIA SUYUQ KURAQ KAMACHIQNIN 
Bolivian_constitution 	Por cuanto, el Pueblo Boliviano a través del Referéndum de fecha 25 de enero de 2009, ha aprobado el proyecto de Constitución Política del Estado, presentado al H. Congreso Nacional por la Asamblea Constituyente el 15 de diciembre de 2007 con los ajustes establecidos por el H. Congreso Nacional. Por la voluntad del soberano se proclama la siguiente: 	Chunka phisqayuq qhapaq inti raymi killapi iskay waranqa qanchisniyuq watapi, Honorable Congreso Nacional nisqa, Asamblea Constituyente nisqa Estadoq Kuraq Kamachiynin wakichisqata jaywasqanta iskay chunka p’unchay qhaymiy killapi waranqa isq’uninyuq watapi Referéndum nisqawan kay Bolivia suyupi tiyaqkuna ari rikurqa. 
Bolivian_constitution 	CONSTITUCION POLITICA DEL ESTADO 	ESTADOQ JATUN KAMACHIYNIN 
Bolivian_constitution 	PRIMERA PARTE 	UK KAQ JATUN PHATMA 
Bolivian_constitution 	BASES FUNDAMENTALES DEL ESTADO DERECHOS, DEBERES Y GARANTÍAS 	ESTADOQ BASES FUNDAMENTALESNIN DERECHOS, DEBERES GARANTIASMANTAWAN 
Bolivian_constitution 	TÍTULO I BASES FUNDAMENTALES DEL ESTADO 	UK KAQ PHATMA ESTADOQ BASES FUNDAMENTALESNINMANTA 
Bolivian_constitution 	CAPÍTULO PRIMERO MODELO DE ESTADO 	UK KAQ JUCH’UY PHATMA ESTADOQ MODELON KASQANMANTA 
Bolivian_constitution 	Artículo 1. 	Juch’uy kamachiy 1. 
Bolivian_constitution 	Bolivia se constituye en un Estado Unitario Social de Derecho Plurinacional Comunitario, libre, independiente, soberano, democrático, intercultural, descentralizado y con autonomías. 	Bolivia uk Estado Social de Derecho Plurinacional Comunitario, yuyayniyuq, atiyniyuq, tukuy laya kawsayniyuq, descentralizasqa, autonomiakunayuq. 
Bolivian_constitution 	Bolivia se funda en la pluralidad y el pluralismo político, económico, jurídico, cultural y lingüístico, dentro del proceso integrador del país. 	Bolivia pluralidad nisqapi sayarin, chantapis yuyay atiyniyuq, qulqi jap’iy atiyniyuq, juchata qhaway atiyniyuq, parlay atiyniyuq. 
Bolivian_constitution 	Artículo 2. 	Juch’uy kamachiy 2. 
Bolivian_constitution 	Dada la existencia precolonial de las naciones y pueblos indígena originario campesinos y su dominio ancestral sobre sus territorios, se garantiza su libre determinación en el marco de la unidad del Estado, que consiste en su derecho a la autonomía, al autogobierno, a su cultura, al reconocimiento de sus instituciones y a la consolidación de sus entidades territoriales, conforme a esta Constitución y la ley. 	Kay Constitucionmanjina chantapis jatun kamachiymanjina, naciones, pueblos indígena originario campesinos ñak’ariypi kawsakuqtin uk sunqullawan uk Estadollata qhawaspa, kamachiyninkumanjina kamachikunanku tiyan. Estado nacionkunamantawan pueblos indígena originario campesinokunamantawan autonomianta, autogobiernonta, kawsayninta, jallp’ayuq kananta ima qhawanan tiyan. 
Bolivian_constitution 	Artículo 3. 	Juch’uy kamachiy 3. 
Bolivian_constitution 	La nación boliviana está conformada por la totalidad de las bolivianas y los bolivianos, las naciones y pueblos indígena originario campesinos, y las comunidades interculturales y afrobolivianas que en conjunto constituyen el pueblo boliviano. 	Bolivia suyuqa tukuy bolivianakunawan bolivianokunawan, chaqrakunamanta runa, tukuy waq parlayniyuqwan, tukuy afrobolivianokuna, tukuyninku Bolivia suyu kanku. 
Bolivian_constitution 	Artículo 4. 	Juch’uy kamachiy 4. 
Bolivian_constitution 	El Estado respeta y garantiza la libertad de religión y de creencias espirituales, de acuerdo con sus cosmovisiones. El Estado es independiente de la religión. 	Kasqanmanjina Estado allin ñawiwan qhawan, ima iñiyniyuq, yupaychayniyuq kanapaq kawsayninmanjina, mana saruchaspa, mana juch’uychaspa. 
Bolivian_constitution 	Artículo 5. 	Juch’uy kamachiy 5. 
Bolivian_constitution 	I. Son idiomas oficiales del Estado el castellano y todos los idiomas de las naciones y pueblos indígena originario campesinos, que son el aymara, araona, baure, bésiro, canichana, cavineño, cayubaba, chácobo, chimán, ese ejja, guaraní, guarasu’we, guarayu, itonama, leco, machajuyai-kallawaya, machineri, maropa, mojeño-trinitario, mojeño-ignaciano, moré, mosetén, movima, pacawara, puquina, quechua, sirionó, tacana, tapiete, toromona, uru-chipaya, weenhayek, yaminawa, yuki, yuracaré y zamuco. 	I. Castilla simi, chantapis tukuy simi suyukunamanta, chaqra llaqtakunamanta Estadoq simin rimaykunas kanku. Aymara, araona, baure, bésiro, canichana, cavineño cayubaba, ch’acobo, chimán, ese ejja, guaraní, guarasu’we, guarayu, itonoma, leco, machajuyai – kallawaya, machineri, maropa, mojeño – trinitario, mojeño – ignaciano, moré, mosetén, movima, pacawara, puquina, quechua, sirionó, tacana, tapiete, toromona, uru – chipaya, weenhayek, yaminawa, yuki, yuracaré y zamuco. 
Bolivian_constitution 	II. El Gobierno plurinacional y los gobiernos departamentales deben utilizar al menos dos idiomas oficiales. 	II. Plurinacional kuraq kamachiqwan jinataq isq’unin llaqtakunamanta kamachiqkuna iskay simillatapis parlarinanku tiyan. 
Bolivian_constitution 	Uno de ellos debe ser el castellano, y el otro se decidirá tomando en cuenta el uso, la conveniencia, las circunstancias, las necesidades y preferencias de la población en su totalidad o del territorio en cuestión. 	Ukqa castilla simi kanan tiyan, uktaq paykunamantaña, chantapis ima simitachus llaqtankupi parlakun chay kanman. Gobiernos autónomos nisqa ima simitachus llaqtankupi parlanku chay simita apaykachananku tiyan chantapis castilla simita. 
Bolivian_constitution 	Los demás gobiernos autónomos deben utilizar los idiomas propios de su territorio, y uno de ellos debe ser el castellano. 	Sullk’a kamachiqkuna mayqin simitachus llaqtankupi parlanku chayta parlananku tiyan. 
Bolivian_constitution 	Artículo 6. 	Juch’uy kamachiy 6. 
Bolivian_constitution 	I. Sucre es la Capital de Bolivia. 	I. Sucre kay Bolivia suyumanta capitalnin. 
Bolivian_constitution 	II. Los símbolos del Estado son la bandera tricolor rojo, amarillo y verde; el himno boliviano; el escudo de armas; la wiphala; la escarapela; la flor de la kantuta y la flor del patujú. 	II. Bolivia suyuq simbolos nisqa bandera kinsa llimphiyuq, pukayuq, q’illuyuq, q’uminiyuq; Himno Nacional; escudo de armas; wiphala; escarapela; kantuta t’ika, patujú t’ika. 
Bolivian_constitution 	CAPÍTULO SEGUNDO PRINCIPIOS, VALORES Y FINES DEL ESTADO Artículo 7. 	ISAK KAQ JUCH’UY PHATMA ESTADOQ PRINCIPIOSNINMANTAWAN VALORESNINWAN FINESNINMANTAWAN 
Bolivian_constitution 	La soberanía reside en el pueblo boliviano, se ejerce de forma directa y delegada. 	Juch’uy kamachiy 7. Bolivia llaqta runapi yuyaychay kaskhan. 
Bolivian_constitution 	De ella emanan, por delegación, las funciones y atribuciones de los órganos del poder público; es inalienable e imprescriptible. 	Órganos del poder público llank’aynin, ruway atiynin chaymanta lluqsin. 
Bolivian_constitution 	Artículo 8. 	Juch’uy kamachiy 8. 
Bolivian_constitution 	I. El Estado asume y promueve como principios ético-morales de la sociedad plural: ama qhilla, ama llulla, ama suwa (no seas flojo, no seas mentiroso ni seas ladrón), suma qamaña (vivir bien), ñandereko (vida armoniosa), teko kavi (vida buena), ivi maraei (tierra sin mal) y qhapaj ñan (camino o vida noble). 	I. Estado niwanchis, jinataq purichinanchista ama llulla, ama suwa kananchista niwanchis, sumaqta kawsananchista, ama maqanakuspa, sumaq kawsayta kawsakuspa. 
Bolivian_constitution 	II. El Estado se sustenta en los valores de unidad, igualdad, inclusión, dignidad, libertad, solidaridad, reciprocidad, respeto, complementariedad, armonía, transparencia, equilibrio, igualdad de oportunidades, equidad social y de género en la participación, bienestar común, responsabilidad, justicia social, distribución y redistribución de los productos y bienes sociales, para vivir bien. 	II. Estado uklla kananchista, tukuy kikillan kananchista, mana pipis juch’uychasqa kananta niwanchis, jinallataq mana saruch’asqa, yanapakuspa, mink’akuspa, ama qhawarakuspa, ama maqanakuspa, tukuy imata qharipis warmipis ruwayta atisqanta yachaspa. 
Bolivian_constitution 	Artículo 9. 	Juch’uy kamachiy 9. 
Bolivian_constitution 	Son fines y funciones esenciales del Estado, además de los que establece la Constitución y la ley: 	Constitucion kamachiypi nisqanta ruwayniyuq, chantapis Estado kay ruwayniyuq: 
Bolivian_constitution 	1. Constituir una sociedad justa y armoniosa, cimentada en la descolonización, sin discriminación ni explotación, con plena justicia social, para consolidar las identidades plurinacionales. 	1. Uk sociedad nisqa maypichus ama maqanakusqankuta aswanpis sumaqta tiyakunankuta qhawanan tiyan, ama qhawarasqa kaspa, ama sinchita llank’achikuspa llaqtakunamanta kayninkuta thaskirichispa. 
Bolivian_constitution 	2. Garantizar el bienestar, el desarrollo, la seguridad y la protección e igual dignidad de las personas, las naciones, los pueblos y las comunidades, y fomentar el respeto mutuo y el diálogo intracultural, intercultural y plurilingüe. 	2. Allinta tukuy tiyakunankuta qhawaspa, thaskirichispa, imamantapis jark’aspa, tukuy runata, suyukunata, llaqtakunata, juch’uy llaqtakunata yanapaspa, paykunapura, waqkunawan chantapis llaqtanku ayllunku ukhupi allinta qhawakuspa, ama chiqninakuspa. 
Bolivian_constitution 	3. Reafirmar y consolidar la unidad del país, y preservar como patrimonio histórico y humano la diversidad plurinacional. 	3. Kay Bolivia suyunchis ukllapuni kananta qhawarina tiyan chantapis askha kawsayniyuq parlayniyuq kay Bolivia suyupi kasqanta yupaychanan tiyan. 
Bolivian_constitution 	4. Garantizar el cumplimiento de los principios, valores, derechos y deberes reconocidos y consagrados en esta Constitución. 	4. Kay Constitucionpi principios, valores, derechos, deberestawan kayninkuta runa yachananta chantapis apaykachananta qhawanan tiyan jinataq junt’achinan tiyan. 
Bolivian_constitution 	5. Garantizar el acceso de las personas a la educación, a la salud y al trabajo. 	5. Runa yachaqanan tiyan, jampinawasiyuq kanan tiyan, chantapis llank’ayniyuq kanan tiyan. 
Bolivian_constitution 	6. Promover y garantizar el aprovechamiento responsable y planificado de los recursos naturales, e impulsar su industrialización, a través del desarrollo y del fortalecimiento de la base productiva en sus diferentes dimensiones y niveles, así como la conservación del medio ambiente, para el bienestar de las generaciones actuales y futuras. 	6. Recursos naturales nisqata sumaq umayuqwan apaykachananta qhawanan tiyan, chantapis, imatachus chaykunamanta ruwakuyta atikun, jinamanta ñawpaqman thaskirichinanpaq, sumaqta kawsakunankupaq kunan pachamanta runa, jamuqkunaima, chaykunata qhawanan tiyan. 
Bolivian_constitution 	Artículo 10. 	Juch’uy kamachiy 10. 
Bolivian_constitution 	I. Bolivia es un Estado pacifista, que promueve la cultura de la paz y el derecho a la paz, así como la cooperación entre los pueblos de la región y del mundo, a fin de contribuir al conocimiento mutuo, al desarrollo equitativo y a la promoción de la interculturalidad, con pleno respeto a la soberanía de los estados. 	I. Bolivia mana maqanakuq suyuchu, aswanpis, ama maqanakuspa tiyananchista niwanchis, ñuqanchispura, jawa runa llaqtakunawanpis yanapanakuspa, jinamanta yachaqayninchista tukuy waqjina kawsakuyninchista yupaychaspa thaskirichinapaq. 
Bolivian_constitution 	II. Bolivia rechaza toda guerra de agresión como instrumento de solución a los diferendos y conflictos entre estados y se reserva el derecho a la legítima defensa en caso de agresión que comprometa la independencia y la integridad del Estado. 	II. Bolivia suyu may ch’ampatapis allinchanapaq, chantapis Estadoq kayninta saruchasqa kanman chayqa jark’akuyta atin, mayqin maqanakutapis mana allin ñawiyaqwanchu qhawan. 
Bolivian_constitution 	III. Se prohíbe la instalación de bases militares extranjeras en territorio boliviano. 	III. Jawa llaqtamanta militares mana kay Bolivia suyunchispi kananchu tiyan. 
Bolivian_constitution 	CAPÍTULO TERCERO SISTEMA DE GOBIERNO 	KINSA KAQ JUCH’UY PHATMA GOBIERNOQPATA SISTEMANMANTA 
Bolivian_constitution 	Artículo 11. 	Juch’uy kamachiy 11. 
Bolivian_constitution 	I. La República de Bolivia adopta para su gobierno la forma democrática participativa, representativa y comunitaria, con equivalencia de condiciones entre hombres y mujeres. 	I. Bolivia suyuqa tukuy laya rimayniyuq kasqanchista, qharipis warmipi s kikin atiyniyuq kasqanchista, niwanchis. 
Bolivian_constitution 	II. La democracia se ejerce de las siguientes formas, que serán desarrolladas por la ley: 	II. Democracia nisqa kay jinamanta qhawachikun: 
Bolivian_constitution 	1. Directa y participativa, por medio del referendo, la iniciativa legislativa ciudadana, la revocatoria de mandato, la asamblea, el cabildo y la consulta previa. 	1. Chhikllayllamanña rispa, referendoniqta, watiqmanta kikin kamachiqta aqllaspa, jatun tantakuypi, cavildupi, waturispa. 
Bolivian_constitution 	Las asambleas y cabildos tendrán carácter deliberativo conforme a Ley. 	Kamachiymanjina jatun tantakuy chantapis cabildospi parlarispa kananku tiyan. 
Bolivian_constitution 	2. Representativa, por medio de la elección de representantes por voto universal, directo y secreto, conforme a Ley. 	2. Askha paypaq chhikllasqankupi, kamachiqkunata chhikllayniqta tukuymanta pakasqapi kamachiy nisqanmanjina. 
Bolivian_constitution 	3. Comunitaria, por medio de la elección, designación o nominación de autoridades y representantes por normas y procedimientos propios de las naciones y pueblos indígena originario campesinos, entre otros, conforme a Ley. 	3. Kamachiymanjinaqa, tukuy aqllaspa, nacionkunawan pueblos indígena originario campesinokunawan kamachiynin nisqanmanjina kamachiqjina sutichasqa. 
Bolivian_constitution 	Artículo 12. 	Juch’uy kamachiy 12. 
Bolivian_constitution 	I. El Estado se organiza y estructura su poder público a través de los órganos Legislativo, Ejecutivo, Judicial y Electoral. 	I. Estadoqa kaykunapi t’aqakun: Legislativo, Ejecutivo, Judicial Electoralpiwan. 
Bolivian_constitution 	La organización del Estado está fundamentada en la independencia, separación, coordinación y cooperación de estos órganos. 	Sapa uknin llak’ayniyuq kanku, pero uk yuyayllaman chayanankuta mask’anku, yanaparikunku ima. 
Bolivian_constitution 	II. Son funciones estatales la de Control, la de Defensa de la Sociedad y la de Defensa del Estado. 	II. Estadoqpata ruwayninqa kaykuna kashkanku: qhawasqan, tukuy runata jark’asqan, Estadota jark’asqa. 
Bolivian_constitution 	III. Las funciones de los órganos públicos no pueden ser reunidas en un solo órgano ni son delegables entre si. 	III. Sapa ukninkuqpa llank’aninkuqa mana ukllapi tantakunmanchu, sapa uk (Legislativo, Ejecutivo, Judicial Electoral) llank’ayninkuta ruwananku tiyan. 
Bolivian_constitution 	TÍTULO II DERECHOS FUNDAMENTALES Y GARANTÍAS 	ISKAY KAQ PHATMA DERECHOS FUNDAMENTALES GARANTÍASMANTAWAN 
Bolivian_constitution 	CAPÍTULO PRIMERO DISPOSICIONES GENERALES 	UK KAQ JUCH’UY PHATMA TUKUYPAQ KAMACHINAMANTA 
Bolivian_constitution 	Artículo 13. 	Juch’uy kamachiy 13. 
Bolivian_constitution 	I. Los derechos reconocidos por esta Constitución son inviolables, universales, interdependientes, indivisibles y progresivos. 	I. Constitución runaq ruway atiyninta umancharisqanta mana saruchasqachu kanan tiyan, chantapis tukuypaq. 
Bolivian_constitution 	El Estado tiene el deber de promoverlos, protegerlos y respetarlos. 	Estado ñawpaqman thaskirichinan tiyan, jark’anan tiyan, chantapis yupaychanan tiyan. 
Bolivian_constitution 	II. Los derechos que proclama esta Constitución no serán entendidos como negación de otros derechos no enunciados. 	II. Mana Constitución runaq ruway atiynin pay nisqallanmantachu yuyarin, waqkuna mana kaypi qilqasqa kaqkunatapis. 
Bolivian_constitution 	III. La clasificación de los derechos establecida en esta Constitución no determina jerarquía alguna ni superioridad de unos derechos sobre otros. 	III. Runaq ruway atiynin Constitución nisqanta qutuchasqa kasqankutaqa mana mayqintapis astawan kasqanta qhawachinchu. 
Bolivian_constitution 	IV. Los tratados y convenios internacionales ratificados por la Asamblea Legislativa Plurinacional, que reconocen los derechos humanos y que prohíben su limitación en los Estados de Excepción prevalecen en el orden interno. 	IV. Jawa llaqtakunawan uklla parlasqa kasqanta tukuy runaqpata ruway atiyninta, Asamblea Legislativa Plurinacional riqsikapusqanta, derechos humanos nisqanta; Estados de Excepción nisqa kaqtinpis. 
Bolivian_constitution 	Los derechos y deberes consagrados en esta Constitución se interpretarán de conformidad con los Tratados internacionales de derechos humanos ratificados por Bolivia. 	Runaq ruway atiynintawan ruwanantawan Constitución nisqapi kasqankuta chay runaq ruway atiyninta mana maqanasqachu kananku tiyan. 
Bolivian_constitution 	Artículo 14. 	Juch’uy kamachiy 14. 
Bolivian_constitution 	I. Todo ser humano tiene personalidad y capacidad jurídica con arreglo a las leyes y goza de los derechos reconocidos por esta Constitución, sin distinción alguna. 	I. Tukuy runa uk parlasqayuqlla, Constitución nisqanmanjina ruway atiyniyuq. 
Bolivian_constitution 	II. El Estado prohíbe y sanciona toda forma de discriminación fundada en razón de sexo, color, edad, orientación sexual, identidad de género, origen, cultura, nacionalidad, ciudadanía, idioma, credo religioso, ideología, filiación política o filosófica, estado civil, condición económica o social, tipo de ocupación, grado de instrucción, discapacidad, embarazo, u otras que tengan por objetivo o resultado anular o menoscabar el reconocimiento, goce o ejercicio, en condiciones de igualdad, de los derechos de toda persona. 	II. Estado mana runa juchachasqa kananpaq runamanta kaykunata ama qhawananta nin: qharichu warmichu, yana runachu manachu, waynuchu machu runachu, juch’uy llaqtamantachu jatun llaqtamantachu, kayninkuta qhawaspa, ima simitachus parlanku, chayta qhawaspa, yupaychayninkuta yuyaychayninkuta, qusayuqchus warmiyuqchus manachus, qulqiyuqchus manachus, llank’ayninta, yachaqayninta, mana ima ruway atiynita, unquq kayninta. Kaykunata qhawaqtinkuqa juchanta qhawanqa. 
Bolivian_constitution 	III. El Estado garantiza a todas las personas y colectividades, sin discriminación alguna, el libre y eficaz ejercicio de los derechos establecidos en esta Constitución, las leyes y los tratados internacionales de derechos humanos. 	III. Estadoqa tukuypaq, sapa runapaq, qutukunapi runapaq, mana pita nitaq imanta qhawaraspa, Kay Constitucionpi ruway atiyniyuq nisqanta, kamachiykunata, jawa llaqtakunwan parlakusqankuta kay runa ruway atisqanmanta kamachin. 
Bolivian_constitution 	IV. En el ejercicio de los derechos, nadie será obligado a hacer lo que la Constitución y las leyes no manden, ni a privarse de lo que éstas no prohíban. 	IV. Imachus mana Constituciónwan kamachiykunawan runa ruway atisqanta nisqankuta mana pipis ruwachinqachu, manataq Constitución mana ruwasqanta ruwananchu tiyan. 
Bolivian_constitution 	V. Las leyes bolivianas se aplican a todas las personas, naturales o jurídicas, bolivianas o extranjeras, en el territorio boliviano. 	V. Kay Bolivia jallp’api bolivianakuna kamachiykunaqa tukuy kay suyupi tiyaqkunapaq, kaymantapis jawa llaqtamantapis kachunku. 
Bolivian_constitution 	VI. Las extranjeras y los extranjeros en el territorio boliviano tienen los derechos y deben cumplir los deberes establecidos en la Constitución, salvo las restricciones que ésta contenga. 	VI. Bolivia jallp’api jawa llaqta warmi qhari runa derechosniyuq kanku, chantapis deberes Jatun Kamachiypi nisqanta ruwananku tiyan. 
Bolivian_constitution 	CAPÍTULO SEGUNDO DERECHOS FUNDAMENTALES 	ISKAY KAQ JUCH’UY PHATMA ASTAWAN YUPAYCHASQA RUWAY ATIYKUNAMANTA 
Bolivian_constitution 	Artículo 15. 	Juch’uy kamachiy 15. 
Bolivian_constitution 	I. Toda persona tiene derecho a la vida y a la integridad física, psicológica y sexual. Nadie será torturado, ni sufrirá tratos crueles, inhumanos, degradantes o humillantes. 	I. Pipis kawsakuy atiyniyuq, ama maqachikuspa, ama umanman imatapis sat’ichikuspa, mana munaqtin ama piwanpis puñukuspa, ama pipis maqasqachu, saqmasqachu, juch’uychasqachu kanan tiyan. 
Bolivian_constitution 	No existe la pena de muerte. 	Juchachaq mana runaq jucharayku wanchichispa juchachanmanchu. 
Bolivian_constitution 	II. Todas las personas, en particular las mujeres, tienen derecho a no sufrir violencia física, sexual o psicológica, tanto en la familia como en la sociedad. 	II. Tukuy runa, astawan warminkuna, ama maqasqachu kananku tiyan, mana qusankuwan puñukuyta munaqtinkuqa mana puñunankuchu tiyan, kaykunaqa amapuni jinachu kanan tiyan, ni ayllu ukhupi nitaq llaqta ukhupi. 
Bolivian_constitution 	III. El Estado adoptará las medidas necesarias para prevenir, eliminar y sancionar la violencia de género y generacional, así como toda acción u omisión que tenga por objeto degradar la condición humana, causar muerte, dolor y sufrimiento físico, sexual o psicológico, tanto en el ámbito público como privado. 	III. Estado imatachis ruwanan tiyan chayta qhawanqa, jinamanta warmimanta qharimanta, kuraqmanta sullk’amanta maqanaku chinkachinanpaq; chantapis juch’uychaqkunata, wanchiqkunata, maqaspa, qhaparispa llakichiqkunata juchachanqa. 
Bolivian_constitution 	IV. Ninguna persona podrá ser sometida a desaparición forzada por causa o circunstancia alguna. 	IV. Mana pipis imamantapis chinkachisqa kayta atinmanchu. 
Bolivian_constitution 	V. Ninguna persona podrá ser sometida a servidumbre ni esclavitud. 	V. Mana pipis qhasillamanta llank’anmanchu. 
Bolivian_constitution 	Se prohíbe la trata y tráfico de personas. 	Mana runa ranqhasqa kanqachu. 
Bolivian_constitution 	Artículo 16. 	Juch’uy kamachiy 16. 
Bolivian_constitution 	I. Toda persona tiene derecho al agua y a la alimentación. 	I. Tukuy runa yakuyuq, chantapis mikhuyniyuq kayta atin. 
Bolivian_constitution 	II. El Estado tiene la obligación de garantizar la seguridad alimentaría, a través de una alimentación sana, adecuada y suficiente para toda la población. 	II. Estado tukuy runapaq sumaq, mana unquyniyuq, chantapis askha mikhuykuna kananta qhawanan tiyan. Juch’uy kamachiy 17. 
Bolivian_constitution 	Artículo 17. Toda persona tiene derecho a recibir educación en todos los niveles de manera universal, productiva, gratuita, integral e intercultural, sin discriminación. 	Tukuy runa yachachisqa kanan tiyan, juch’uy yachaywasipi, yachaywasipi, jatun yachaywasipipis; tukuypuni, ama qulqita t’apaspa, ama waqjina kasqankuta saruchasqa kaspa, manataq juch’uychasqa kaspa. 
Bolivian_constitution 	Artículo 18. 	Juch’uy kamachiy 18. 
Bolivian_constitution 	I. Todas las personas tienen derecho a la salud. 	I. Tukuy runa unquyninmanta qhawasqa kanan tiyan. 
Bolivian_constitution 	II. El Estado garantiza la inclusión y el acceso a la salud de todas las personas, sin exclusión ni discriminación alguna. 	II. Estado tukuy runa unquyninmanta qhawasqa kananta qhawan, mana wakillanpaqchu. 
Bolivian_constitution 	III. El sistema único de salud será universal, gratuito, equitativo, intracultural, intercultural, participativo, con calidad, calidez y control social. El sistema se basa en los principios de solidaridad, eficiencia y corresponsabilidad y se desarrolla mediante políticas públicas en todos los niveles de gobierno. 	III. Jampinawasiqa tukuypaqpuni, mana qulqipaqchu, qhariqaqpis jinallatataq warminpaq, kikin kawsayniyuqpaq, tukuy waqjina kawsayniyuqpaqpis sumaq kanan tiyan. Sumaq parlasqa jampiqkunawan unqusqa runa kanan tiyan. 
