Mexican_constituition 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	JA JASTAL WA STOJB’ESE´ JA POLITIKA B’A ESTADOS UNIDOS MEJIKANOSI 
Mexican_constituition 	III. Elegir de acuerdo con sus normas, procedimientos y prácticas tradicionales, a las autoridades o representantes para el ejercicio de sus formas propias de gobierno interno, garantizando que las mujeres y los hombres indígenas disfrutarán y ejercerán su derecho de votar y ser votados en condiciones de igualdad; así como a acceder y desempeñar los cargos públicos y de elección popular para los que hayan sido electos o designados, en un marco que respete el pacto federal y la soberanía de los estados. 	III. Á welaká abóni nulalíala kíte, napi riká á olá a’li á nokísi sinibí rawé, échi iséligame ayéna cho jawárame nápi ga’lá silíima abói póbolo, Á neráka échi u’mukí a’li e’teó ralámuli chópi iyéna sí anárika nerá neráka napu a’lí jáwa ayéna cho welalíachi bi’nói; napu riká cho nílima a’li noocháma nóochali póbolo nirá a’li su’wábaga welalí napu a’lii á welárame níisa ayéna ma nulérame, pé tétika yé napawíkale jererále a’li istáro. 
Mexican_constituition 	En ningún caso las prácticas comunitarias podrán limitar los derechos político electorales de los y las ciudadanas en la elección de sus autoridades municipales. 	Ké sinéti napu ramó rika oliwá weká namúti abóni perélachi ké oméru chéwia tamó níwala rerecho polítiki welalí a’li su’wába pakótame napu á welalíame nirú iséligame munisípio. 
Mexican_constituition 	IV. Preservar y enriquecer sus lenguas, conocimientos y todos los elementos que constituyan su cultura e identidad. 	IV. ‘Wé natéame niráka abóni ra’icháala a’lí sébale mapu machí a’lí ‘níwi abóni pakótame. 
Mexican_constituition 	V. Conservar y mejorar el hábitat y preservar la integridad de sus tierras en los términos establecidos en esta Constitución. 	V. A’lá tibúka sébale mápu ochéro a’lí nirú echimí mulípi mapu regá nulá kostitusióni. 
Mexican_constituition 	VI. Acceder, con respeto a las formas y modalidades de propiedad y tenencia de la tierra establecidas en esta Constitución y a las leyes de la materia, así como a los derechos adquiridos por terceros o por integrantes de la comunidad, al uso y disfrute preferente de los recursos naturales de los lugares que habitan y ocupan las comunidades, salvo aquellos que corresponden a las áreas estratégicas, en términos de esta Constitución. >Para estos efectos las comunidades podrán asociarse en términos de ley. 	VI. A’lá riwiíká a’lí a’lá e’neká mapu regá nulá kostitusióni a’lí nulalíwame we’é kítera, neráka sébale rerécho mapu i’yárame jú mapu i’kiíka tumu e’peréa muchúwi, a’lá tubúka a’lí natemáka neéba namúti mapu ikí nirú mápu o’ná tumu eperé, a’lí jaré ‘wé chá rikáachi perélisa, abóni elása kó ‘á napawíka natúwika noocháma. 
Mexican_constituition 	VII. Elegir, en los municipios con población indígena, representantes ante los ayuntamientos. 	VII. O’máana munisípio mapu o’ná wekanátame ralámuli eperé ‘á wilárame níima bilé kíte nikúrima ralámuli sebária mapu regá noócha jáwame. 
Mexican_constituition 	Las constituciones y leyes de las entidades federativas reconocerán y regularán estos derechos en los municipios, con el propósito de fortalecer la participación y representación política de conformidad con sus tradiciones y normas internas. 	Kostitusióni a’lí sébale nulalíwame mapu nirú o’máana kawichí ayé machirúami níima kíte ‘á riwiítame níima sébale rerécho o’máana munisípio, kíte pakótame ‘á sí nakúrima abóni natuwíka a’lá tibúa sébale mápu reká noká abóni. 
Mexican_constituition 	Para garantizar ese derecho, en todos los juicios y procedimientos en que sean parte, individual o colectivamente, se deberán tomar en cuenta sus costumbres y especificidades culturales respetando los preceptos de esta Constitución. >Los indígenas tienen en todo tiempo el derecho a ser asistidos por intérpretes y defensores que tengan conocimiento de su lengua y cultura. 	VIII. A’lá riwíitami níima mápu o’ná jónisa nulása ré ‘wéala jáwame, kíte a’lá nejéwitame níima rerécho pakótame níwala, o’máana mapu a’lí najóoriwa ibíli neráa a’lí weká ka napawíka má, a’lá riwiíka olába abóni pakótame níwala a’lí ‘natáala, mápu regá nulá ‘échi kostitusióni. 
Mexican_constituition 	Las constituciones y leyes de las entidades federativas establecerán las características de libre determinación y autonomía que mejor expresen las situaciones y aspiraciones de los pueblos indígenas en cada entidad, así como las normas para el reconocimiento de las comunidades indígenas como entidades de interés público. 	Si’néame pagótame ku’írotame níima bilé machíame ralámuli a’lí o’lí ra’ícha a’lí nikúriame mápu machí chú regá e’peré ‘échi pakótame. >Kostitusióni a’lí nulalíwame mápu nirú o’máana kawichí, ‘á aní mapu abóni ikiíka animéa pagótame ácha ralámuli ká, abóni ikiíka a’lá rejólima mapu o’ná e’peré, a’lá machirúame níima su’wába kítera. 
Mexican_constituition 	B. La Federación, los Estados y los Municipios, para promover la igualdad de oportunidades de los indígenas y eliminar cualquier práctica discriminatoria, establecerán las instituciones y determinarán las políticas necesarias para garantizar la vigencia de los derechos de los indígenas y el desarrollo integral de sus pueblos y comunidades, las cuales deberán ser diseñadas y operadas conjuntamente con ellos. 	B. O’mána kawichí ayé, su’wába estárochi a’lí si’néame munisípio, anári natéame níima pagótame, ké risóa olába mápu regá chijúnia, riwíwia a’lí kawélia má, jáwame a’lá animéa chú regá nokísipa kíte a’lá riwiítame níima rerécho pakótame níwala, kíte kanília noóchaga rejólima mapu o’ná e’peré, si’néame ‘á newáma a’lí neéma échi regá nokiwáame. 
Mexican_constituition 	Para abatir las carencias y rezagos que afectan a los pueblos y comunidades indígenas, dichas autoridades, tienen la obligación de: 	Kíte ké risóati kayenáma pagótame o’mána e’peréame, jáwame a’lá i’wérale nakúrima: 
Mexican_constituition 	I. Impulsar el desarrollo regional de las zonas indígenas con el propósito de fortalecer las economías locales y mejorar las condiciones de vida de sus pueblos, mediante acciones coordinadas entre los tres órdenes de gobierno, con la participación de las comunidades. 	I. ‘Á i’wérili anéma kíte a’lá perélima ralámuli o’mána, ‘á nirúlima mapu o’ná noocháma kíte ké e‘lówa rejólima o’mána póbolochi, a’lá nakúrima ‘wéala jáwame bikyanátame kayámi a’lí su’wába pagótame ‘yúa. 
Mexican_constituition 	Las autoridades municipales determinarán equitativamente las asignaciones presupuestales que las comunidades administrarán directamente para fines específicos. 	Jáwame munisípiochi noóchame anári neráa sebárima wenomí mápu abóni póbolochi peréame né walé. 
Mexican_constituition 	II. Garantizar e incrementar los niveles de escolaridad, favoreciendo la educación bilingüe e intercultural, la alfabetización, la conclusión de la educación básica, la capacitación productiva y la educación media superior y superior. >Establecer un sistema de becas para los estudiantes indígenas en todos los niveles. 	II. A’lá sebáripo mapu o’ná benéma kúuchi, ku’wíra benéa ralámuti a’lí o’líti ra’íchaka kíti a’lá mo’áma sébalí binekíami, kíti a’lá sébali ku’írima benéa, bi’nói ilása ká aminábi rehpabé sebárima benéa. 
Mexican_constituition 	Definir y desarrollar programas educativos de contenido regional que reconozcan la herencia cultural de sus pueblos, de acuerdo con las leyes de la materia y en consulta con las comunidades indígenas. >Impulsar el respeto y conocimiento de las diversas culturas existentes en la nación. 	Su’wába benéame béki ‘yába ralámuli niísa ka. ‘échi binekíala animéa a’lí benérima namúti wekanátami. 
Mexican_constituition 	III. Asegurar el acceso efectivo a los servicios de salud mediante la ampliación de la cobertura del sistema nacional, aprovechando debidamente la medicina tradicional, así como apoyar la nutrición de los indígenas mediante programas de alimentación, en especial para la población infantil. 	III. Kayámi ralámuli níwala, mapu rigá aní nulalíwami chú rigá náritame jú rarámuli e’perélachi. >Iwérili riwiká sébali níwala a’lí ‘nátale a’lí mapu rigá nokáme jú o’máana kawichí. 
Mexican_constituition 	IV. Mejorar las condiciones de las comunidades indígenas y de sus espacios para la convivencia y recreación, mediante acciones que faciliten el acceso al financiamiento público y privado para la construcción y mejoramiento de vivienda, así como ampliar la cobertura de los servicios sociales básicos. 	IV. Ga’láriwame échi nokiwaála chimí komunirá ralámuli níwala a’li kípu we’léwala nápi o’ná nokiméa a’li kaenásima, nápi a’lii noké échi keinátuala níiliame wenómila si’némula a’li wanápula nápi o’ná newásima a’li ga’láruma betébale, nápi rigá we’léwama échi noléwala nikúrole re’léwala napawítola. 
Mexican_constituition 	V. Propiciar la incorporación de las mujeres indígenas al desarrollo, mediante el apoyo a los proyectos productivos, la protección de su salud, el otorgamiento de estímulos para favorecer su educación y su participación en la toma de decisiones relacionadas con la vida comunitaria. 	V. Kiliníwiliame échi síchoala u’mugí ralámuli nápi kaenásima, chimí noóchale ku’wírale kíte muwérala, kípu salúri tibúkiame, échi ‘yalíwala galelíwala nápi á níisa re kípu benelí a’li kípu síchoala oláwala nápi o’ná aniwá échi járowala komunitári. 
Mexican_constituition 	VI. Extender la red de comunicaciones que permita la integración de las comunidades, mediante la construcción y ampliación de vías de comunicación y telecomunicación. 	VI. We’lériwame échi teéwala ra’icháliwala nápi nakií échi síchoame komunirá, mápu a’lii newalía a’li we’lériwa bowé ra’icháliame a’li telekomunikasióni. 
Mexican_constituition 	Establecer condiciones para que los pueblos y las comunidades indígenas puedan adquirir, operar y administrar medios de comunicación, en los términos que las leyes de la materia determinen. 	Welalíame nokiwaála nápi échi póbolo a’li échi komunirá ralámuli oméruma níwia, chotáma a’li neséruma échi ra’icháluala, chimí nápi anísimi échi nulalí a’li échi matéri sebárela. 
Mexican_constituition 	VII. Apoyar las actividades productivas y el desarrollo sustentable de las comunidades indígenas mediante acciones que permitan alcanzar la suficiencia de sus ingresos económicos, la aplicación de estímulos para las inversiones públicas y privadas que propicien la creación de empleos, la incorporación de tecnologías para incrementar su propia capacidad productiva, así como para asegurar el acceso equitativo a los sistemas de abasto y comercialización. 	VII. Ku’wíriwame échi rakériwame nokiwáala a’li échi sinibíwala ochébuame chimí komunirá ralámuli mápu a’lii noká nápi nakíwi sebáma échi sébale kípu muwérala wenómila, échi olalíwala ankíiwila nápi echi wenojíame si’néamala a’li wanápala á cha’pirá le ochébuala noóchale, échi síchoala tinología nápi ucháma kípu abói omérula rakéra, nápi rigá ga’lárumaéchi niwiliame anáre nirá échi sitéma abásti a’li ralinéliwame. 
Mexican_constituition 	VIII. Establecer políticas sociales para proteger a los migrantes de los pueblos indígenas, tanto en el territorio nacional como en el extranjero, mediante acciones para garantizar los derechos laborales de los jornaleros agrícolas; mejorar las condiciones de salud de las mujeres; apoyar con programas especiales de educación y nutrición a niños y jóvenes de familias migrantes; velar por el respeto de sus derechos humanos y promover la difusión de sus culturas. 	VIII. Welalíame polítiki napawítola nápi tibúma échi o’masíkame échi póbolo ralámuli, nápi rigá cho gawíwala o’mamésiko nápi rigá bo’námila cho, mápu a’lii noká nápi ga’láruma échi rerécho nocháala chimí wasachí ipó ichiwáala; ga’láriwame échi ikísuala salúri u’mugí níwala; ku’wíriwame porokiráma kíte né échiwala benelí a’li ko’wáala kuúchi kuruwi a’li teémale jamília o’masíkame; tibúkiame á riwiíka kípu rerecho umáni a’li nokelíame cho échi kípu nawaála chijanaála. 
Mexican_constituition 	IX. Consultar a los pueblos indígenas en la elaboración del Plan Nacional de Desarrollo y de los estatales y municipales y, en su caso, incorporar las recomendaciones y propuestas que realicen. 	IX. Rukelíame échi póbolo ralámuli échi nápi newáma Piláni Nasonáli Isaróyo a’li échi istatáli a’li munisipáli a’li, á nimí kíte, síchoame échi anelíala a’li aniwá nápi oláma. 
Mexican_constituition 	Para garantizar el cumplimiento de las obligaciones señaladas en este apartado, la Cámara de Diputados del Congreso de la Unión, las legislaturas de las entidades federativas y los ayuntamientos, en el ámbito de sus respectivas competencias, establecerán las partidas específicas destinadas al cumplimiento de estas obligaciones en los presupuestos de egresos que aprueben, así como las formas y procedimientos para que las comunidades participen en el ejercicio y vigilancia de las mismas. 	Nápi rigá ga’láruma échi sebárila nápi i’wérale aní je’ná rojániwala, échi Kámara Riputáro Kokirési Napawítola, échi Lijislatúri je’ná intirá jeratíbi a’li chimí munisípiochi, á chimí nirá najisátula, á weláma échi mojáwala ne’échiga náulala nápi sebárima je’ná i’wérala échi wenómila mo’wísiame nápi natúwima, nápi rigá newásime a’li ikísimi échi komunirá síchoala taráliachi a’li tibúma échi nirá. 
Mexican_constituition 	Sin perjuicio de los derechos aquí establecidos a favor de los indígenas, sus comunidades y pueblos, toda comunidad equiparable a aquéllos tendrá en lo conducente los mismos derechos tal y como lo establezca la ley. 	Ké cháwaga échi rerécho jena’í welárame né ku’wíriga échi ralámui, kípu komunirá a’li póbolo, su’wába komunirá anárega échi jaré níwama nesérula á chirigá cho échi rerécho nápi rigá jú a’li nápi rigá cho welá échi nulalí. 
Mexican_constituition 	Artículo 3º. 	Artíkuli 3o. 
Mexican_constituition 	Todo individuo tiene derecho a recibir educación. 	Suwábika ibíli nirá á níwi rerécho napu naréma benelí. 
Mexican_constituition 	El Estado –Federación, Estados, Distrito Federal y Municipios–, impartirá educación preescolar, primaria, secundaria y media superior. 	Échi Istáro- jereráli, Istáro, Ristiríti Jereráli a’li Munisípi-, á nijáma benelí pirisikolári, pirimária a’li sikuntári a’li nasípa repabéala. 
Mexican_constituition 	La educación preescolar, primaria y secundaria conforman la educación básica; ésta y la media superior serán obligatorias. 	Échi benelí pirisikolari, pirimári a’li sikuntári á bela bacháwala benelí kayéna; je’ná a’li nasípa repabéala né i’wérali níima. 
Mexican_constituition 	La educación que imparta el Estado tenderá a desarrollar armónicamente, todas las facultades del ser humano y fomentará en él, a la vez, el amor a la Patria, el respeto a los derechos humanos y la conciencia de la solidaridad internacional, en la independencia y en la justicia. 	Benelí mapu nijí échi Istáro ‘wé ka’lá inárame níima, su’wába napu ikí kayenárame jú umáni a’li newásima irétali, ayéna sí, nakibúa bi’nói kawíwala, échi riwíila rerecho umáni a’li ‘natáala nakúrala bo’námilika, wanátika a’li kustísi. 
Mexican_constituition 	El Estado garantizará la calidad en la educación obligatoria de manera que los materiales y métodos educativos, la organización escolar, la infraestructura educativa y la idoneidad de los docentes y los directivos garanticen el máximo logro de aprendizaje de los educandos. 	Yé Istáro á sinibí e’nésima ‘wé ka’labéala benelí i’wérali nulárame napu regá échi néwalelí a’li oliwáame benéala, natúila sikwéla, welalí benelíwame a’li benérame né ka’labéliame a’li yé ‘wélipala ‘wé ka’lá e’nésima ka’lá ‘wé repabé nirá benelíwame échi benésame. 
Mexican_constituition 	I. Garantizada por el artículo 24 la libertad de creencias, dicha educación será laica y, por tanto, se mantendrá por completo ajena a cualquier doctrina religiosa; 	I. Mapuriká aní osirúami osámakói nayó ‘á binói i’kiíka bichíwima, mapu benériwa kó ‘á waná jú; 
Mexican_constituition 	II. El criterio que orientará a esa educación se basará en los resultados del progreso científico, luchará contra la ignorancia y sus efectos, las servidumbres, los fanatismos y los prejuicios. 	II. Mapu ruyésima ‘échi benéa´mi ácha a’lá benésia, ‘á busurérima ké machía´mi, mapu kalírili nócha´mi jú a’lí chíbi i’sía´mi. 
Mexican_constituition 	Además: 	Ayéna chó: 
Mexican_constituition 	a) Será democrático, considerando a la democracia no solamente como una estructura jurídica y un régimen político, sino como un sistema de vida fundado en el constante mejoramiento económico, social y cultural del pueblo; 	a) Su’wába nakúrima jawá wéala jáwa´mi, ké mapu rikábi aní jáwa´mi a’lí ké bilé nuláa´mi, ‘á i’kiíka a’lá rejolísa ré mapuriká ta abóni niráa, ké ne sinibí mapuriká aní nulalíwa´mi; 
Mexican_constituition 	b) Será nacional, en cuanto –sin hostilidades ni exclusivismos– atenderá a la comprensión de nuestros problemas, al aprovechamiento de nuestros recursos, a la defensa de nuestra independencia política, al aseguramiento de nuestra independencia económica y a la continuidad y acrecentamiento de nuestra cultura; 	b) Nasyonáli níima, napi a’lii – ké nakóika tabilé bilépika – á kipúka machiká tamó abói saerásila, mapu regá nelíi tamó abói níwala tábita namúti, échi nimíala tamó abói awanápitika najora’íchali, (política) né bichíwila nirá tamó awanápitika raliwenomí (económico) a’li sébali nokísiala a’li ochériala tamó nawáala; 
Mexican_constituition 	c) Contribuirá a la mejor convivencia humana, a fin de fortalecer el aprecio y respeto por la diversidad cultural, la dignidad de la persona, la integridad de la familia, la convicción del interés general de la sociedad, los ideales de fraternidad e igualdad de derechos de todos, evitando los privilegios de razas, de religión, de grupos, de sexos o de individuos, y 	c) Á i’nijísima né ka’lá kaníliala ralámuli, nápi riká ka’láruma échi kalelí a’li riwíila échi wekanátame nawá, échi natéamali pakótame kíta, échi si’némikala najirémala, né ka’lá machiká o’má nakiwáami su’wábaka nirá, échi ‘natálila né rijimátika á anárika échi rerecho si’neníwala, á yéwika échi si’winátame ralámuli, Onorúame bichiwisila, échi napawítola, échi e’nálawa, á i’pílipi cho, a’li 
Mexican_constituition 	d) Será de calidad, con base en el mejoramiento constante y el máximo logro académico de los educandos; 	d) A ka’labéala níima, né chótaka echi ka’lásiwika á sinibí á nabí sébali sebárika benelíwala napu benésimi; 
Mexican_constituition 	III. Para dar pleno cumplimiento a lo dispuesto en el segundo párrafo y en la fracción II, el Ejecutivo Federal determinará los planes y programas de estudio de la educación preescolar, primaria, secundaria y normal para toda la República. 	III. Mapu ka’lá sebárika oláma napi regá aní nulalí okwáwala párajo, a’li okwáwala jirasióni, Isélwala Jireráli á animéa newalí a’li porokiráma, échi benelíala benelí piriskolári, pirimaria a’li sikuntári a’li normáli o’mána mésiko nirá. 
Mexican_constituition 	Para tales efectos, el Ejecutivo Federal considerará la opinión de los gobiernos de los Estados y del Distrito Federal, así como de los diversos sectores sociales involucrados en la educación, los maestros y los padres de familia en los términos que la ley señale. 	Pé échi namútiwala, échi Isélwala Jereráli á ‘natásima échi aníala Kobiérni chimí Istárochi a’li Ristiríti Jereráli, nápi riká wenátame sikitóri napawítola síchuwalame échi benelí, échi benériame a’li e’wénua nápi riká aní échi nulalí. 
Mexican_constituition 	Adicionalmente, el ingreso al servicio docente y la promoción a cargos con funciones de dirección o de supervisión en la educación básica y media superior que imparta el Estado, se llevarán a cabo mediante concursos de oposición que garanticen la idoneidad de los conocimientos y capacidades que correspondan. 	Uchéchiwala, échi mo’wísila siribísi benériame a’li échi ikíiruala né nuláala á isimíala ma échi Ririsióni ayéna cho e’nésiwala échi benelí bacháwala a’li nasípa repabé nápi nijísima échi Isélwala, á olásibo nápi a’líi najisátibo ké nakíala nápi achásima échi pei’nátola machiwáala a’li benégame nápi nokisá re. 
Mexican_constituition 	La ley reglamentaria fijará los criterios, los términos y condiciones de la evaluación obligatoria para el ingreso, la promoción, el reconocimiento y la permanencia en el servicio profesional con pleno respeto a los derechos constitucionales de los trabajadores de la educación. 	Échi nulalí rekárame e’néma échi ne’oaniwá, échi kuwaní a’li achalíwala échi e’nelí né i’wérila échi mo’wísila, échi ikíiluala, échi machirúala a’li échi bijísuala chimí siribísi né machíame nirá á riwíirame cho échi rerécho kostitusionáli échi nóochame kíta benelí. 
