Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	NDÄTHOT’I, HÑÄSÜMP O TE X E NI HNINI G A THO M’OND A 
Mexican_constitution 	El derecho de los pueblos indígenas a la libre determinación se ejercerá en un marco constitucional de autonomía que asegure la unidad nacional. >El reconocimiento de los pueblos y comunidades indígenas se hará en las constituciones y leyes de las entidades federativas, las que deberán tomar en cuenta, además de los principios generales establecidos en los párrafos anteriores de este artículo, criterios etnolingüísticos y de asentamiento físico. 	Ya hnini hñätho thegi ne petsi hanja di gohi ne di hokse u m’ä ra thot’i ne da nja ra muntsi gotho ka ra ndähnini M’onda, da badi di ge ya tahnini ne ya hnini ya hñätho, ge m’ä njäpu ra ndäthoti ne ya hñämbi nu gotho k a ya hnini M’onda, ge gotho da m’eyu, neu xa ndui gotho hanja u xa hoki nugu ka ä ya xa t’otupmañä nuna ra xeni, ya mfädi ya hñätho nepu habu mui. 
Mexican_constitution 	A. Esta Constitución reconoce y garantiza el derecho de los pueblos y las comunidades indígenas a la libre determinación y, en consecuencia, a la autonomía para: 	A. Nuna ra ndäthot’i padi ne mati u petsi ya tahnini ne ya hnin hñätho ge da un hanga di t’ot’e nu u da m’ä ne, dä hogi ra za u di ñ’epu, da hokse pa dä: 
Mexican_constitution 	I. Decidir sus formas internas de convivencia y organización social, económica, política y cultural. 	I. Mä mbo hadanja ra mui ne ra muntsi hnini, bojä, hñänsümpote ne ya mui fädi m’etho. 
Mexican_constitution 	II. Aplicar sus propios sistemas normativos en la regulación y solución de sus conflictos internos, sujetándose a los principios generales de esta Constitución, respetando las garantías individuales, los derechos humanos y, de manera relevante, la dignidad e integridad de las mujeres. 	II. Jäpi hokse nzutbi pa da un hanja di mui ne di hoka tsutbi ya tuhni u mupu de genseu, ngu jä ä ma ra ndä ndui thot’i, ne da jäpi ma sü n’a ngu n’a u petsi nja di mui jäi ne xi da hogi ra za, ra nt’ote kon gotho ra jäi ra m’ehñä. 
Mexican_constitution 	La ley establecerá los casos y procedimientos de validación por los jueces o tribunales correspondientes. 	Nu ra hñämbi ge m’ä un ü hingi thoki ra z ge hinda nu ra tsutbi n era ndänzaya nuä di nu. 
Mexican_constitution 	III. Elegir de acuerdo con sus normas, procedimientos y prácticas tradicionales, a las autoridades o representantes para el ejercicio de sus formas propias de gobierno interno, garantizando que las mujeres y los hombres indígenas disfrutarán y ejercerán su derecho de votar y ser votados en condiciones de igualdad; así como a acceder y desempeñar los cargos públicos y de elección popular para los que hayan sido electos o designados, en un marco que respete el pacto federal y la soberanía de los estados. >En ningún caso las prácticas comunitarias podrán limitar los derechos político electorales de los y las ciudadanas en la elección de sus autoridades municipales. 	III. Di ñ’ëts’i ya nza̱yo ngu ba ̱ep̱u pa gä hñäki ya nza̱yo ka ya hnini ngu ma yam’̱u, ngu hä mä pa di hoki s̱e t’̱ex nza̱yo, ha mä ne xi tsa̱ di juat’i ya m’̱ehñä ne ya ñ’̱oẖo ñätho pa di ñ’ëtsi ne di t’̱ets’i ra ngutho di hä ya m̱ets’i, njap’̱u ne pa hä ra nza̱yo ka ya hnini, ngu di ra ngutho ra hmä di nḏui di hoki m’̱efi pa ya ndä nza̱yo pa nga̱tho ka ya hnini ka ya x̱eni ha m’̱ui ya jä’i, hingi tsa̱ ya jä’i nza̱yo tsits’i nza̱yo di mätbi pa hindi hä ra nsü ka ya ta Hnini, gehya xa thandi ne ya xa ts’̱utbi ge da thandi te p̱efi ne te hoki ga̱tho nuya ya m̱e 
Mexican_constitution 	IV. Preservar y enriquecer sus lenguas, conocimientos y todos los elementos que constituyan su cultura e identidad. 	IV. Kuati ne kotsi ma ra ya mui hñätho, u xi pätho gotho ya mui m’etsi di ge ya hnini hñätho mupu. 
Mexican_constitution 	V. Conservar y mejorar el hábitat y preservar la integridad de sus tierras en los términos establecidos en esta Constitución. 	V. Dä kuati ne hoki ra za ya jäi, gotho ya hai ngu ja ä m’aä ra ndäthot’i. 
Mexican_constitution 	VI. Acceder, con respeto a las formas y modalidades de propiedad y tenencia de la tierra establecidas en esta Constitución y a las leyes de la materia, así como a los derechos adquiridos por terceros o por integrantes de la comunidad, al uso y disfrute preferente de los recursos naturales de los lugares que habitan y ocupan las comunidades, salvo aquellos que corresponden a las áreas estratégicas, en términos de esta Constitución. >Para estos efectos las comunidades podrán asociarse en términos de ley. 	VI. Dä thegi, ko ma sü ha da nja di t’ot’e ne ha da jäpi di un ya hoy ngu jä ä m’aä ra ndäthot’i ne k o ra hñämbi ä m’aä, ge petsi da hoki ra za un u ne ngu hanja ma ä ra hñu di ge ya muntsi jäi k ara hnini, un ha di un ne ha xi di ziptho ya hai gotho u üni ra tsi mui un pu ha mui ne pu ha tsedi ya meti k ara hnini, mu ma ra ge hinda da doni ne hinda ñ’embi ya meti, ngu ja ä m’aä r andäthot’i. pada hoyu; da un konge ra hnini ha dä jäpi ngu ja ä m’aä ne jätsi ra hñämbi. 
Mexican_constitution 	VII. Elegir, en los municipios con población indígena, representantes ante los ayuntamientos. 	VII. Hñäki, un ka ya tahnini ne ko ya hnini hñätho, pa dä mpote un ka ya tahnini. 
Mexican_constitution 	Las constituciones y leyes de las entidades federativas reconocerán y regularán estos derechos en los municipios, con el propósito de fortalecer la participación y representación política de conformidad con sus tradiciones y normas internas. 	Ya thot’i ne ya hñambi di ge k ara xeni gotho hnini M’onda da fätbi ne dä t’ot’e nu u petsi ma sü k ara tahnini, pa dä nte ne da tsotse ya nsü mpote ne da hñänsüpote pe ge di rangutho ya nhe di ge ya metho mui hñä ne ya mfädise. 
Mexican_constitution 	VIII. Acceder plenamente a la jurisdicción del Estado. 	VIII. Däyut’i ra za ka ra ntsegi xeni. 
Mexican_constitution 	Para garantizar ese derecho, en todos los juicios y procedimientos en que sean parte, individual o colectivamente, se deberán tomar en cuenta sus costumbres y especificidades culturales respetando los preceptos de esta Constitución. 	Pa dä m’aämbi üenda nu u petsi, gotho ya tsutbi ne di m’äpu u embi ya meti, nu u rase ua gotho, ge xi da ümba ma sü gotgo ya mui ne ya metho mfädi ne xi da maki ngu ja ä m’ära nuna ra ndäthot’i. 
Mexican_constitution 	Los indígenas tienen en todo tiempo el derecho a ser asistidos por intérpretes y defensores que tengan conocimiento de su lengua y cultura. 	Nu ya hñätho petsi gotho ya pa da ponyahñä neda mädi ge pädi ya mui ne hñätho ma m’etho. 
Mexican_constitution 	Las constituciones y leyes de las entidades federativas establecerán las características de libre determinación y autonomía que mejor expresen las situaciones y aspiraciones de los pueblos indígenas en cada entidad, así como las normas para el reconocimiento de las comunidades indígenas como entidades de interés público. 	Ya thot’i ne ya hnambi di ge ka ra xeni gotho hnini M’onda da m’aä ha da nja di un ya m’etsi ne da thegise xa hio u ne da beni di geka ya hnini hñätho n’a ngu n’a ja ya xanguhnini, ngu ja u m’aä ka ra mfädi di ge ya hnini hñätho ne ka ya xanguhnini u nhe gotho. 
Mexican_constitution 	B. La Federación, los Estados y los Municipios, para promover la igualdad de oportunidades de los indígenas y eliminar cualquier práctica discriminatoria, establecerán las instituciones y determinarán las políticas necesarias para garantizar la vigencia de los derechos de los indígenas y el desarrollo integral de sus pueblos y comunidades, las cuales deberán ser diseñadas y operadas conjuntamente con ellos. 	B. Ra ngothohnini, ya xehnini ne ya tahnini, da hioni ra rangutho pa gotho ya hñätho ne hinda hiegi do thoki hada japi ya hñänsümpote ge xi ja ra medi pa dä mädi ya thandi m’etsi ya hñätho pa da nte gotho nupu ka ya hnini ne ya, nu ge da iot’e ne da hoki kongotho kongehu. 
Mexican_constitution 	Para abatir las carencias y rezagos que afectan a los pueblos y comunidades indígenas, dichas autoridades, tienen la obligación de: 	Pa dä thoki ra za ya mui metho ne xi zipto u ütsa un ka ya hnini ne ya hnini hñätho, un ya nzaya, petsi dä iot’e ä: 
Mexican_constitution 	I. Impulsar el desarrollo regional de las zonas indígenas con el propósito de fortalecer las economías locales y mejorar las condiciones de vida de sus pueblos, mediante acciones coordinadas entre los tres órdenes de gobierno, con la participación de las comunidades. 	I. Xi da duki ra nte ka ra xeni nupu ha mui ya hñätho pa dä tsotse ne xi da te un ya bojä nupu ha mui ne xi hogi ra za ya mui nzaki un ka ya hnini, gotho ya mbefi u hoki gotho u ya hñu ndänzaya, ko di mfatsi gotho ya hnini. 
Mexican_constitution 	Las autoridades municipales determinarán equitativamente las asignaciones presupuestales que las comunidades administrarán directamente para fines específicos. 	Ya ndänzayä ka tahnini ne di gätsi da üni rangutho ya bojä ka hnini pa di hoki ra za ne di te ya hnini di ge u xi ja medi. 
Mexican_constitution 	II. Garantizar e incrementar los niveles de escolaridad, favoreciendo la educación bilingüe e intercultural, la alfabetización, la conclusión de la educación básica, la capacitación productiva y la educación media superior y superior. 	II. Xi da mädi ne xi da jäpi da nte ya netse nxadi, ne xi da jä ma sü ra nxadi hñätho. >Ne gotho mui hñätho, ra thudi nxadi, da gätsi ra za ra n’a nxadi, da nthudi pa dä thoki ra za nxadi ne ya dänga ne ndänxadi. 
Mexican_constitution 	Establecer un sistema de becas para los estudiantes indígenas en todos los niveles. >Definir y desarrollar programas educativos de contenido regional que reconozcan la herencia cultural de sus pueblos, de acuerdo con las leyes de la materia y en consulta con las comunidades indígenas. 	Da m’aä ne da nte hada njä di thoki ya hemi nxadi ko ya nthudi ka ya xeni pa dä badi ya ntsagi mui ya metho un ka ya hnini, di ge u m’aä ra hñämbi di ge u xa n’un ka ya hnini hñätho. 
Mexican_constitution 	Impulsar el respeto y conocimiento de las diversas culturas existentes en la nación. 	Tuki ra mahte ne ya mfädi di ge gotho ya n’an’yo mui nu u mui ka ra gotho M’onda. 
Mexican_constitution 	III. Asegurar el acceso efectivo a los servicios de salud mediante la ampliación de la cobertura del sistema nacional, aprovechando debidamente la medicina tradicional, así como apoyar la nutrición de los indígenas mediante programas de alimentación, en especial para la población infantil. 	III. Da juäti ne da thuni ra za ra nt’ot’e ya ntothe ya jäi ne xi jä xangu ha da t’othe ya jäi ka ya gotho xeni hnini M’onda, xi da jäpämasü ne xi da thoki ra za ya hñätho pa ndä ´yot´i di ge ra rumthu ya njä t’ot’e ra hñuni, ge xida nhñu ya gotho ya tsibätsi. 
Mexican_constitution 	IV. Mejorar las condiciones de las comunidades indígenas y de sus espacios para la convivencia y recreación, mediante acciones que faciliten el acceso al financiamiento público y privado para la construcción y mejoramiento de vivienda, así como ampliar la cobertura de los servicios sociales básicos. 	IV. Xida thoki ra za ya mui pa dä nts’ihu ne da n’yohu, xi da thoni ha da nja pa di thuni ra za ya boja pa ngothopu ha da thoki ne xi da gohi dar za ya ngu, ne xi da hogi dar mbaxt’i ya ngupu ha da thoki pa gotho ya jäi u järm’edi. 
Mexican_constitution 	V. Propiciar la incorporación de las mujeres indígenas al desarrollo, mediante el apoyo a los proyectos productivos, la protección de su salud, el otorgamiento de estímulos para favorecer su educación y su participación en la toma de decisiones relacionadas con la vida comunitaria. 	V. Da thegi dä yut’i ya m’ehñä hñätho jä ra nte, nu u hanja di tsotse ya thoki m’efi, pa ya mui ra za, ne da thuni u te jä pa di nfotsi; ka ra nxadi; ne da mfotsi pa dä m’aä hanja di mui ya nzaki pa gotho. 
Mexican_constitution 	VI. Extender la red de comunicaciones que permita la integración de las comunidades, mediante la construcción y ampliación de vías de comunicación y telecomunicación. 	VI. Xa nxidi ra t’ode hñäbaja pa dä yut’i ya hnini. >Nu u ya xa thoki ne xi tsoni yapu ya hñäbaja ne ya mpehnihem’i. 
Mexican_constitution 	Establecer condiciones para que los pueblos y las comunidades indígenas puedan adquirir, operar y administrar medios de comunicación, en los términos que las leyes de la materia determinen. 	Ge thoni na da njäpi un ka ya hnini ne ya hnini hñätho ne da m’etsi, dä tsoke ne da un pa dä bädi ne da iode ya hñä ngu jä ä m’aä ya hñämbi mampu xa m’aä. 
Mexican_constitution 	VII. Apoyar las actividades productivas y el desarrollo sustentable de las comunidades indígenas mediante acciones que permitan alcanzar la suficiencia de sus ingresos económicos, la aplicación de estímulos para las inversiones públicas y privadas que propicien la creación de empleos, la incorporación de tecnologías para incrementar su propia capacidad productiva, así como para asegurar el acceso equitativo a los sistemas de abasto y comercialización. 	VII. Da mfotsi ya mefi tsipto ne xi da nte un ya m’etsi ka ya hnini hñätho konnga ya mefi u xi xa thoki ne xi da tsotse ra za di ge u ya bojä u xa yut’i, xa thuni ne xa thoki ya ngunzaya pagotho ne pa rase gepu ha xi da nte pa ya mefi, ge xi da yut’i ya thokibojä pa di nte ya nfädi ne xi da hogi xangu thoki, ne da fädi pa gotho un hanja u thoki ne xi da nja ra m’o. 
Mexican_constitution 	VIII. Establecer políticas sociales para proteger a los migrantes de los pueblos indígenas, tanto en el territorio nacional como en el extranjero, mediante acciones para garantizar los derechos laborales de los jornaleros agrícolas; mejorar las condiciones de salud de las mujeres; apoyar con programas especiales de educación y nutrición a niños y jóvenes de familias migrantes; velar por el respeto de sus derechos humanos y promover la difusión de sus culturas. 	VIII. Da mupu ya hñänsumpote hnini pa dä mäki nu ya pohnini hñätho, un ka ra gotho hnini ngu ka ra n’ayo hoi, da thoki ha da jäpi pa dä mambi ya mefi u petsi u ja ka ya hnini, da thoki ra za ya mui ya m’ehñä; dä mfotsi pa dä hoki ya mefi pa gehu ra nxadi ne hinda ndothi ra n’yot’i ya bätsi ne ya mechubätsi nu ya mengu pohnni; xi da nhñu ra nsüpi u petsi ya jäi ne da ñ’ani ya nthudi di ge ya mui ma m’etho. 
Mexican_constitution 	IX. Consultar a los pueblos indígenas en la elaboración del Plan Nacional de Desarrollo y de los estatales y municipales y, en su caso, incorporar las recomendaciones y propuestas que realicen. 	IX. Dä t’ani ya hnini u hñätho ä di thoki ra beni nte gotho M’onda ne ya xangu hnini ne ya tahnini ne ngujänu, da yut’i da m’aä hanja u di thoki. 
Mexican_constitution 	Para garantizar el cumplimiento de las obligaciones señaladas en este apartado, la Cámara de Diputados del Congreso de la Unión, las legislaturas de las entidades federativas y los ayuntamientos, en el ámbito de sus respectivas competencias, establecerán las partidas específicas destinadas al cumplimiento de estas obligaciones en los presupuestos de egresos que aprueben, así como las formas y procedimientos para que las comunidades participen en el ejercicio y vigilancia de las mismas. 	Pa dä mädi ne da jüati nunu petsi mangua un a ka ra hem’i m’angua, ra ngu dänga mpotehñänsü ka ra hmuntsi ngotho mui, ya mpot’a ñä k a ya xangu hnini M’onda ne ya tahnini, nu u ya da hoki ge xi pädi hoki, xi da hñutsi hamu ne hampu da thoki nu u petsi ma sü di ge ya bojä u poni ne gotho pädi ha da njä, ngu ya ngu di mäpu di higi pa ya hnini nu u xi kuati kongera thoki ne da thandi di gese u. 
Mexican_constitution 	Sin perjuicio de los derechos aquí establecidos a favor de los indígenas, sus comunidades y pueblos, toda comunidad equiparable a aquéllos tendrá en lo conducente los mismos derechos tal y como lo establezca la ley. 	Ni xi da mäti nu u petsi nuna mangua pa gehu ya hñätho, ya hnini ne hnini, ya ngontho hnini, xi di petsi gotho nu u hanja di mupu u di ndui ngu ja mukua ka ra hmända. 
Mexican_constitution 	Artículo 3º. 	X̱eni hñu 3º. 
Mexican_constitution 	Todo individuo tiene derecho a recibir educación. 	Nga̱tho ya jä’i tsa̱ da hñä ra nxa̱di. 
Mexican_constitution 	El Estado –Federación, Estados, Distrito Federal y Municipios–, impartirá educación preescolar, primaria, secundaria y media superior. 	Ra X̱eni hnini M’onda̱ –Ndä hnini, M’onda̱ ne ya ta hnini- da uni m̱udi nxa̱di, yoho nxa̱di ne made nxa̱di. 
Mexican_constitution 	La educación preescolar, primaria y secundaria conforman la educación básica; ésta y la media superior serán obligatorias. 	Ra m̱udi nxa̱di, yoho nxa̱di ne hñu nxa̱di di ge ra nḏui ra nxa̱di; nun’a ne ra made nxa̱di da japi pa nga̱tho ya jä’i di nxa̱di. 
Mexican_constitution 	La educación que imparta el Estado tenderá a desarrollar armónicamente, todas las facultades del ser humano y fomentará en él, a la vez, el amor a la Patria, el respeto a los derechos humanos y la conciencia de la solidaridad internacional, en la independencia y en la justicia. 	Ra nxa̱di di ge uni ra X̱eni hnini da thoki xa za̱, ko nga̱tho te m e’ ä pädi ya jä’i pa di mädi ra ha̱i ra M’onda̱ ge da m’̱u xa za̱ di ge nga̱tho ya jä’i, ge da mfa̱ts’i m’̱ui nga̱tho, pa da nḏui da m̱u s̱e ne pa da t’uni yä m̱eti. 
Mexican_constitution 	El Estado garantizará la calidad en la educación obligatoria de manera que los materiales y métodos educativos, la organización escolar, la infraestructura educativa y la idoneidad de los docentes y los directivos garanticen el máximo logro de aprendizaje de los educandos. 	Ra X̱eni hnini da hyoki di ge ra nxa̱di dra za̱ ne da japi ge ya ẖe’mi ra m’̱efi, ha da japi di üti, ha da japi di mp̱efi te me ä m’̱edi ka ya ngunxa̱di ne ya xa̱mpate ne ya jä’i di ge handi te p̱efi ya xa̱mpate pa da hyoki ge ya nxa̱di da bädi xa za̱. 
Mexican_constitution 	I. Garantizada por el artículo 24 la libertad de creencias, dicha educación será laica y, por tanto, se mantendrá por completo ajena a cualquier doctrina religiosa; 	I. Mädi nu ra xeni n’ote ma goho ra thegi muinfädi metho, nu to da nxadi ge xi dar za ne, ge hinda, hñäki ya jä di ge ya nijä; 
Mexican_constitution 	II. El criterio que orientará a esa educación se basará en los resultados del progreso científico, luchará contra la ignorancia y sus efectos, las servidumbres, los fanatismos y los prejuicios. 	II. Un ra m’aä juani di ge ra nxadi ge xa t’ot’e nu u xa nfädi di ge ra nte nthüdi, ne xi da ntsaui un u hingi pädi padänjapu, nu ya m’ego, nu u xi pätho ne ya ntso m’i. 
Mexican_constitution 	Además: 	Ne ma ra: 
Mexican_constitution 	a) Será democrático, considerando a la democracia no solamente como una estructura jurídica y un régimen político, sino como un sistema de vida fundado en el constante mejoramiento económico, social y cultural del pueblo; 	a) Da huañ’i, ngu jä ä m’aä ra hhäkihnini nsedi hingi hense u ya ngu ya tsutbi ne u hära nzaya, un ge da mui n’a hä dä nja di mui xa nhi’o ya nzaki pa xi da nte un ya boja, ne ya ngotho mui m’etho nfädi ka hnini. 
Mexican_constitution 	b) Será nacional, en cuanto –sin hostilidades ni exclusivismos– atenderá a la comprensión de nuestros problemas, al aprovechamiento de nuestros recursos, a la defensa de nuestra independencia política, al aseguramiento de nuestra independencia económica y a la continuidad y acrecentamiento de nuestra cultura; 	b) Pa nga̱tho ya mengu M’onda̱, -hinda nja ̱u hingi za̱ ni pa ẖens̱e n’axṯui ya jä’i- m’̱uxta hyandi ne da bädi ma thogi ẖu, m’̱uxta thoki xa za̱ di ge te me ä t’akiẖu ra ximha̱i, num’̱u xkra päẖu di gengigiẖu ne ga kuatiẖu te m’̱e t’akigiẖu tat’a n’a, konge ñ’ä tähä da m’̱ui xa za̱ pa da nte ko nga̱tho te me ä p̱etsi ya hnini di ge m’̱ui; 
Mexican_constitution 	c) Contribuirá a la mejor convivencia humana, a fin de fortalecer el aprecio y respeto por la diversidad cultural, la dignidad de la persona, la integridad de la familia, la convicción del interés general de la sociedad, los ideales de fraternidad e igualdad de derechos de todos, evitando los privilegios de razas, de religión, de grupos, de sexos o de individuos, y 	c) Da mfa̱ts’i pa ge ya jä’i da m’̱ui xa za̱ pa da ne te me ä p̱etsi ne te me ä t’akiẖu ra ximha̱i, ra sü di ge ya jä’i, da m’̱ui xa za̱ ko ra mengu, ge da mä te m’̱e m’̱edi ya jä’i, te m’̱e mfeni pa nga̱tho ya jä’i hinge pa n’a te ngutho di ge ra ̱utsa̱ ya jä’i, ya jamfri ma ra ya jä’i, di ge ya m’̱ehñä ua tada ua di ge ya jä’i, ne. 
