ShaShiYaYi 	¿Por qué sigue el sufrimiento en nuestro pueblo?	¿Paita abisatsine anampiki eirorika atijayetajitsi?
ShaShiYaYi 	El alfarero es el pastor excelente, y los sardineros son uno de los dueños de las ovejas.	Ora okoakantiri irointi intantanakearone, otsantsatantanakeari, otikantyaroneri teerika otsonkantyari aparoni kenketsata-bakantsi ikematsatasanoyetiri iotantyari timatsirika akemabakantari
ShaShiYaYi 	El arco varó el proyecto de la abuela de Kaaroshi.	Yaabakero sankenarentsipana irashi iriritsori Kaaroshi
ShaShiYaYi 	Establecer los parámetros de eficiencia y las condiciones de salubridad general del Consejo de Seguridad Pública del Estado	Amayeti monkararontsipee jero intayetaripee kamantakotirori jaoka okantayeta aisati otimantanakeari ñaanentsipee
ShaShiYaYi 	Sacan el caparazón, se cuelgan en el hueco, se cuelgan, se paran y se acuestan	Aakero otaki, akisheityaro obitsire, apicheityaro, akibityaro impoiji akotsitityaro
ShaShiYaYi 	De repente, se desató sobre el lago una tormenta tan fuerte que las olas cubrían la barca.	Aisati otimabetaka antyaro tampea, iro tee ojarayeroji
ShaShiYaYi 	El tejido amazónico se desarrolla cuando trabajan la cabeza de la mujer	Akemisantabakaya aririka iñabaijeite pitsipamintsare ikenkishiriari
ShaShiYaYi 	¿Qué hace el pueblo?	¿Paita yantajeitiri atiri?
ShaShiYaYi 	¿Qué harás cuando estés en la casa?	¿Paitakia aayeteri arika abetsike pankotsi?
ShaShiYaYi 	¿Cuál es el destino de los jóvenes que viven aquí?	¿Jaoka ikarati ebankari jajeitaintsiri?
ShaShiYaYi 	¡Cuídate de tu hermano Marikoshi!	¡Pamitakoteri pirenti Marikoshi!
ShaShiYaYi 	¿Qué cosas hace el niño?	¿Paita yantayetiri entsijanikipe?
ShaShiYaYi 	Las semillas que cayeron en la buena tierra representan a los que oyen el sonido de la trompeta y a los que tocan la trompeta les toca tocar las dos hojas de la tierra,	Ora ñaantsikipee betsikainchari tsipasankenariki kameetsasanori, ora okoakantayetiri shintsitsarentsi intanakearo apitetapaatsiriki tsipasankenaro, iro otsipapee abayetero oshintsitsare anta akosanoriki, eiro anta obekarantaroriki ñaantsipee
ShaShiYaYi 	Mi tío guarda las obras de la casa de mi papá	Nobanko oshiyaro pashinipe Yotantsi pankotsi yantayetiri atiripe
ShaShiYaYi 	Allí estaba enrollando una tela que hilar	Ari omatya ampinayero aparoni poyatsatachari
ShaShiYaYi 	Orquídea, yo soy Mika	Piyojeitena, nopajita Mika
ShaShiYaYi 	Devuélveles su dinero a los pobres, y pídeles a los ricos que sigan sus malos deseos.	Pimpajiriayeteri ibajirope shiyakantsi, pikanteri pitsipamintsare ikantemi pimatakerororika kametsa
ShaShiYaYi 	Las salas de reunión de las comunidades locales donde se realiza la gestión integrada de los recursos hídricos son entidades de interés público.	Iroompa ora birakochaki ora poyatsatachari timatsi okantakotirori nashitakantirori aisati ñaakarontsitakori ashi timayetatsiri ashityarone
ShaShiYaYi 	Lo quemó el hueco	Itarobakero ikitya omorope
ShaShiYaYi 	Las familias de los discípulos de Jesús han unido sus vidas.	Pobametsatajero pantabere pintsipatyari pitsipamintsare aisati obametimpiri
ShaShiYaYi 	– Exigirles que accedan al territorio nacional a través de la Autoridad Nacional y el Sistema Nacional de Archivo Ambiental, conforme a los principios y condiciones que establezca la Ley.	Ora kamantakotantsi onijaantakotiro aparoni kantakoperotiro okantakoyetiri aparoniki oñaanatakoteri
ShaShiYaYi 	Las personas que viven lejos de la ciudad van detrás del pueblo	Yora atiripee antabeetinkarisanori nampitsisati ijati antabeerentsiki ashi nampitsi
ShaShiYaYi 	Los dos pequeños que viven en las realidades de la vida silvestre no pueden ser coronados con un sufrimiento similar.	Ora apite kenketsatantsi orijanitsari obabitsatachari kenkeshireamentotsi omantanteari ayero aparoni eirorika otsipa
ShaShiYaYi 	Por qué le preguntas a la mujer sobre el trabajo de ella? ¿Por qué le preguntas a ella sobre el trabajo?	¿Paita okijantayetariri tsinane jobentsipe? ¿Jaoka pikanti abirori? ¿Kametsatake?
ShaShiYaYi 	El hecho de que la persona pueda adscribirse a una carta no compromete a nadie, sino que es de dos principios religiosos	Ora berantsi koajika okantakotiro ora antachari eiro antatsi intaani irointi apitetatsiri antayetiri
ShaShiYaYi 	A mí me dice que yo soy un búho	Ikanti Akiro naro oimisokijajerone pamene
ShaShiYaYi 	No vayan a las encrucijadas de los alrededores, ni entren en ellas, para que no se detengan;	Eiro pikeni jaoka ishitobapiinti katsirinkaiteri, intaani pinkene anta jaoka ikeaapiniti
ShaShiYaYi 	CANCIÓN DE CUncho	Pichakopiatero obajirope shiyakantsi
ShaShiYaYi 	El gusano derramó.	Kempeitaka tsabiari
ShaShiYaYi 	Se está moviendo la información de la Oficina del Fiscal General si tiene algún objeto: Gravedad, eficiencia y estabilidad.	Meka pikoyayete sankenapana irashi birakocha pinkoakoyetearo paita opajitari: Mabakiro, anakaro aisati monkararo
ShaShiYaYi 	Me permite aplicar los criterios de eficiencia para buscar los bienes y territorios	Meka irantantyarori ibanko ontimatye iramenake okametsaitetinta kipatsi
ShaShiYaYi 	Los instrumentos de producción que ⁇ n el Consejo de Ministros y la gestión de la gestión ambiental que otorga el titular	Ora poyatsatachari tee okantakotero ñaakarontakotirori aisati nashitakaarori oka añaayetiri ashitarori
ShaShiYaYi 	El perro ronca cada una de sus presas	Yora otsiti antyarisanori maaroni imintsaroajeitee
ShaShiYaYi 	Las autoridades locales que miran las autoridades	Okanta ora karayetirori shebayetachari irointi ora timayetatsineri
ShaShiYaYi 	Adoraba al dios que lo acompañaba.	Onijaantiro okaati ora pokatsineri irootake sokiayetatsiri añeeri oijatirori intsipate inkaranki
ShaShiYaYi 	Los niños, los hijos de la gripe están podridos por la gripe.	Yora jananeki omantsiatakeri kamaantsi
ShaShiYaYi 	Entonces, ¿qué es lo que ustedes han oído? ¿Qué es lo que ustedes han visto? ¿Qué es lo que ustedes han oído? ¿Qué es lo que ustedes han visto?	Ayojeitakerika paita akenkitsajeitakoteri, añabejeite maroni
ShaShiYaYi 	El pájaro no vive en el bosque, no muere	Eiro asokiitsi aniibeeti eiro katsini amakoreajitsi
ShaShiYaYi 	Vamos a llorar por la buena noticia que tenemos	Tsame abetsikajeitya kametsa akenkitsatantyari
ShaShiYaYi 	Naro satío para hacer buches.	Narosati anterone
ShaShiYaYi 	¿Qué les espera a ustedes si el amo de la mujer no deja que sufra?	¿Paitatya abisatsineme eirorikame omontsaro Ametyo tsinane?
ShaShiYaYi 	La mujer miró a las mujeres que estaban cazando	Amenakotero koityayetachari aisati jaoka ikantirori irantayeterorika
ShaShiYaYi 	Mira este petate aquí	Pamenero shitashintsi okantakari
ShaShiYaYi 	¿Denle la espalda a la mujer y al hombre?	¿Paitya okenkitsatakojeitiri tsinane aisati shirampari?
ShaShiYaYi 	Los Estados Unidos Mexicanos son entidades de interés público situados en el marco de lo establecido en la Constitución y las leyes	Sankenarentsi kantakoyetachari okoayeti akamante kameetsa jaoka okantakoyeta aisati opashiniyeta
ShaShiYaYi 	Porque el Hijo del Hombre no tiene necesidad de que se le llame Rabí,	Iroojeitake kenketsatantsi ontime antaantsi kaari abisatsiri oninakire antakantirori antaantsi (AA)
ShaShiYaYi 	Todo lo que ha logrado en mi paisano está en pie, cae en piojo y en pie lo que es tenso.	Maaroni bajirontsi ashaninkaki ari omatya opempa okempetyaro antaantsi aisati omonkaratyaro kantabetacharipee
ShaShiYaYi 	Son funciones del Reglamento	Irotake okobantari añabetapinite
ShaShiYaYi 	El deterioro de la calidad de las piedras vivas es responsabilidad de los políticos, de los políticos y de los políticos.	Ora ñaanatakobentantsi okameetsati akenketsatakotantyariri abisayetatsiri keariori aisati kaari keariotatsi, timayetatsiri anta isabikajeitinta aisati kantakoyetirori berantsi
ShaShiYaYi 	La afectación de hojas de humiro, afecta a la superficie del S/85 de la tierra y afecta a la caparazón.	Ipimantakeri kompiroshi yaake kireki ikarati S/ 85 orakea kapashi sokijake S/
ShaShiYaYi 	Para hacer preguntas, para saber más remedio	Okantyani pisampitabakaiya, pikematsatantyarori pikenkitsajeitiri
ShaShiYaYi 	Son terceros los anacondos de Komabe.	Amero mabaketi sankenaripeta Komabe
ShaShiYaYi 	El jefe de Estado es un único servidor público, con personalidad jurídica y patrimonio propios, reunidos en las siguientes dos clases: un servidor público y un servidor público.	Ora kenketsatantsi irointi aparoni aparotiroiri ashisanotarori, iro karayetiroripee apatota okarati apite: aparo antirori, jeri aisati antakantirori
ShaShiYaYi 	La mujer varó y reventó a la mamá de Pavoro.	Yabakero osankenare iriniro Paaboro
ShaShiYaYi 	Dónde está el hombre que hizo lo bueno?	¿Jaanika antajeitakerori ora antabeerentsipee ashi betsikirori ñaantsi?
ShaShiYaYi 	Ellos están contentos	Ikimoshiretake iriori
ShaShiYaYi 	Mira, papá y le dicen: “Este hombre va a construir su canasta”.	Pamenero shiyakantsi impoiji pimpotsoteri kari yobaitya isheto
ShaShiYaYi 	Tus historias que cuenta tu paisano	Pishiyakantakotero kenkitsarentsi yoametakempiri pishaninka
ShaShiYaYi 	Los titulares de los derechos de solemnidad que se manifiestan en los lugares donde se solidarizan o se solidarizan con los aguaceros.	Iro kantaincha osheki okameetsati ariorika iñaanatero okonijaperote
ShaShiYaYi 	Cuando sepan de la higuera y de los árboles frutales, y de la higuera y de los árboles,	Meka ayotero ñakarontsi apabakayeta, apitsatabakaya, ontime ayotero irosati
ShaShiYaYi 	La ciudad se dividió en dos bandos: uno era conocido por su padre, el otro por su padre, y el otro por su madre.	Ora iotakantirori ñaanentsi irointi oni obetsikantanakari ashi ñaanentsipee imatantyarori aparoni ñaanatirori iririka ashaninka, shipibo, birakocha, jeri itsipapee, ari imatya ibetsike kenketsatantsi aisati ikematsatero
ShaShiYaYi 	La golondrina mató la espina que tenían en la cabeza los hijos de Matibai el 45 y los hijos de Chonkeyã y la 36 espinas, que tenían mucha grasa los hijos de Kitona y la 52 espinas.	Kitoniro yake osheki saboro iro kantacha ipayetakeri itomi Matibaiki okarati 45 jeri aisati itomi Chonkeki ikarati 36 saboro, meka timarantapake irashi iriori Kitoniro okarati 52 saboro
ShaShiYaYi 	Se decidió tomar medidas y contarlos.	Meka ayote amonkarabete aisati ashiakantakotero
ShaShiYaYi 	Las cuerdas de los árboles son una adivinanza que acompaña al pájaro	Tsipatsatacharipee irootake ñaantsi otsipabetaro antaantsi
ShaShiYaYi 	Dale a mi mamá yuca.	Pimpero ina kaniri
ShaShiYaYi 	Saludemos sus historias	Tsame añanatero kenkitsarentsika
ShaShiYaYi 	Mírate a la chacra donde está el tronco del árbol	Pisankenatakotero jaoka akanterori atijero tsompirontsi
ShaShiYaYi 	Cuando el nuevo paradigma, en estos lugares, es la montaña más grande, la empinada, la empinada del cerro es la más grande de esos palos que hay en el patio y en la esquina.	Itsonkakerorika obakera irobatikayetero ominka iraityaro atankoro, ishitikityaro otishirate irobanketantyarori omititsa aisati omerekipankope
ShaShiYaYi 	Los integrantes de estos dos comités son partidarios de los Consejos de Seguridad Nacional.	Ora obabitsatacharipee apatoyetiro apite teerika osheki oijatakotirori ñaanarentsi otimantari tsiparentsi kearioperori irooriki
ShaShiYaYi 	Solamente una anciana venía anunciando la caída de nuestros abuelos, pero muy pronto cayó el sol.	Okamantantiro aparoni makoreantsi orijankiri ashi tsitok, iro antyarokiri ashi tsitok
ShaShiYaYi 	Los diferentes peces	Kantashiyetachari shima
ShaShiYaYi 	El que mira quién es el asesino	Amenatiri patsaintsiri ora abintantatsiri
ShaShiYaYi 	La mujer que más aprendí es la que vengo	Nonebetaro noyotasanote Nopokiki
ShaShiYaYi 	Lo que dice el dia se convierte en algo grande.	Pinkante paita ojitari kitaiteri opimantakeri osheki amatserentsi
ShaShiYaYi 	La palabra se va a quedar sola, después de que los pajaritos hayan leído la palabra	Ora ñaantsi ari omatya oyempa oshintsitsate, iroyaatakea ora tsipasankenaripee ñaantsi osankenata
ShaShiYaYi 	Meses de reunión	Okantakota abetsikayeteri
ShaShiYaYi 	– El uso de la infraestructura hidráulica mayor pública	Ashiakabentero aparoni sampitantsi kaari kantakosanotiriri
ShaShiYaYi 	Hay muchas en la casa.	Onashiyetaja meka pankotsipe
ShaShiYaYi 	La bestia que era y ya no es, es el Hijo de Dios, y la autoridad de las aves del cielo es su pastor.	Ora obajiro antaantsi ashi yanteetantaro kapichaji iro, okoasanota ashi ishitooria-tantyarori
ShaShiYaYi 	El Hijo del Hombre es el Rey de todos los pueblos.	Ari ankero jee teerika tee maaroni kenketsatantsi
ShaShiYaYi 	¿Qué pasaba si el pueblo le preguntaba a su tío o a su hija?	¿Paita abisatsine eirorika akanti koki ainti tío ari oshiyari pabachori?
ShaShiYaYi 	El procedimiento se repetirá por el mismo procedimiento que los forajidos.	Yantayetantaro itsipataro antirori oshekiatsiri, okoakantiro antayetya apiteketiro yantayetiri antirori
ShaShiYaYi 	La gente vive en el centro de la calle y en el centro de las calles, por eso vamos a verlos, nuestros ademanes, vamos a verlos y les duele bastante.	Okantajeiti te opomerentsisanotiaji aisati añayete okantashiyeta obotsorepe irompa pochotaroki ontimatye ajatashitero tomirishiki aisati osheki okoityaka
ShaShiYaYi 	Mis paisanos ashaninka miraban al hermano de mi papá	Ashaninkaki akantiri koki ojariri aniro irio pabachori irirenti apa
ShaShiYaYi 	Los dos hombres de la farmacia viven allí, y muy cerca de él, a través de esta revista.	Ora apitetatsiri anteri pitetsitok irojeitake oijatirori antyarokiri sankenari tempa okantakotiri aparoni sankenatirori
ShaShiYaYi 	Sí, bueno ve a tu tío.	Je, kametsa piñaiteri piritsori
ShaShiYaYi 	La mujer se encuentra a cargo de los ladrones y de los artesanos.	Iroojeitake itsipaetirori jibatsatirori aisati tsonkatsatirori shonkarori obaritsa
ShaShiYaYi 	Mira a este niño y este ser sereno	Pamenero shiyakantsi impoiji piñabentakotero paita okantakotiri
ShaShiYaYi 	La mujer estaba encinta y gritaba por los montes y por las colinas, y por las colinas y por las peñas,	Perani tsinane osheki oyoyeti obetsikayeti: kantiri, tsibeta, chonkorina, omare, jebarentsi, shitashintsi aisati otijayeti kitsarentsi, tsarato aisati tsompirontsi
ShaShiYaYi 	Vamos a ver a mi paisano los sabios: la mujer que vive y los pájaros del cielo	Tsame ajate añaiteri ashaninka iyoyetatsiri yobetsikayeti: tsinane tijayetatsiri aisati shirampri iyoyetiri ibetsikayeti
ShaShiYaYi 	Hay un agujero de cauces, dos grandes y grandes trabajos.	Timatsi otsi tsonkatsatirori berantsi, apite okantayeta koajika iranta
ShaShiYaYi 	La realidad es lo que nos juzga.	Akenkeshirempa paita yanteri
ShaShiYaYi 	“Vamos a revisar, hay mucho que pensar”	Tsame amenero iroperotakerika akenkishiriakari
ShaShiYaYi 	Aquí está el barro	Pobetsike jaka oshabikini
ShaShiYaYi 	La Ley es solo una de las lenguas que tienen el concepto de “limpieza verde” y “limpio verde” para referirse a la belleza física y emocional del país.	Ñaantsi irointi aparoni aparotirori iñaanayetiri timatsiri kempetarori shintsitsarentsi ashisanori iroori oñaanatantyari kameetsa (amenero okarati opoimatsayeti)
ShaShiYaYi 	¿Seguro que se levantaron los niños?	¿Konijatakotake ñabentakoyetachari?
ShaShiYaYi 	La puerta de la comunidad para comer o para comer	Iroori okibajeita akopee oantyari
ShaShiYaYi 	¿Cómo se llama la mujer de nuestros abuelos para seleccionar los materiales de vida?	¿Jaoka ikantirori acharineiteni yayetiro maroni sabikimoyetiriri irantayetantyari ibanko?
ShaShiYaYi 	– La organización de la articulación de los órganos del sector público, la organización de la gestión social y la infraestructura social	Irojeitake ora kenkeshireantsi kameetsatatsiripee imatantyarori yora sankenatirori itikakobentero ora iñaanatakoteri
ShaShiYaYi 	Las medidas que cubren la información que se avise	Oka omonkaratakantiri añaajeitiro anta sankenasanotainchariki
ShaShiYaYi 	Subí a otro cerro, ya llegué por una quebrada	Notonkaanake pashiniki otishi, iroosati nareetantapaakarori aparoni nijateni
ShaShiYaYi 	Para seleccionar el becerro, se abren 86 palos y Tsiroti puede también seleccionar los siete palos.	Pakitsa yobetsiki ibanko okianake 86 inchaki, Tsiroti yanti iriori aisati ibanko yanakotakeri pakitsa yabaji 7 inchaki
ShaShiYaYi 	La muerte de mi paisano	Amitakotabakajeita maroni ashaninka
ShaShiYaYi 	Las hormigas o grupos de ropa	Ashi kibantaantsi ontimatie aanake kitsarentsi
ShaShiYaYi 	Iro a jugar al otro criminal	Irootake iñaanetantari otsipa ñaantatsiri
ShaShiYaYi 	¿Qué le pasaba a su hermana?	¿Paita ikantaitiri ontyaabairento?
ShaShiYaYi 	Vamos a ver a la abuela y a la garrapata, a ver si tiene fiebre y preguntarle a los negros para que vengan al monte.	Tsame ajate añaitero isha aisati shaitsi ibankoki, amenayetaiteri yobetsikayetiri aisati asampiyeteri choratatsirika tomirimashiki abetsikayetantyarori
ShaShiYaYi 	La chusma de la gente que roba su carne	Ora jibatsatiroripee atiritatsiri ojibatiro obaritsa
ShaShiYaYi 	El hombre que lava la leña es un grosero, vino el bagre y la bebió.	Yora shirampari tsekeroneri tsitsi, ipokake shaiteniji shabiniji
ShaShiYaYi 	¿Por qué se solidarizan con las personas que les visten? ¿Se solidarizan con las cuencas? ¿Cómo?	¿Paita pikenkishiriakotarori ariorika pikitsatiaro kitsarentsi? ¿Okametsatimotimpi ariorika pikitsatearo kitsarentsi? ¿Paitakia?
ShaShiYaYi 	El chancho que ves en la chacra se mueve y llora por él.	Koshori amaje ora oñaayetiri ashi ayaari kimoshirentsiki; abiro, irajeiteri
ShaShiYaYi 	el cabello de la abuela	yora omiishite isha
ShaShiYaYi 	¡No se salga!	¡Eiro pishironta!
ShaShiYaYi 	El teo con la cabeza cruzada.	Iro tee yatsikeroji
ShaShiYaYi 	Nueva York	Ashiakabentero
ShaShiYaYi 	Eso es lo más fácil para nosotros,	Ora pomerentsiri irootake ipajiyetiri ashereantsi antakayeteri ashi kaman-takorentsi
ShaShiYaYi 	Mis paisanos descansaban allá abajo.	Yora Ashaninka tee ontime charinkaitokirentsi
ShaShiYaYi 	Entonces el hombre dejó en paz todo lo que la mujer ha ensuciado.	Impoiji yora shirampari ikemisantakero maaroni okantayetakeriri oka tsinane irampabanto
ShaShiYaYi 	Así fue en el tiempo de Yompiri.	Amaaka ari ijate itimantakari Yompiri
ShaShiYaYi 	Ya está parada [la hoja] Peetero	Jeraakatapaake aka Peetero
ShaShiYaYi 	Un poco de levadura fermenta toda la masa.	Obetsikantaro ora kenketsarentsijaniki bajirontsi, apatiro otsipataro otsipapee ñaantsipee
ShaShiYaYi 	El carbón está quemado.	Taaka piyanire
ShaShiYaYi 	En ese tiempo escucharon a una mujer que había nacido un hombre, seguía un consejo de la mujer, a pesar de que la mujer había cantado todas las danzas y el sueño era bonito.	Ari osamanitanake ikemabaitiro aparoni tsinane aniitapaake, ari onijaakari aparo amparentsi oka tsinaneka, oshiabetakaro ijina irootake maaroni okantabeta, aisati oñaanati kameetsa
ShaShiYaYi 	Sabiendo el lugar donde se encuentra el hombre [aquí está] sentado [en el lugar], dio un lugar a la reunión de paisano	Okameetsati ayotero ora nashiyetakaarori ashi bajirontsi tee okantyani omonkaratemparo ashaninkaki okantiri iñaananeki birakocha
ShaShiYaYi 	Vamos a cortar leña.	Tsame akenkitsabete impoiji asankenate
ShaShiYaYi 	El primero	Ora intarori
ShaShiYaYi 	¿De qué tienen que hablar las mujeres?	¿Paita okenkitsatakojeitiri tsinanepe?
ShaShiYaYi 	Rojo es el color rojo, verde el color	Kaarini kityonkari, iriinti kenashiri kintaro
ShaShiYaYi 	Los criminales criminalistas, niños	Abintantatsiri yabintiri jananeki
ShaShiYaYi 	Pablo y Charima	Ametyo jeri Charima
ShaShiYaYi 	Ya no volveré a ver a mi mamá.	Eiro napiitajirotsi otsipa nobashinonkaajero noniro
ShaShiYaYi 	Hágase una huella donde le decimos que está haciendo un pueblo.	Pisankenatakoteri jaoka akanteriri abetsikeri shebatarentsi
ShaShiYaYi 	En la reunión de los jefes de los sacerdotes y de los dirigentes de los chamanes que chapean y de los otros	Oñaanatakotiro aparoni teerika osheki antayetanaincharipee timatsineri ashi timatsiri teerika abisatsineri otsipaki
ShaShiYaYi 	La renovación de la infraestructura hidráulica es menor a la fecha de inicio del cambio climático.	Pisankenatajero ñanarentsi pobetsikajiri impoiji pamenakayeri obametimpiri ibetsikantabajearori
ShaShiYaYi 	¿La dirección de la nave o la de los glaciares?	¿Jaoka okenakeri Mariya aisati ojariripee?
ShaShiYaYi 	Los dueños de la casa están balanceando las condiciones de vida de las autoridades locales.	Iro kantaincha ari omatya ontsipatyaro ahi tsopataroripee timayetatsineri (KT)
ShaShiYaYi 	Por qué disciernieron ellos que les hablaba de esta manera, y de cómo se apartaban de los demás?	¿Paita iyotakojeitiri ashaninkape aisati atiripe sabikatsiri Espinarki yantantyari ibanko?
ShaShiYaYi 	El maestro de ceremonias tiene la costumbre de organizar las actividades de los maestros de la ley religiosa con la ayuda de un profesor.	Maroni potsorentsipe timatsi ikantakoyetiro atiripe onkametsatantyari yantayetiri kempe
ShaShiYaYi 	Su padre, Bernabé y tu paisano se enseñaron a decir que el fundador de la casa había ordenado que se le diera muerte a la viuda viuda.	Pisampiteri piri, picharine jeri pishaninkape, iyometaimiro jaoka ikantiro ibetsikiro pankotsi impoiji pikamanteri pitsipamintsare yotantsipankoki
ShaShiYaYi 	Vino a sentir una flecha sobre mi espalda; después, vinieron las propuestas de las personas	Nintakaro nokemabaka aparoni otonkanake notapiiki; ipoñaa, ikajemajeitanake yora atiripee
ShaShiYaYi 	Una palabra que tiene tres chanchos, una que tiene el chancho marino, es la que ejerce esta facultad para el ejercicio de los chapas, para el vertimiento bonito.	Aparoniki ñaantsi timatsiri maba tsipasankenari, aparoni tsipasankenari shipetari aritake oshintsitsarea okantakotiri ashi shintsitsarentsi ashi tsipasankenari tsiparipee, abisanaje kameetsariki
ShaShiYaYi 	¿Qué sabía yo cuando estaba echando?	¿Paita noyoteri yotantsikika?
ShaShiYaYi 	Mi hermana botó una piña.	Itonkakeri koni kintaro
ShaShiYaYi 	La ropa de la derecha te dio	Akemabakero kenketsarentsi koityasanoripee
ShaShiYaYi 	Este proyecto de madera puede causar molestias, perturbaciones, sacudidas, cambios de humor, cambios de humor, cambios de humor; así también hay otros que pueden hacer cosas en el hábitat y los animales: el buen funcionamiento de los ecosistemas, el buen funcionamiento de los mecanismos de gestión de los estándares de seguridad social, el buen funcionamiento de los mecanismos de seguridad social y el buen funcionamiento de los mecanismos de gestión, entre otros.	Iroka sankenarentsipana ari oñatsatakakiami, pimpantsaye, ampotsote, ashiyakantabaete, amenakoyetero, amonkatiyayetero ejati ari pobetsikayetake ayoyeteri pashinipaye okemita: Ayoyeteri añaantyari kametsa, Yotakotirori monkarari, Yotakotirori añane ejati pashinipaye
ShaShiYaYi 	Grave cosa que comió ella, grande es el cambio.	Tsame amenakoyetero paita oshiyabakantayetari anebeyetari amenakoyetakeri
ShaShiYaYi 	El niño quebró el cabello.	Ora jananeki oposakeri miishi
ShaShiYaYi 	Los polos opuestos a la letra de dátiles son similares a los de karité.	Ora kantabetachari opashiniro ora bajirontsipee opantyarori aparopeeni okantakoteri
ShaShiYaYi 	¿Por qué se habrá sembrado el sembrador en el Jopi?	¿Paita onebetantarori opankiti ampeji Jopiki?
ShaShiYaYi 	Donde se encuentran las grandes obras, a causa de la cuenca del agua	Ari añaajeitakero okantayeta jaoka okantakantirori ora nijantakotirori ashityaronepee
ShaShiYaYi 	Vamos a ver una vergüenza y saber con qué medios se financió este asunto.	Tsame ajate añaiteri aparoni shameti aisati niocho asampitakobentero maroni apotsoyetari aboroki
ShaShiYaYi 	La banda ancha es el fin de la información pública que tenemos a nuestra disposición.	Impoini pimonkaratemparo pakoshetakire maroni onampinaki sankenamentotsi kempeni aka
ShaShiYaYi 	El único sabio que sabe escoger entre las piedras a su hermano,	Itimi aparo iotinkari, irisati betsikajirori ibanko mapiniki
ShaShiYaYi 	¿El cuarto de captación tiene la dirección de Mika?	¿Jaoka ojitari oñane oñabetiri Mika?
ShaShiYaYi 	El fin de todo es nuestro.	Asampiyeteri maroni ashaninka iyotakoyetirori antayeteri
ShaShiYaYi 	Los titulares de los derechos son determinados por una sola vez.	Ari ibetsikayetantarori ariorika otsonkapaaka aparo osankenata
