Mexican_constitution 	CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS 	TLANEJNEUILYOTL TLEN SENTIKMASEUALMEJ 
Mexican_constitution 	El reconocimiento de los pueblos y comunidades indígenas se hará en las constituciones y leyes de las entidades federativas, las que deberán tomar en cuenta, además de los principios generales establecidos en los párrafos anteriores de este artículo, criterios etnolingüísticos y de asentamiento físico. 	Nelkiximatilistli tlenaltepemej uan teyoualmej mochiuas pan tekpantlajtolmej uan xitlaualismej tlen tlaltokayolmej, katli yajuanti kiipanitase katli nika ya achtiui ijkuilijtok pan ni ome tlaijtoli. 
Mexican_constitution 	A. Esta Constitución reconoce y garantiza el derecho de los pueblos y las comunidades indígenas a la libre determinación y, en consecuencia, a la autonomía para: 	A. Ni tekpantlajtoli kineliximatiuan temaka ixitlaualis tlen kipiaj altepemej uan maseualteyoualmej, kinmaka majkayotlsenkaualistli uan nelkualtisej: 
Mexican_constitution 	I. Decidir sus formas internas de convivencia y organización social, económica, política y cultural. 	I. Kijtosej kejnijki kichiuase ipakilisnechikolis, tomintekitlaxtlauili, tlajtoltinij uan uejkapantlalnamikili. 
Mexican_constitution 	II. Aplicar sus propios sistemas normativos en la regulación y solución de sus conflictos internos, sujetándose a los principios generales de esta Constitución, respetando las garantías individuales, los derechos humanos y, de manera relevante, la dignidad e integridad de las mujeres. 	II. Kitlalis uan kitekiuis ixitlaualis ika yani kisenkauasej kuesolmej, kichiuase ken ijkuilijtok ipan tekpantlajtoli, kiipanitase sesenkatsitsitepanitali uan amochsentijkamaseualtlanauatili uan nojkia kipanitas tlen ininpatij siuamej. 
Mexican_constitution 	La ley establecerá los casos y procedimientos de validación por los jueces o tribunales correspondientes. 	Tekpantlajtoli kiijtos katliketlamanauijkemejtekipanose ken moneki. 
Mexican_constitution 	III. Elegir de acuerdo con sus normas, procedimientos y prácticas tradicionales, a las autoridades o representantes para el ejercicio de sus formas propias de gobierno interno, garantizando que las mujeres y los hombres indígenas disfrutarán y ejercerán su derecho de votar y ser votados en condiciones de igualdad; así como a acceder y desempeñar los cargos públicos y de elección popular para los que hayan sido electos o designados, en un marco que respete el pacto federal y la soberanía de los estados. 	III. Ika ininxitlaualis kintokaxtise pan nesentiloli inintekichiuanij katli tekitlnenemiltise, iuan kininpatiuisej siuamej sanse ken tlakamej, mopakiltisej uan tlayejkosej inin xitlawili tlen tlaixtlalisej sansej; kiani mopanoltisej uan motekipanoltisej ipan inin sentika tekitl uan sentik tetlalisej katli motlali o motlalkej, ipantekpanyotl tlen moipanitas tlaijtol tla senkawali uan tlamakaualistli inon tlateyouali. 
Mexican_constitution 	En ningún caso las prácticas comunitarias podrán limitar los derechos político electorales de los y las ciudadanas en la elección de sus autoridades municipales. 	Anmo panos iyonsej sentikaj tlatekiwili kin ixkotonasej tlen xitlaualistli ixpantlajtoli tlaixtlalilistli uan maseual tekitinij ipan tlaixtlalili inin teyoual tlanauatiyanij. 
Mexican_constitution 	IV. Preservar y enriquecer sus lenguas, conocimientos y todos los elementos que constituyan su cultura e identidad. 	IV. Kinmanauise uan kinpajtitlalisej ininmaseualtlajtol, inin tlaneneuili uan nochi katli momelaua pan ininuejkapantlalnamikili. 
Mexican_constitution 	V. Conservar y mejorar el hábitat y preservar la integridad de sus tierras en los términos establecidos en esta Constitución. 	V. Kikualchichiuas uan kimanauis kampa itstok ialmontlali tlen tlajtoua tekpantlajtoli. 
Mexican_constitution 	VI. Acceder, con respeto a las formas y modalidades de propiedad y tenencia de la tierra establecidas en esta Constitución y a las leyes de la materia, así como a los derechos adquiridos por terceros o por integrantes de la comunidad, al uso y disfrute preferente de los recursos naturales de los lugares que habitan y ocupan las comunidades, salvo aquellos que corresponden a las áreas estratégicas, en términos de esta Constitución. 	VI. Kiselis katlaipanitali iaxka tlali, almontlali, tlen taltoua pan tekpantlajtoli, uan ixitlaualis katli kipia exkatiyani pan teyoualmej, kitekiuis ken moneki katli eltok pan iteyoual uan amo uelis kitekiuis katli kinmanauia tekpantlajtoli. 
Mexican_constitution 	Para estos efectos las comunidades podrán asociarse en términos de ley. 	Pan inoj moneki achtiuimonechikose ken tekpantlajtoli tlajtoua. 
Mexican_constitution 	VII. Elegir, en los municipios con población indígena, representantes ante los ayuntamientos. 	VII. Kampa kamanalti maseuatlajtolmejkintokaxtise inintlayakankemej katli tekipanose pan teyoualtlatilankemej. 
Mexican_constitution 	Las constituciones y leyes de las entidades federativas reconocerán y regularán estos derechos en los municipios, con el propósito de fortalecer la participación y representación política de conformidad con sus tradiciones y normas internas. 	Tekpantlajtolmej katli eltok pan tlaaltokayolmej kiipanitase ni xitlaualismej tlen tlalilanka teyoualmej, ka yani tekipanoseken katli kipiaj ininmaseualxitlaualis. 
Mexican_constitution 	VIII. Acceder plenamente a la jurisdicción del Estado. 	VIII. Kintlakakilisej pan tekisenkaualkamanali tlen tlaaltokayotl. 
Mexican_constitution 	Para garantizar ese derecho, en todos los juicios y procedimientos en que sean parte, individual o colectivamente, se deberán tomar en cuenta sus costumbres y especificidades culturales respetando los preceptos de esta Constitución. 	Ni xitlaualistli motekiuis pan nochiamatlasenkaualismej ka tekichiuanij kisenkauas, tlen katli se o ka miakili moixpantia, kipajtitlalise iuejkapantlalnamikilis ka tlaipanitali tlen tajtoa tekpantlajtoli. 
Mexican_constitution 	Los indígenas tienen en todo tiempo el derecho a ser asistidos por intérpretes y defensores que tengan conocimiento de su lengua y cultura. 	Maseualmej nochipa tonali kipia kinmatlakechise tlatotonketlkamanali iua tlamanauijkemej katli kiiximatij inin maseualtlajtol uan uejkapantlanamikili. 
Mexican_constitution 	Las constituciones y leyes de las entidades federativas establecerán las características de libre determinación y autonomía que mejor expresen las situaciones y aspiraciones de los pueblos indígenas en cada entidad, así como las normas para el reconocimiento de las comunidades indígenas como entidades de interés público. 	Tekpantlajtolmej uan xitlaualismej katli kipia tlaltokayomej kinmakasnemajkayotl maseualteyoualmej tlen yajuanti kijtose katli kinmonekilia pan sesenka tlaltokayolmej, kiampa kinmanauis maseualteyoualmej. 
Mexican_constitution 	B. La Federación, los Estados y los Municipios, para promover la igualdad de oportunidades de los indígenas y eliminar cualquier práctica discriminatoria, establecerán las instituciones y determinarán las políticas necesarias para garantizar la vigencia de los derechos de los indígenas y el desarrollo integral de sus pueblos y comunidades, las cuales deberán ser diseñadas y operadas conjuntamente con ellos. 	B. Nochi tlaltokayolmej tlen tomexko uan itlatilanka teyoualmej, tlayolchikauase san se tlen nochi maseualmej uan kitlamise katli amo kuali, kitlalise kaltekichiuanij uan kichiuase tlaneneuiltipa kampa moixpanextis ipatijka ixitlaualis tlen maseualmej uanikualtilojkatlen altepemej uan teyoualmej, ni mochiuas ka itlapaleuikauanmaseualmej. 
Mexican_constitution 	Para abatir las carencias y rezagos que afectan a los pueblos y comunidades indígenas, dichas autoridades, tienen la obligación de: 	Tlen motlamiltiskatli amo kipiaj altepemej uan teyoualmej, uan kinmonekilia, tekichiuanij moneki kichiuasej: 
Mexican_constitution 	I. Impulsar el desarrollo regional de las zonas indígenas con el propósito de fortalecer las economías locales y mejorar las condiciones de vida de sus pueblos, mediante acciones coordinadas entre los tres órdenes de gobierno, con la participación de las comunidades. >Las autoridades municipales determinarán equitativamente las asignaciones presupuestales que las comunidades administrarán directamente para fines específicos. 	I. Kinpaleuis ka tekitlsentiloli tlen iuexka uextekapan maseualteyoualmej, tlen ka yampa mokualtilitias tomintlachtlauiliuan mokualtilis inemilis teyoualmej, ka itlapaleuijka tlen eyi tekitlanauatianij, uan nojkia ka itlapaleuil teyoualmej. tekichiuanij tlen tlatilanka teyoualmej kinmakas san se tomintlapaleuili katli teyoualmej kitekiuise tlen kinmonekilia. 
Mexican_constitution 	II. Garantizar e incrementar los niveles de escolaridad, favoreciendo la educación bilingüe e intercultural, la alfabetización, la conclusión de la educación básica, la capacitación productiva y la educación media superior y superior. 	II. Kimiakiltis kaltlamachtiloyalmej kampa monextilis nemachtili ka omej tlatolmej, tlajkuilosej uan momachtise ika maseualtlajkuilolpamitl, momachtianij ma kitsontika inimachtil, kin nextilisej kenijki tekipanose, uan nojia ma kitsontijka pan ueyikaltlamachtiloyalmej. 
Mexican_constitution 	Establecer un sistema de becas para los estudiantes indígenas en todos los niveles. 	Kinpaleuis ka tomintlaxtlauili maseualmomachtianij, ka yani mopaleuise. 
Mexican_constitution 	Definir y desarrollar programas educativos de contenido regional que reconozcan la herencia cultural de sus pueblos, de acuerdo con las leyes de la materia y en consulta con las comunidades indígenas. 	Mochiuas uan motlalis pan amochtli tlanextilistli, tlanextili katli moneki, uan eltok pan uekapantlalnamikili teyouali, tlen tlajtoua xitlaualistli uan ka itlakechil maseualteyoualmej. 
Mexican_constitution 	Impulsar el respeto y conocimiento de las diversas culturas existentes en la nación. 	Moipanitas tlaneneuili tlen nochi uejkapantlalnamikili tlen eltok pan tomexkotlal. 
Mexican_constitution 	III. Asegurar el acceso efectivo a los servicios de salud mediante la ampliación de la cobertura del sistema nacional, aprovechando debidamente la medicina tradicional, así como apoyar la nutrición de los indígenas mediante programas de alimentación, en especial para la población infantil. 	III. Kinpaleuisej ika tepajtikakalmej tlen nochi mexko tlali, uan kitekiuisekuatitlaxiuipajmej, uan kinpaleuis teyoualmaseualmej ka tlakualistli nelkuali, achtiui kiselise nochi konemej. 
Mexican_constitution 	IV. Mejorar las condiciones de las comunidades indígenas y de sus espacios para la convivencia y recreación, mediante acciones que faciliten el acceso al financiamiento público y privado para la construcción y mejoramiento de vivienda, así como ampliar la cobertura de los servicios sociales básicos. 	IV. Kinkualchiuasej tlen kinmonekilia maseualteyoualmej uan ikakiuil pakilisnechikoli, uan ka tomintlapaleuilitlaixpantiloxpa o teaxkatomintlapaleuijketl ika yani kichiuase uan kikualtilise inin kaljuan iuan sejkinoj tlapaleuilistli. 
Mexican_constitution 	V. Propiciar la incorporación de las mujeres indígenas al desarrollo, mediante el apoyo a los proyectos productivos, la protección de su salud, el otorgamiento de estímulos para favorecer su educación y su participación en la toma de decisiones relacionadas con la vida comunitaria. 	V. Kinmakas kakiuili maseualsiuamej pan tekinechikolmej, kinmanauis inemilis, kinmapaleuisepan nemachtili uan itlanejneuiltlapaleuil tlen mochiuas tlen inemilis teyouali. 
Mexican_constitution 	VI. Extender la red de comunicaciones que permita la integración de las comunidades, mediante la construcción y ampliación de vías de comunicación y telecomunicación. >Establecer condiciones para que los pueblos y las comunidades indígenas puedan adquirir, operar y administrar medios de comunicación, en los términos que las leyes de la materia determinen. 	VI. Kiueiyichiuasejtepostlanonotsalolipan teyoualmej, kichijchiuase uan kiuejueyakilise apolteueyiojtli, chapojpoueyiojtli, tlilmekakamanali altepemej uan maseualteyoualmej uelise kipiase, kitekiuise uan kikuitlauiseteposkamanali, teposixpatlanextili uan amatlamoyajketltlen tlajtoa xitlaualistli. 
Mexican_constitution 	VII. Apoyar las actividades productivas y el desarrollo sustentable de las comunidades indígenas mediante acciones que permitan alcanzar la suficiencia de sus ingresos económicos, la aplicación de estímulos para las inversiones públicas y privadas que propicien la creación de empleos, la incorporación de tecnologías para incrementar su propia capacidad productiva, así como para asegurar el acceso equitativo a los sistemas de abasto y comercialización. 	VII. Kinpaleuisepan tekitlachiualika tekinechikoli tlen maseualteyoalmejika kuali tlapaleuili ika yani uelis moaxitilise ka tomin itlatlanuelis tlajtlanise tlapaleuilikiampa tekipanose uan kintlaxtlauise, uan kitekiuise teposyankuikchiuali uan ka yani momapaleuisuan kinemakas tlen tlamantli katli elki. 
Mexican_constitution 	VIII. Establecer políticas sociales para proteger a los migrantes de los pueblos indígenas, tanto en el territorio nacional como en el extranjero, mediante acciones para garantizar los derechos laborales de los jornaleros agrícolas; mejorar las condiciones de salud de las mujeres; apoyar con programas especiales de educación y nutrición a niños y jóvenes de familias migrantes; velar por el respeto de sus derechos humanos y promover la difusión de sus culturas. 	VIII. Kitlalise tlajtoltinij tlanejneuili ka kin manauisekatli yaui uan mokuepaj maseualteyoalmej, tlenpan to mexko tlaliuanpan analieuanij, ka sesenkatsitsij tepanitalitlen ixitlaualis tekipanojkemej, miltekitinij; kikualtilise inemilis siuamej; kinpaleuise ka kualitlamachtili katli kinmonekilia uan ika katlakualika konemej uan telpokamej tlen champoyouan uan katli asi o yauij tekipanouaj ojsejko; kitlachilise ka tlaipanitali inin amochsentikamaseualtlanauatili uankinpaleuis ma kiuejkapantlalikaj inin tlaneneuilis. 
Mexican_constitution 	IX. Consultar a los pueblos indígenas en la elaboración del Plan Nacional de Desarrollo y de los estatales y municipales y, en su caso, incorporar las recomendaciones y propuestas que realicen. 	IX. Kintlatsintokilise maseual teyoualmej kema mochiuas ueyiamochtlitlachiuali uan tlaltokayolmej, teyoualtlatilankemejuan kinselise inin amatlajkuilol katli kichiuaj. 
Mexican_constitution 	Para garantizar el cumplimiento de las obligaciones señaladas en este apartado, la Cámara de Diputados del Congreso de la Unión, las legislaturas de las entidades federativas y los ayuntamientos, en el ámbito de sus respectivas competencias, establecerán las partidas específicas destinadas al cumplimiento de estas obligaciones en los presupuestos de egresos que aprueben, así como las formas y procedimientos para que las comunidades participen en el ejercicio y vigilancia de las mismas. 	Katli nikan ijkuilojtok yani mochiuas ken moneki, nechikoltlaijtolxitlajkemej, tlaijtoltiyani tlen tlaltokayolmej, uan teyoualtlatilanka tlan kampa kinmelaua, kiijtose keski tomintlaxtlauili motekiuis uan kiamatlatskiltise tlen katli motekiuis uan katli kijtokej ma mochiua, uan nojkia kenijkatsa teyoualmejkitlachilise uan kimokuitlauise tlen inoj. 
Mexican_constitution 	Sin perjuicio de los derechos aquí establecidos a favor de los indígenas, sus comunidades y pueblos, toda comunidad equiparable a aquéllos tendrá en lo conducente los mismos derechos tal y como lo establezca la ley. 	Xitlaualismej katli kinpaleuiateyoualmaseualmej nojkia uelis kinpaleuise altepemejika yampatsan xitlaualistli tlen tlajtoa tlanauatili. 
Mexican_constitution 	Artículo 3º. 	Eyitipa tlaijtoli. 
Mexican_constitution 	Todo individuo tiene derecho a recibir educación. 	Nochimaseualmejkipia xitlaualis kiselis tlamachtili. 
Mexican_constitution 	El Estado –Federación, Estados, Distrito Federal y Municipios–, impartirá educación preescolar, primaria, secundaria y media superior. 	Tlentlaltolkayolmej, D. F., uan itlatilankateyoualmejtemakase tlamachtilistitlen xochikaltlamachtiloyan, primaria, secundaria uan tlajko kaltlamachtili. 
Mexican_constitution 	La educación preescolar, primaria y secundaria conforman la educación básica; ésta y la media superior serán obligatorias. 	Uan ni tlamachtili xochikaltlamachtiloyan, nemachtiliprimaria, uan secundaria katli tenextiliya tlamachtili tlen bàsica kipia kichiuasej uankitsontisej ni momachtianij. 
Mexican_constitution 	La educación que imparta el Estado tenderá a desarrollar armónicamente, todas las facultades del ser humano y fomentará en él, a la vez, el amor a la Patria, el respeto a los derechos humanos y la conciencia de la solidaridad internacional, en la independencia y en la justicia. 	Ni tlamachtili katli temaka tlatokayotl mochiuas ka pakiliskayotl, nochi katli kin monekilia maseualmej uan kikualtlaliya yayak, kiiknelisimexkotlaluan, teipanitali itlaneneuili, ka tlapaleuilistli tlen pan sekinokueueyilistliuan katlaipanitalotl. 
Mexican_constitution 	El Estado garantizará la calidad en la educación obligatoria de manera que los materiales y métodos educativos, la organización escolar, la infraestructura educativa y la idoneidad de los docentes y los directivos garanticen el máximo logro de aprendizaje de los educandos. 	Tlatokayotl ki ipatijmakasej kuali ipan tlamachtili kipia kitsontisej sankej tlatekiuilmej uankiani mochiuastlamachtili, sentiltlamachtilistli, kaltlamachtili uan mochiuas kuali tlamachtiyani uan nokia tlamachtil tekipanouanikiaxilisej ueyi machtijkayotl momachtiyani. 
Mexican_constitution 	I. Garantizada por el artículo 24 la libertad de creencias, dicha educación será laica y, por tanto, se mantendrá por completo ajena a cualquier doctrina religiosa; 	I. Ki ipatijmakas sempoali uan nauitipaj tlaijtoli kampa eltok kakikuili tlalneltokili, tlamachtili katli motemakas pan kaltlamachtiloyan amo monextilis teotlajtoli katli motemaka pan teopankali. 
Mexican_constitution 	II. El criterio que orientará a esa educación se basará en los resultados del progreso científico, luchará contra la ignorancia y sus efectos, las servidumbres, los fanatismos y los prejuicios. 	II. Tlamachtili motemakas tlen katli kistok ipan yankuik tlanextiloli, kitlamiltis nochi katli amo kuali. 
Mexican_constitution 	Además: 	Nojkia: 
Mexican_constitution 	a) Será democrático, considerando a la democracia no solamente como una estructura jurídica y un régimen político, sino como un sistema de vida fundado en el constante mejoramiento económico, social y cultural del pueblo; 	a) Elis sentiktlapepenolpa, moitas ni sentiktlapepenolpa amo ken san tlanauatilxitlaualistli uan sejkotlaneneuilili, moitas ka se kuali yolnemilistli kampa mokualchitias tomin tlaxtlauili, pakilnechikolistli uan uejkapantlalnamikili tlen altepemej. 
Mexican_constitution 	b) Será nacional, en cuanto –sin hostilidades ni exclusivismos– atenderá a la comprensión de nuestros problemas, al aprovechamiento de nuestros recursos, a la defensa de nuestra independencia política, al aseguramiento de nuestra independencia económica y a la continuidad y acrecentamiento de nuestra cultura; 	b) Elis iuexkamexko, amo san tlapepenolpa o san pika mopatijmakas- kiselis uan kimachilis tokuesoljuan, kampa kuali mo tekiuis katli eltok ipna teyoualmej, kimanauis to tlamantlaneneuilis, ma mokuitlaui to tomintlaxtlauili, momakilis uan mak mouejkapantlali to uejkapantlalnamikili, 
Mexican_constitution 	c) Contribuirá a la mejor convivencia humana, a fin de fortalecer el aprecio y respeto por la diversidad cultural, la dignidad de la persona, la integridad de la familia, la convicción del interés general de la sociedad, los ideales de fraternidad e igualdad de derechos de todos, evitando los privilegios de razas, de religión, de grupos, de sexos o de individuos, y 	c) Kikualtlalis ma motemaka kuali maseual sentik yolnechikolistli, ika yani kuali monextilis, moipatijmakas kuali uaya katli itstokej ichaneuaj, katli nelkinekinochi nechikolistli, ma mopaleuika ka kuali tlaneneuili uan san sejtipa ka xitlaualistli tlen nochi tlakamej, amo kitas tla maseuali o amo, iteotlajtoli, inechikolis, tlan tlakatl o siuatl. 
Mexican_constitution 	d) Será de calidad, con base en el mejoramiento constante y el máximo logro académico de los educandos; 	d) Elis tlen kuali, kitlalise nochipa kualtiloya uan ueyi axitili tlamachtikayotl ika momachtiyani; 
Mexican_constitution 	III. Para dar pleno cumplimiento a lo dispuesto en el segundo párrafo y en la fracción II, el Ejecutivo Federal determinará los planes y programas de estudio de la educación preescolar, primaria, secundaria y normal para toda la República. 	III. Tlen mochiuas ken moneki tlen tlajtoua itlamijka II, tlayakanketl tekitlanauatijketl tlen tomexko kipanextis pan amochtlitlanextilistli, tlen ichiualis xochikaltlamachtiloyalmej, kaltlamachtiloyalmej primaria, secundaria uan ueyikaltlamachtiloyalmej tlen iuexka tomexkotlal. 
Mexican_constitution 	Para tales efectos, el Ejecutivo Federal considerará la opinión de los gobiernos de los Estados y del Distrito Federal, así como de los diversos sectores sociales involucrados en la educación, los maestros y los padres de familia en los términos que la ley señale. 	Tlayakanketltlanauatijketl kintlakalilis tlen nochi inintlaneuililis tlayakankemej tekichiuanij tlen tlaltokayolmej uan D. F. uan nojkia tlen sekinok nechikolismej katli kitlakechia tlamachtili, tlen tlajtoua xitlaualistli. 
Mexican_constitution 	Adicionalmente, el ingreso al servicio docente y la promoción a cargos con funciones de dirección o de supervisión en la educación básica y media superior que imparta el Estado, se llevarán a cabo mediante concursos de oposición que garanticen la idoneidad de los conocimientos y capacidades que correspondan. 	Tlajkos, tlaxtlauili ipan tlamachtikayotl uan kiixpanextis tlateekilistli tlen tlayekantli o tlaixpialistli ipan ueyikaltlamachtili katli temaktiliya tlaltokayotl, kichiuas sentiktlapepenolpauan kualtlaliya nochi inintlanejneuilis uan tlamatilistli sankej kimelaua. 
